[00:00:00.000] 女：什么？
[00:03:35.502] 女：也可以可以，他就可以扶着我了，他就有可能做某些事情了。
[00:03:39.594] 女：但是我抽烟越吹越清醒，我抽烟的时候可有攻击性了。
[00:03:43.344] 男：我还没见过你抽烟的样子。
[00:03:46.720] 女：你不惊讶吗？
[00:03:47.986] 女：那你不是。
[00:03:50.620] 男：光头的，反正你头像给靠近我就。
[00:03:55.880] 男：我身边的人抽烟，怎么说呢？
[00:04:01.000] 男：只要不靠近我就无所谓。
[00:04:04.840] 女：说完呃呃呃漱。
[00:04:06.020] 男：完口再过来见我就好了。
[00:04:07.986] 男：他居然还要。
[00:04:08.970] 女：还要我去承担他的情绪，说我我说这些可能有点乱，有哪些地方不清楚的，希望你可以跟我说，我会好好试着说清楚，让你理解的就是让我去理解他，让我去承担他的那些。
[00:04:22.680] 女：所谓的情绪。
[00:04:28.040] 女：哎呀，然后。
[00:04:29.860] 女：我在想，我翻译成你怎么这样的人呢？
[00:04:33.600] 女：为啥你是这样的人啊，好伤心啊。
[00:04:42.840] 男：刚刚给我发信息了。
[00:04:47.700] 女：要喝啥？
[00:04:48.940] 男：他说他这个活动是给你留的东西。
[00:04:51.380] 女：滚吧。
[00:05:03.040] 男：好吧，先去拿你的东西。
[00:05:05.480] 女：又有镜头了。
[00:05:10.600] 女：这样分工可以吗？
[00:05:15.980] 女：嗯，这个东西。
[00:05:17.600] 女：什么公开语文语文语文技能的，我看不懂。
[00:05:24.160] 男：就是你更看不懂的。
[00:05:26.380] 男：还在后面呢，他那个什么鬼语文技能，他要去微格教室。
[00:05:30.790] 男：然后微格教室的操作，我们当时操作十几分钟都搞不懂他。
[00:05:35.602] 女：或者或或者你就说嘛，你们聊的就是最近那个群，他退他作业做不懂，他来问我了，这样我。
[00:05:43.680] 男：谁问你啊？
[00:05:44.454] 女：如果当时想问你们咋了，你可以说我为什么的什么语文什么的看不懂，然后跑来找你的，因为这个本来。
[00:05:52.584] 男：是他要教我的哦。
[00:05:54.880] 男：那你还要他家吗？
[00:05:57.140] 女：不知道，看情况吧，我觉得嗯，不知道。
[00:06:07.820] 女：自己回进去走吧，现在在干嘛？
[00:06:11.080] 男：我一直来都。
[00:06:14.940] 男：我我有的时候我都懒得去那边了，我直接我直接一下宿舍，我就从这里过去。
[00:06:19.303] 男：那不是因为前面那里有个门锁了，我就直接从那边过。
[00:06:35.840] 女：他如果问我。
[00:06:37.101] 男：就就不用说今天就。
[00:06:40.020] 男：然后他的市场上。
[00:06:46.200] 男：好诡异啊，两边都是朋友。
[00:06:48.825] 男：好诡异啊，对吧？
[00:06:52.520] 男：好，你们两个，我还真的。
[00:06:57.340] 男：就是谁近谁远。
[00:06:58.591] 男：如果真的是那种两个同时都是近的，或者两个同时两个如果两个都是同时近的那种状态，我真的很崩溃。
[00:07:09.680] 女：是喷了个。
[00:07:13.200] 女：还在那跟我谈以后结婚出轨了怎么办？
[00:07:15.880] 女：我看最容易出轨啊。
[00:07:17.400] 女：没有他，我我问他他对婚姻什么的啥看法，就讲到什么出轨。
[00:07:22.240] 女：哎，我看最最容易出轨的是他吧。
[00:07:28.360] 男：他出轨还在杭州摄影什么？
[00:07:32.320] 女：我不知道为啥他说到未来婚姻，然后有可能分开，因为原则性问题和非原则性问题。
[00:07:38.448] 女：他说原原原则性问题就是什么出轨，他为什么就那个时候就谈到出轨，就是预设到他可能出轨，我也可能出轨。
[00:07:46.740] 男：你跟他说这件事情的时候，他知道那个男生的存在了吗？
[00:07:51.580] 女：呃，那天我是把这个事情一起讲完了。
[00:07:53.810] 男：那他就是知道那个男生的事。
[00:07:55.595] 男：但是我操，那他不就是在含沙。
[00:07:57.380] 女：含沙射影那个我觉得有这个意思。
[00:07:59.462] 男：因为我觉得他真有这个意思。
[00:08:01.247] 女：那个时候他还不知道，但是在那在那之前我们出去玩，我讲到过，我我觉得我是那种可以同时爱很多个人的人。
[00:08:08.300] 男：哦，然后他就觉得你那个什么。
[00:08:10.378] 女：我是觉得他这话有点含沙射影啊，我真觉得。
[00:08:13.496] 男：含沙射影啊。
[00:08:14.362] 女：他就说那那一方面一定要给另外一方足够的补偿。
[00:08:18.300] 女：什么叫补偿？
[00:08:19.408] 女：出轨了，然后分开，然后一方要给另外一方补偿。
[00:08:23.820] 男：在法律上是这样的，因为在法律上呃，我我的意思是构建婚姻婚姻状态的时候，一方出轨，那那出轨的那一方肯定是要给没出轨那一方补偿，这个在法律上是。
[00:08:36.040] 女：正常从行为上看是容易出轨，很明显了吧。
[00:08:39.169] 女：我在没有告诉他那我的那个亲密对象之前，我是没有。
[00:08:43.360] 女：虽然我想对他怎么样，但是我没有主动过，可以这么说。
[00:08:50.880] 女：那我觉得我觉得。
[00:08:53.060] 女：我我觉得这样挺不负责。
[00:08:57.720] 男：就这两个倒数第五个。
[00:09:01.940] 男：你的灯是不是有点暗？
[00:09:03.580] 女：嗯，苹果的灯是这样的。
[00:09:07.280] 女：不是这件。
[00:09:14.300] 女：给我留的啥呀？
[00:09:15.766] 女：是傻逼。
[00:09:19.620] 女：我不知道，我开不了。
[00:09:22.920] 男：你看一下这个是不是你的钥匙。
[00:09:37.780] 女：这是啥呀？
[00:09:40.440] 男：没看懂吗？
[00:09:47.160] 男：我能看吗？
[00:09:48.426] 女：看啊。
[00:09:49.300] 女：呃，刚刚那种视频书都说了，你有什么不能看的？
[00:10:06.180] 女：他但凡没对我做这种事情，我看到这个我都要感动流涕了。
[00:10:09.707] 女：转一圈居然为了愿意为了我改变自己的观念。
[00:10:12.820] 男：我看一下。
[00:10:14.300] 女：那那但是但但是在他很但是但是在他已经犯了原则性错误之后，我看到这个我觉得他他是傻逼。
[00:10:38.040] 男：他在不后悔，我选择他就不后悔。
[00:10:39.895] 男：那天晚上听的你是吗？
[00:10:41.320] 男：还是不后悔。
[00:10:42.327] 男：什么？
[00:10:42.730] 男：我没我没看懂。
[00:10:44.140] 女：我也看不懂。
[00:10:54.820] 男：打之后。
[00:10:57.920] 女：隔壁的胆子好的。
[00:11:04.020] 女：联通就是这个很方便啊。
[00:11:15.280] 女：你说的对。
[00:11:16.760] 女：关灯。
[00:11:17.106] 女：关灯。
[00:11:17.453] 女：关灯。
[00:11:39.160] 女：什么是后果和可能的结局啊，你能不听了吗？
[00:11:52.320] 男：你要。
[00:11:55.460] 女：我不会给他发消息的。
