[00:00:01.400] 男：有的人现在又眼红。
[00:12:24.440] 女：让他来家里。
[00:12:44.020] 女：他给我点，然后自己主动说。
[00:12:46.720] 女：结果又给忘了我没必要，我的我提了又给忘了。
[00:12:50.698] 女：然后然后跟我说呃过年回家之后给我姐，我回家之后又不接。
[00:12:55.934] 女：然后然后我说我我提起来，他说我等你开始给我点，我说好。
[00:13:01.180] 女：那个他就在旁边拿呀，我说怎么办呢？
[00:13:04.380] 女：刚开学第一天，我跟我说去吃饭啊，你你第二天吧，他说行。
[00:13:09.300] 女：没有没有没有然后然后然后他爸他他爸那一天他来找我。
[00:13:16.420] 女：我说，那你来了，今天我要请我陪我爸吃饭，没空，你明天吧。
[00:13:26.780] 女：关掉的。
[00:13:28.120] 男：我好像买过。
[00:13:40.080] 女：这个这个不是我们。
[00:13:41.740] 男：看到鲁饭。
[00:13:45.700] 女：你怎么知道我想。
[00:13:48.420] 女：嗯，可以吗？
[00:13:50.620] 女：你在后面那个都很团结。
[00:13:53.920] 男：原来是这样啊，我一直都是人皮，非常人皮。
[00:13:57.967] 男：中午去滑。
[00:13:59.060] 男：啊，不是不是花花菜，是那个。
[00:14:03.840] 男：够不够快？
[00:14:04.920] 男：他走了。
[00:14:06.460] 女：我婆娘不懂饭。
[00:14:09.560] 女：不知道怎么拿老板。
[00:14:12.580] 女：这个怎么拿？
[00:14:14.260] 男：啊，干嘛呢？
[00:14:15.490] 男：来晚了。
[00:14:16.412] 女：那个假酒这个对对对。
[00:14:36.920] 女：结果我跟他说，我等了等了两天，他说又。
[00:14:40.600] 女：嗯。
[00:14:41.920] 女：他他他他引用了我，他前面发了个表情包，他说你没理我，你们理我不能怪我，我没有找你我当时真的他火大了。
[00:14:54.760] 男：我明天都没。
[00:15:00.800] 女：明天有空。
[00:15:01.950] 男：我明天早。
[00:15:04.500] 女：加油哦，要在你早班的时候跟我说一声。
[00:15:09.740] 男：原来每天都在佩戴吗？
[00:15:11.860] 女：并没有。
[00:15:14.660] 女：在家天天吃什么菜？
[00:15:16.720] 男：如果再远一点。
[00:15:18.100] 男：我记得我上次好像是吃了饭。
[00:15:20.680] 女：哪个少人？
[00:15:25.640] 男：牛肉丸。
[00:15:27.100] 女：中间的这个怎么卖？
[00:15:29.414] 女：老板中间。
[00:15:30.572] 男：这些肉。
[00:15:32.220] 女：都是吗？
[00:15:41.820] 女：你别走。
[00:15:42.960] 女：好大的菠萝蜜。
[00:15:44.540] 男：看车后面有个车。
[00:15:46.900] 男：我后面有个腿。
[00:15:47.938] 女：看一下你的锁骨多少钱。
[00:15:49.668] 男：锁骨多少？
[00:16:01.800] 男：还好出来的头像。
[00:16:08.180] 男：你冷吗？
[00:16:08.886] 男：哎，来了有一点。
[00:16:14.540] 女：我等你。
[00:16:16.820] 女：然后是啥？
[00:16:20.980] 男：鱼豆腐。
[00:16:23.000] 女：到时候。
[00:16:24.000] 女：再说不够干了干了。
[00:16:29.220] 女：大宝贝加绒加厚。
[00:16:48.420] 男：有什么呃。
[00:16:49.500] 女：不要香菜加入。
[00:16:57.720] 女：你个叼。
