[00:00:00.000] 男：你看我我大妈妈和二妈妈他们。
[00:12:22.300] 男：我就哎那个说哎，你喜欢这个姐姐还是。
[00:12:28.860] 男：我记得很羞耻的一点，好像还跟你聊过我媳妇儿。
[00:12:33.360] 男：的角色，他的那个特征就是。
[00:12:36.360] 男：呃，有虎牙后带点。
[00:12:41.220] 男：带点小傲娇的那种。
[00:12:43.560] 男：好了好了。
[00:12:46.180] 男：然后真的没想到大胆。
[00:12:49.780] 男：女的。
[00:12:50.940] 男：毕业店。
[00:13:00.500] 男：哎，如果如果这一天我们能演一对条线。
[00:13:04.620] 男：走，然后我不走出这个圈。
[00:13:08.600] 女：嗯。
[00:13:09.720] 男：被拍卖。
[00:13:11.640] 女：真的假的？
[00:13:14.500] 男：如果陪伴不行的话。
[00:13:16.460] 男：但我怕我怕让你。
[00:13:20.560] 男：做教练多一点。
[00:13:22.760] 女：黑色黑色黑色。
[00:13:24.680] 男：然后。
[00:13:29.160] 男：之后，那我真的我真的没想到你很喜欢。
[00:13:34.340] 男：对于你喜欢文学的事情，我倒是那时候参加。
[00:13:39.880] 男：到了，因为在我们。
[00:13:41.920] 男：我来我我最早来开会的那两个。
[00:13:45.660] 男：你很积极的对别人的。
[00:13:48.320] 女：我操。
[00:13:50.000] 男：印象中不了。
[00:13:54.220] 男：这个违背特别好。
[00:13:59.340] 女：姐姐好。
[00:14:01.060] 男：都都不想给我高兴。
[00:14:03.800] 男：姐姐好。
[00:14:05.500] 男：然后。
[00:14:07.860] 男：然后那时候就就这样了，我也没想到。
[00:14:12.040] 男：爸爸。
[00:14:13.720] 男：还没有机会。
[00:14:18.140] 男：然后。
[00:14:19.420] 男：真的就是那时候拍完鱼鱼的毕业照，我就想。
[00:14:25.940] 男：哦哦，就是从陈小川的口中，还有他们的口中得知，原来你也很。
[00:14:31.480] 男：指指点点。
[00:14:32.580] 女：指指点点。
[00:14:35.360] 男：100，然后。
[00:14:37.520] 男：不是我那个时候。
[00:14:40.500] 男：没想到这只是单纯的说。
[00:14:43.860] 男：你我查的是。
[00:14:45.360] 男：然后那时候自己在捣鼓抹茶，做的也不好。
[00:14:49.700] 男：然后然后没想到你就过来。
[00:14:52.580] 男：你过来喝。
[00:14:54.100] 男：然后然后他。
[00:14:58.540] 男：然后那个时候我印象很深，你说。
[00:15:01.700] 男：呃，在在花地摆摊的时候，你你说。
[00:15:05.960] 男：跟我一起玩去。
[00:15:09.020] 男：然后就。
[00:15:10.040] 男：然后加上高中舍友的要求。
[00:15:13.820] 男：哦，那那我也玩。
[00:15:15.440] 男：然后就等。
[00:15:17.820] 女：我真没想到我真我也。
[00:15:20.084] 男：没想到我就完成完成了。
[00:15:23.620] 男：然后我也不知道具体那个问题，反正后面不是经常隔三差五的。
[00:15:30.620] 男：尝一下所谓的。
[00:15:32.840] 女：对啊，然后一起玩。
[00:15:34.494] 男：对啊，然后谈完配方之后你去看一眼。
[00:15:39.220] 女：彭老哥有吗？
[00:15:41.440] 女：嗯，您有这么大吗？
[00:15:44.548] 男：然后嗯。
[00:15:46.400] 男：总之就是。
[00:15:48.100] 女：我也没这么大吧。
[00:15:50.540] 男：反正就是。
[00:15:55.820] 男：就后面那个。
[00:16:02.800] 男：那我们是从哪哪一天开始聊天的？
[00:16:07.160] 女：不知道啊。
[00:16:23.860] 女：没事了，不是这个缓缓缓下。
[00:16:27.980] 女：右上角。
[00:16:29.180] 女：两天，二期啊，二期。
[00:16:33.420] 男：3月2月。
[00:16:36.960] 男：12月。
[00:16:38.480] 女：八号。
[00:16:39.560] 男：那天我们在聊什么？
[00:16:41.840] 男：你说先吃牙齿六块。
[00:16:50.980] 男：哦，我记得还有这个跑完步。
[00:16:53.960] 男：之后你跟我说。
[00:16:57.440] 男：哦，好像是没有。
[00:17:00.540] 男：什么时候开始动的？
[00:17:02.660] 女：不知道，我也觉得好。
[00:17:10.020] 女：但是感觉有点轻巧吧。
[00:17:12.080] 女：他现在没有想看。
[00:17:17.340] 男：然后我就觉得。
[00:17:18.744] 女：这样挺好。
[00:17:27.140] 男：塔罗牌里，然后他他弄完之后啊。
[00:17:31.560] 男：原来我们已经聊了这。
[00:17:33.680] 男：他好像是12月底。
[00:17:41.440] 男：我好像不是一个坚定的人，承认。
[00:17:45.620] 女：然后说了三遍了。
[00:17:47.900] 女：你到了。
[00:17:50.600] 男：我就有点在意这件事。
[00:17:53.660] 男：然后跟。
[00:17:56.220] 女：你说。
[00:17:59.020] 男：外格他们他们八卦的时候。
[00:18:08.820] 男：反正就是让我不要想那么多。
[00:18:13.500] 男：然后。
[00:18:14.680] 男：后面。
[00:18:16.840] 男：自己去网上看了很多一汤文感兴趣。
[00:18:21.060] 女：我真服了，然后哭可能不好。
[00:18:23.595] 男：然后自己也想了很。
[00:18:26.540] 男：什么呀？
[00:18:28.660] 男：不会vivo吧。
[00:18:29.980] 男：有啊。
[00:18:31.400] 男：嗯。
[00:18:33.060] 男：你直接说。
[00:18:36.280] 男：啊，你不给了。
[00:18:39.380] 男：然后那个。
[00:18:43.040] 男：就是因为我不是很坚定的。
[00:18:46.240] 男：所以对他那个结论有点在意。
[00:18:49.720] 男：他说。
[00:18:51.020] 男：错的时间遇到对的人到底是什么？
[00:19:00.620] 男：可能现在到了这些。
[00:19:12.040] 男：然后。
[00:19:13.980] 男：然后寒假的聊天。
[00:19:28.160] 男：不然只有850。
[00:19:34.240] 男：就跟你的聊天。
[00:19:44.040] 女：这样了。
[00:19:45.740] 男：你星期三跟我说的那些话。
[00:19:49.780] 男：过了之后我回去。
[00:19:51.740] 男：然后突然一下子就想明白，为什么你会发那样的。
[00:19:56.420] 男：你在。
[00:19:57.760] 男：你在那天考完试之后，你会跟我说为什么？
[00:20:03.320] 男：恋爱观念就是就是对于小三那个包括包括你说认为你不喜欢那样的成别人那样子说。
[00:20:12.720] 男：被打翻了。
[00:20:14.140] 男：你不是。
[00:20:15.280] 男：就算是小3，他也是跟当事人他们俩。
[00:20:20.420] 男：有有真正的感情之后才在。
[00:20:24.760] 男：对你很讨厌。
[00:20:31.220] 女：我跟我还说过这样的话啊，太高深了。
[00:20:34.725] 男：我印象很。
[00:20:37.220] 男：然后我说我那手机。
[00:20:40.200] 男：然后我在想你是不是在就那个时候已经对你有。
[00:20:44.500] 男：然后我在想你的时候，是不是在暗示我绝对不要。
[00:20:50.080] 女：这边有这个眼。
[00:20:54.020] 男：然后但是我真的没有想到。
[00:21:01.180] 女：不过我有那些观念，也是在遇到事情。
[00:21:04.080] 女：肯定有的。
[00:21:11.700] 女：打断你了。
[00:21:16.420] 男：嗯，但是。
[00:21:17.860] 男：更多的话。
[00:21:19.180] 男：你要是让我概括总结的话，我会觉得。
[00:21:30.420] 男：然后。
[00:21:31.560] 男：然后这一点就决定的话。
[00:21:36.020] 男：因为我爸爸妈妈包括亲戚，他们都是那样庸俗的人，庸俗的去考虑。
[00:21:41.960] 男：就找个什么样的对象，对自己的前途有利，可以让自己少奋斗不方便。
[00:21:49.580] 男：用单纯的利益关系去区分了人与人之间的感。
[00:21:56.180] 男：我觉得莫老师是一个很有想法，有。
[00:22:02.920] 女：哎呦。
[00:22:04.940] 男：再加上。
[00:22:11.820] 男：这什么啊？
[00:22:15.640] 男：嗯，主要是这几。
[00:22:17.600] 男：啊，吴老师跟我说。
[00:22:20.140] 男：因为已经很久没有创作了。
[00:22:23.060] 男：没有创作，然后说是因为我星星期三，你说是因为那些人。
[00:22:34.820] 男：特别的。
[00:22:35.860] 男：你那首响的时候，我是不是打断你我说不要说了。
[00:22:42.780] 男：然后我那时候是觉得。
[00:22:45.700] 男：明明是他们。
[00:22:48.460] 男：的原罪为什么？
[00:22:50.940] 男：你要那么的。
[00:22:52.920] 男：看一下，然后把这。
[00:22:56.380] 男：啊，为什么要有？
[00:22:57.840] 男：为什么他们做了这些事情之后不报警？
[00:23:00.860] 女：我是没招了哦。
[00:23:04.180] 男：不要这么想。
[00:23:05.560] 女：这可就没招了。
[00:23:20.580] 男：所以我觉得我们两个的。
[00:23:24.300] 男：对于现实世界的，就是人生的厚度。
[00:23:28.820] 男：还有经历的事情要干。
[00:23:31.500] 男：想得到一个。
[00:23:34.480] 男：我我经常去刷网上的一些视频，我自以为我是人间清醒，我经常辩证，我觉得我能看出这个社会的很。
[00:23:43.520] 男：但是我一直相信这个社会在向好向上发展。
[00:23:47.148] 男：要知道你跟我说。
[00:23:53.680] 女：给段老师带来什。
[00:23:57.600] 男：真正意义上。
[00:24:08.140] 女：不管文学也会有，只是坏人用文学把他们包围。
[00:24:13.640] 女：你去公务员一样会有。
[00:24:21.400] 男：我想好以后。
[00:24:23.540] 男：钱权。
[00:24:27.120] 男：权利。
[00:24:35.540] 男：我觉得我。
[00:24:36.740] 男：能有机会去或者说有勇气去面。
[00:24:44.060] 男：等到自己如果有可能往上走。
[00:24:47.420] 男：好的。
[00:24:52.580] 男：在群里发。
[00:25:06.800] 女：你陪我看那个电影不是颜色。
[00:25:34.240] 女：你调整调整都不能调整啊，都不知怎么样。
[00:25:42.420] 女：我想着想着，他把这个。
[00:25:48.900] 女：你这个笨蛋，你应该等我考完之后再表明了呀。
[00:25:53.360] 女：笨蛋，笨蛋，笨蛋，笨蛋。
[00:25:56.440] 女：笨蛋是不？
[00:25:59.220] 女：你这个笨蛋。
[00:26:12.320] 男：我去拿包拿东西吧嗯。
[00:26:31.200] 女：银行银行。
[00:26:39.520] 男：不喝酒。
[00:26:40.960] 男：喝完酒之后，白酒讨厌那个嘴巴里面一股酒味。
[00:26:47.180] 女：你你猜猜我为啥抽烟？
[00:26:51.260] 男：我只知道他们说。
[00:26:55.780] 女：因为当时。
[00:26:58.020] 女：我我和他俩是一个非常。
[00:27:01.900] 女：到时候顺便带带我带我。
[00:27:06.700] 女：后面后面是氛围，保你这个就是头。
[00:27:09.940] 女：31年来到现在。
[00:27:41.540] 男：部落战争叛乱。
[00:27:53.120] 女：哎呀。
[00:27:58.660] 男：所以。
[00:28:00.280] 男：不过抛开这个。
[00:28:07.540] 男：为你着想。
[00:28:09.940] 男：我我我真的觉得。
[00:28:15.240] 男：我真的觉得。
[00:28:18.340] 男：教别人抽烟是一个很。
[00:28:21.460] 男：看那个。
[00:28:22.840] 男：可能我有点刻板印象，我觉得抽烟跟抽毒。
[00:28:26.740] 男：跟教唆别人去吸毒没有什么本质上的事。
[00:28:30.680] 男：就是。
[00:28:31.880] 男：烟的成瘾性没有毒品。
[00:28:37.560] 男：但是但是我点中你的。
[00:28:40.640] 男：我不不，这这。
[00:28:51.380] 男：没网不做，不不不太注重保养。
[00:28:54.500] 男：不。
[00:28:58.820] 男：我说你跟我说的那些黑平台之后，我才。
[00:29:02.220] 男：在想着会不会。
[00:29:04.460] 男：不过这个是我乱。
[00:29:06.980] 男：我在想你会不会入学。
[00:29:12.560] 男：你会不会觉得如果自己不注重。
[00:29:15.719] 女：不是你因为我懒。
[00:29:17.560] 男：不能忙。
[00:29:20.520] 女：嗯，不够了解我。
[00:29:29.460] 男：我要相信。
[00:29:41.820] 男：哪怕真的。
[00:29:43.620] 男：会发现。
[00:29:45.240] 男：我也我也不。
[00:29:48.400] 男：我要把。
[00:29:53.380] 男：不能再给你。
[00:30:01.420] 女：嗯。
[00:30:05.720] 男：你不要改变。
[00:30:12.820] 男：听说我的。
[00:30:17.240] 女：嗯。
[00:30:37.060] 男：嗯，抱得动吗？
[00:30:38.572] 男：抱得动。
[00:30:40.720] 男：不怕了。
[00:30:43.660] 男：嗯嗯，好吧，你等我空着。
[00:30:49.620] 男：走吧，我们去拿包。
[00:30:58.860] 女：现在路况特别大。
[00:31:02.160] 女：昨天这车上特别想看到你。
[00:31:17.020] 女：我不能这么做啊。
[00:31:19.560] 女：今天还没跟你说。
[00:31:59.180] 女：嗯，不好办的。
[00:32:31.680] 男：你刚刚那一口真的。
[00:32:36.280] 女：我们打车吗？
[00:32:43.840] 男：我感觉这个时候开车。
[00:33:00.260] 女：嗯。
[00:33:01.760] 男：你最后一句话作为今天这个话。
[00:33:04.340] 男：各位。
[00:33:05.660] 女：嗯。
[00:33:10.840] 男：我希望。
[00:33:12.960] 男：如果真的有可能你改变想法了的话，是因为我能给你足够的。
[00:33:20.600] 男：安全感或者是其他的因素让你能够信任我。
[00:33:25.200] 男：而不是因为我对你的喜欢，然后让你感觉到我对你的喜欢有压力，有所亏欠，而为了迎合我的感受而做出的感觉改变。
[00:33:38.188] 女：好吗？
[00:33:38.729] 女：嗯。
[00:33:39.160] 男：嗯嗯，那个不是。
[00:33:41.068] 女：这个不是谁给谁安全感的问题啦嗯。
[00:33:47.000] 男：嗯，那不说这个话。
[00:33:49.160] 女：你看能不能。
[00:33:55.220] 男：有的东西我也。
[00:33:56.860] 男：我这边来。
[00:34:06.420] 女：嗯，感觉。
[00:34:07.600] 女：感觉。
[00:34:08.780] 女：有人在大学期间能待在一块，已经看得特别好。
[00:34:26.020] 女：可是如果他不能够被定义的。
[00:34:30.440] 女：感觉感觉会很。
[00:34:35.200] 男：不要再。
[00:34:37.340] 男：我们改天慢慢。
[00:34:44.440] 男：那我们。
[00:34:47.140] 男：你们多好。
[00:34:48.700] 男：今天你不要给自己压力，嗯，然后明努力调整好状态，明天考。
[00:34:55.400] 男：然后我们。
[00:34:59.300] 男：下个星期一起。
[00:35:01.380] 男：是。
[00:35:02.800] 男：去看樱花的时候。
[00:35:05.220] 男：晚上的时候。
[00:35:07.540] 男：我们在。
[00:35:10.040] 男：说这个话题好吗？
[00:35:13.080] 男：好吗？
[00:35:15.960] 男：抱一抱。
[00:35:22.900] 男：你可以你可以靠在我身上。
[00:35:32.820] 男：没有承受。
[00:35:34.840] 女：什么事喜欢我？
[00:35:51.900] 男：我们拿东西吧。
[00:35:54.020] 女：不能说。
[00:35:57.440] 女：没有。
[00:36:21.940] 男：走吧。
[00:36:56.100] 女：嗯，真的有啊。
[00:37:09.820] 男：这种的他家长。
[00:37:11.120] 男：他家他可能是一个人来。
[00:37:14.980] 男：这是他爸爸。
[00:37:16.180] 男：好的。
[00:37:28.180] 男：你拿的包。
[00:37:33.220] 女：不要不要不要不要。
[00:37:41.020] 男：要不。
[00:37:42.380] 男：那个房子是他爸爸妈妈。
[00:37:45.800] 男：然后我感觉。
[00:37:48.100] 男：其实我感觉里面有点厚。
[00:37:51.700] 男：没办法避免。
[00:37:54.680] 男：大学科。
[00:37:56.900] 男：虽然林雨轩和我也觉得印象，但我们也不相信。
[00:38:00.740] 男：到今天，然后去他家的时候，我感觉这次。
[00:38:05.400] 男：他家的那个独具的味道，当樟脑丸的味道很。
[00:38:10.260] 男：我的朋友。
[00:38:12.700] 男：日桂花的香水看不懂啊。
[00:38:52.860] 男：然后。
[00:38:54.440] 男：我出来我会。
[00:38:57.620] 男：没有和我说。
[00:38:58.800] 男：我说，哥。
[00:39:01.600] 男：他其实我一直不知道叫他。
[00:39:04.960] 男：没有距离感，叫他。
[00:39:06.540] 男：叫他哥哥的话。
[00:39:08.320] 男：一般人的习惯都是名字最后一个字，然后再加。
[00:39:14.500] 男：比如说有人叫我的话，他们会叫哥。
[00:39:19.340] 男：然后或者叫我大哥。
[00:39:22.260] 男：但是。
[00:39:23.480] 男：腾哥，他的名字就是那个。
[00:39:27.760] 男：金戈铁马的。
[00:39:29.620] 男：不管是叫他田哥。
[00:39:32.720] 男：感觉都很怪。
[00:39:34.580] 男：我我。
[00:39:35.660] 男：所以我这我我我这时候微信跟他聊天。
[00:39:39.360] 男：就。
[00:39:40.480] 男：想喊他，但不知道喊什么的时候，就发那个张飞的表。
[00:39:51.100] 男：然后。
[00:39:53.800] 男：他读。
[00:39:55.120] 男：他现在是。
[00:39:56.840] 男：但是我。
[00:39:57.840] 男：那么在我眼里，他就是有点无病呻吟的感觉。
[00:40:02.220] 女：尿尿了。
[00:40:03.560] 男：因为你想他他他研究生毕业，然后在华商上班当老师。
[00:40:09.840] 男：然后他父母又是老老。
[00:40:12.720] 男：老婆的。
[00:40:14.800] 男：老婆，当然。
[00:40:16.640] 男：然后给他买的房，也不用他房贷。
[00:40:20.800] 男：态度不要不好。
[00:40:37.300] 男：那不是。
[00:40:38.360] 男：嗯，对。
[00:40:44.540] 男：然后我我留意到了。
[00:40:46.820] 男：那我问他。
[00:40:48.080] 男：我发现他的书桌上旁边有个毛板板。
[00:40:51.360] 男：然后挂了一个他跟一个女生。
[00:40:54.320] 男：的合照。
[00:40:56.840] 男：然后挂了一个合照，还有一个那个女生单独的。
[00:41:01.580] 男：然后他一直跟我说自己的感情不顺。
[00:41:04.253] 男：然后我。
[00:41:04.788] 女：你不得八卦。
[00:41:17.720] 男：我我只跟他说了，我只告诉。
[00:41:23.780] 男：对你的。
[00:41:26.680] 男：然后跟他说我很在意。
[00:41:31.900] 男：然后我只告诉了他这两个。
[00:41:34.480] 男：然后他他还很期待的。
[00:41:37.500] 男：想要好。
[00:41:42.500] 女：好吧。
[00:41:51.120] 男：修成正果之后。
[00:41:53.960] 女：还有。
[00:41:57.720] 男：把这个蛋给撇过去了吧。
[00:42:03.860] 男：我我我想到。
[00:42:19.280] 男：我要想办法。
[00:42:24.160] 男：没有。
[00:42:35.820] 男：好吗？
[00:42:39.120] 男：我要一个人。
[00:42:56.080] 男：回去的路上想靠的话没靠我肩膀上。
[00:43:17.500] 男：对呀，我的。
[00:43:20.820] 男：我觉得这个要留到我们。
[00:43:30.140] 女：我也想去。
[00:43:45.460] 男：大不了的。
[00:43:47.800] 男：刚刚到楼下再报。
[00:43:55.800] 男：我把车倒出来。
[00:44:18.220] 女：看一下。
[00:44:19.820] 女：好呀。
[00:44:24.040] 男：你可以抱住我腰。
[00:45:00.700] 男：端的。
[00:45:15.680] 女：我跟我这好大的。
[00:45:17.284] 男：没有体会的大。
[00:45:19.820] 男：大一的时候心情不好，喝了半。
[00:45:26.820] 男：那个时候就是。
[00:45:36.900] 男：跟国旗队的朋友。
[00:46:27.220] 男：晚上吧。
[00:46:47.700] 男：我要报。
[00:47:17.860] 男：无可救药。
[00:47:22.660] 女：啊，怎么这么纯情啊。
[00:47:29.520] 女：搞不了了，下不去了。
[00:47:35.780] 女：嗯，你想你是你是很棒啊。
[00:47:46.820] 女：好小笨蛋。
[00:48:07.940] 男：冷吗？
[00:48:34.880] 男：对对对外的。
[00:48:37.400] 男：今天在你在里面。
[00:48:43.680] 男：之后的事，我现在九点。
[00:48:47.020] 女：悟空。
[00:48:47.380] 女：悟空。
[00:48:48.200] 男：之后的事我会。
[00:49:00.320] 女：笨笨。
[00:49:12.040] 女：好的。
[00:49:15.220] 男：我去，我最开始是听着有点。
[00:49:19.140] 男：就是听的那个纯音乐的。
[00:49:22.080] 男：我的纯音乐歌单里面有那种很轻松的，然后也有比较。
[00:49:28.160] 男：然后再。
[00:49:31.560] 男：然后我看到你坐在。
[00:49:47.220] 男：因为我不会拿我们的安全开玩笑啊。
[00:49:55.740] 男：今天的目标是把我们。
[00:50:01.260] 男：明天的目标是。
[00:50:10.080] 男：别有太大的压力吧，我觉得他补票还是基本上。
[00:50:15.220] 女：但是镜子里的我呀。
[00:50:25.020] 女：这几天心都特别烦。
[00:50:28.340] 女：你说关于。
[00:50:32.240] 男：如果。
[00:50:36.220] 男：真的已经最低了，然后没有货的话。
[00:50:40.340] 男：明年我会给你陪着。
[00:50:43.520] 男：我已经下令。
[00:50:49.420] 男：以我自己的方。
[00:50:54.960] 男：以后的事以后再说吧。
[00:50:57.560] 女：我不想想未来。
[00:51:03.120] 男：反正我也是。
[00:51:10.520] 男：你只要知道。
[00:51:25.220] 女：还好吧。
[00:51:49.840] 女：拜拜。
[00:51:53.660] 女：我一声笨蛋。
[00:51:57.220] 女：笨蛋。
[00:52:09.000] 女：嗯，今天我都不。
[00:52:17.680] 女：你都不知道要不要拍你了。
[00:52:22.920] 男：那你的想法呀。
[00:52:25.520] 女：笨蛋。
