[00:00:02.420] 男：我那个高中舍友。
[00:10:53.880] 女：太暖和了，不想。
[00:10:56.240] 男：什么？
[00:10:57.240] 女：他们好。
[00:10:59.780] 男：那你穿着呗。
[00:11:30.140] 男：暖和。
[00:12:06.060] 女：25。
[00:12:11.840] 男：差不多5个小时。
[00:12:15.320] 女：我还好。
[00:12:18.440] 男：你打。
[00:12:20.220] 女：播了。
[00:12:21.340] 女：可能他逛。
[00:12:44.060] 女：哦，反正我真的在说话。
[00:12:47.660] 女：很不好的一种思维惯性。
[00:12:50.100] 女：就包括我。
[00:12:51.400] 女：我家长。
[00:12:53.820] 女：前前几天报备。
[00:12:55.700] 女：不是报备，就是进来进来帮我搬东西。
[00:12:59.048] 女：然后我就说晚上的家长的车还能进吗？
[00:13:03.620] 女：那倒是可以啊，上次我朋友上次不是被那个保安拦在外面吗？
[00:13:08.980] 女：就是就是就是我。
[00:13:10.960] 女：我拎着这么多的东西，我说我搬不动，这里两个，这里还拖着一个。
[00:13:16.480] 女：拖车按不动，这是我妈。
[00:13:19.900] 女：我学生正在这儿，灰黑马在这儿，这是我妈，她就是我的。
[00:13:25.240] 女：那个。
[00:13:26.200] 女：保安说那那个那个的保安说。
[00:13:31.160] 女：第二天晚上不能进来，这规矩我说搬不动，他可以搬两趟就好了吗？
[00:13:37.185] 女：你东西放在这里，你等一下这个这里出来。
[00:13:41.300] 女：我说好远啊，好重啊，我一个女孩子女孩子咋了？
[00:13:46.012] 女：我说我妈都在说她给我搬，她说是不让。
[00:13:53.920] 女：然后然后然后就是当时跟我舍友他们吃完饭，然后我爸就开车进来。
[00:14:00.840] 女：然后然后那个那个保安阿姨。
[00:14:03.980] 女：搞投诉。
[00:14:05.520] 女：阿明，你要干嘛？
[00:14:06.873] 女：你要不要说两份，然后拿个本子的，自己调什么车牌什么什么的，电话号什么什么的对，我靠。
[00:14:22.780] 男：可能就会太纠结。
[00:14:27.700] 男：这打开逆天了的话。
[00:14:36.260] 女：看一下啊，还有那个华翔华翔码也是有试过说。
[00:14:42.380] 女：我之前有个朋友过来，我想我想带他嘛，然后我就说。
[00:14:48.200] 女：就是就是我我我把手机给。
[00:14:51.700] 女：然后之后他偷偷把手机再给我，或者就是怎么样糊弄糊弄一下。
[00:14:57.080] 女：结果结果结果我我们俩站在外面，然后我在那跟他说的时候，阿宝一眼看出来你。
[00:15:04.460] 女：你是不是我们学校的？
[00:15:06.880] 女：不是你出去，你别进来。
[00:15:09.292] 女：我。
[00:15:11.440] 女：我操我我跟你说。
[00:15:13.048] 男：我那时候做代码的时候，他说你怎么老是进来。
[00:15:17.412] 女：进去的对，我真的饿过。
[00:15:22.220] 男：我那时候我就瞪他一眼，我就白他一眼。
[00:15:27.880] 女：但是你知道吗？
[00:15:28.940] 女：就是我我在外面就是那个不是有很多草地嘛，然后到那种比较潮湿的天气的时候，他就非常。
[00:15:36.340] 女：然后我然后我就会跟在外面看蘑菇。
[00:15:40.720] 男：这他都管他都管。
[00:15:42.780] 女：他的。
[00:15:43.800] 女：就是那个板一直坐在那里，然后然后我时不时看了一下，然后我就在那在摸蘑菇。
[00:15:50.000] 女：然后他就。
[00:15:51.520] 女：他在干嘛？
[00:15:53.940] 女：呃，他他就他就打开那个门，然后出来。
[00:15:58.780] 女：那就快速的躲到我这里说。
[00:16:02.000] 女：你在干什么？
[00:16:03.920] 女：我说我我那么我。
[00:16:06.380] 女：他说你不是你不可以蹲在草坪这里出去。
[00:16:23.100] 女：如果如果像他说。
[00:16:28.020] 女：我我得看保安点。
[00:16:32.360] 女：是萨迪吧。
[00:16:38.180] 女：嗯，对呀。
[00:16:39.940] 男：不给我自由。
[00:16:41.540] 女：这怎么是默认头像？
[00:16:43.480] 男：他转的，他搬。
[00:17:09.120] 女：看不懂套装？
[00:17:10.940] 女：太复杂了。
[00:17:12.860] 女：一天比一天。
[00:17:14.900] 男：你老发一个那个。
[00:17:17.760] 男：哦，还有这个，他给我打。
[00:17:31.600] 女：严重处分。
[00:17:33.760] 女：朋友啊。
[00:17:37.660] 男：哎呦，我操。
[00:17:40.580] 女：好高啊。
[00:17:42.280] 女：不是，有一说一，跳的不错。
[00:17:45.400] 男：不是真的烦。
[00:17:46.900] 男：我不是。
[00:17:48.980] 女：这点可是。
[00:17:52.500] 男：好难绷啊，不是跳的。
[00:17:54.580] 女：跳的真的好哎。
[00:17:57.000] 男：你真别说没没没点水平跳不出来的。
[00:18:00.024] 女：跳不出来，他他这是专门练过的。
[00:18:02.645] 男：但但他脑子也挺神的。
[00:18:05.060] 女：鱼肉店的琥珀。
[00:18:08.020] 男：我还有什。
[00:18:23.420] 男：然后他经常转QQ跟你闲聊的。
[00:18:27.460] 男：我经我经常把抖音各种各样的。
[00:18:44.360] 女：跟你哥们儿的。
[00:18:55.620] 女：亲爱的。
[00:18:56.620] 女：不想给他。
[00:18:59.540] 男：那给你吃。
[00:19:04.160] 男：因为熬夜嘛，你熬夜。
[00:19:06.598] 女：晚上我熬夜，就是说田螺可以啊。
[00:19:11.840] 男：有何不可？
[00:19:13.440] 女：衣服。
[00:19:14.620] 男：我们没有。
[00:19:16.000] 男：我又没有我又没有抓抓住你。
[00:19:19.300] 男：抓住，然后。
