[00:00:01.400] 男：还没到正面呢。
[00:09:08.420] 女：妈妈。
[00:09:09.740] 男：怎么玩？
[00:09:10.502] 男：我要准备。
[00:09:12.020] 女：请站在我的。
[00:09:13.880] 男：怎么玩？
[00:09:14.770] 男：怎么玩？
[00:09:21.180] 男：这咋热闹啊？
[00:09:33.220] 女：是不是你喊了一下之后，他就在那喷？
[00:09:42.460] 女：干嘛呢？
[00:09:57.640] 女：真的都是人。
[00:09:59.500] 女：本人在这印着呢。
[00:10:12.120] 男：毕竟这里你。
[00:10:33.500] 女：迪斯科教堂。
[00:10:36.240] 女：他感觉他是接下来他们办活动经过的那一家。
[00:10:41.600] 女：电影教堂。
[00:10:43.220] 男：耶。
[00:10:46.180] 女：对呀，在里面唱粤语歌吗？
[00:10:48.317] 女：还是电影版的？
[00:10:52.080] 男：迪斯科调查是在哪？
[00:10:58.040] 女：这是教堂吗？
[00:10:59.250] 男：弄成这样是教堂。
[00:11:00.945] 女：婚纱旅拍基地哦。
[00:11:02.780] 男：就是这样的。
[00:11:06.540] 女：不会发的，我的直播间很正常。
[00:11:17.660] 女：胸部养护，背部疏通，蜜桃臀。
[00:11:21.638] 女：我。
[00:11:25.200] 男：怎么不堵啊？
[00:11:27.260] 女：天。
[00:11:43.640] 女：这信号怎么能这么小？
[00:11:56.420] 男：试一下自己打的痛不痛啊。
[00:12:08.080] 男：给拍照，没拍好，就是在这里你拍照。
[00:12:14.640] 女：四拍的。
[00:12:18.120] 女：那里面那个。
[00:12:21.860] 女：各个科都。
[00:12:26.860] 女：我感觉我俩点一个菜都够了。
[00:12:29.420] 男：好，饱了。
[00:13:10.520] 女：大哥。
[00:13:16.380] 女：得亏你的比例比较夸张。
[00:13:26.520] 女：我会感觉在没有人的在没有人的地方。
[00:13:31.340] 男：这东西。
[00:13:40.820] 男：有电池。
[00:13:47.120] 男：有没有冒犯到？
[00:13:49.100] 女：你也是。
[00:14:14.300] 女：骗子。
[00:14:27.620] 女：燕子养不了。
[00:14:30.420] 女：给我回个电话。
