[00:00:00.380] 男：企业。
[00:05:17.936] 女：那也不公平啊。
[00:05:20.280] 女：一点都不一样。
[00:05:22.920] 男：他们是受邀参加的。
[00:05:25.112] 男：受着。
[00:05:26.720] 男：虽然话不好。
[00:05:32.220] 男：毕竟不是世界性的。
[00:05:35.800] 男：如果世界在的话，应该会。
[00:05:39.160] 女：CF有直接在吗？
[00:05:40.966] 男：端游戏。
[00:05:41.880] 男：端游的世界赛为了做到这一点，就是。
[00:05:45.640] 男：你全部都只能用。
[00:05:48.940] 男：那个最原始的初始枪来打。
[00:05:53.220] 男：这一点我也。
[00:05:54.640] 男：保证了。
[00:05:56.700] 男：手不玩手游方向不一样。
[00:05:59.086] 男：手游它不是。
[00:06:00.640] 女：嗯。
[00:06:02.160] 男：发多少？
[00:06:07.460] 男：都不要。
[00:06:28.000] 男：透明性有加。
[00:06:29.780] 女：现在是田螺繁殖的季节了。
[00:06:38.620] 男：对，这个我看你们。
[00:06:41.420] 女：他都要生了。
[00:06:46.500] 男：那我知道。
[00:06:49.060] 女：我不敢相信段老师食量这么小。
[00:06:54.820] 男：啊，他说啊。
[00:06:58.100] 女：很棒棒的。
[00:07:00.920] 男：没有必要看那。
[00:07:03.820] 女：打你的相信。
[00:07:06.680] 女：把一条多久。
[00:07:09.480] 男：黑暗，等我太久。
[00:07:14.220] 女：可以吧，把这个。
[00:07:16.500] 男：没带平板是吧？
[00:07:21.920] 女：面对。
[00:07:23.060] 男：手机屏幕太小了，我要光光。
[00:07:25.780] 女：行吧。
[00:07:29.640] 男：哎，我现在我不想冲浪。
[00:07:32.320] 女：干嘛？
[00:07:34.000] 男：最近最近网上多了好多很吃不下的词儿。
[00:07:39.260] 男：火影火影也是，火影照出来。
[00:07:43.540] 男：看你那个半人半兽那种。
[00:07:46.300] 男：叫胡瑞吗？
[00:07:49.420] 男：啊，可以。
[00:07:50.940] 男：可以。
[00:07:52.060] 男：他有了通灵兽。
[00:07:54.380] 男：就是。
[00:07:55.800] 男：那有个通普通灵兽是熊猫，反正也是。
[00:08:00.740] 男：因为他是瘦，然后福瑞这个梗子还在火影里。
[00:08:04.760] 男：他做了一款。
[00:08:06.220] 男：那个马。
[00:08:08.900] 男：都是人，但是他打出来又对你特效药。
[00:08:12.180] 男：所以莫名其妙的就跟福睿这个。
[00:08:15.880] 男：然后然后他们以至于现在柏林玩家看到那几个主播在直播的时候，看到别人打。
[00:08:25.500] 男：然后就出来了高福利。
[00:08:29.940] 男：然后这个东西被广泛应用于各种半人半兽或者是拟人化的兽人。
[00:08:36.535] 男：在。
[00:08:38.960] 男：然后就是啊。
[00:08:40.360] 男：高福瑞。
[00:08:41.365] 男：高。
[00:08:43.040] 男：超难分了3方2楼还有. 
[00:08:44.973] 女：同日自选呢。
[00:08:47.520] 女：他放二楼，还有福瑞自选呢。
[00:08:50.520] 男：我告。
[00:08:55.120] 男：以至于我现在看到看到看到一些形象脑子的一些。
[00:08:59.680] 男：弹出来这些。
[00:09:01.060] 男：来看着我。
[00:09:22.560] 女：可以啊。
[00:09:23.685] 女：没。
[00:09:34.200] 女：有一天了。
