[00:02:27.480] 男：不要啊。
[00:12:16.720] 男：然后他那时候我一入学，他问我是谁啊，怎么办呢？
[00:12:21.780] 男：然后。
[00:12:23.960] 男：我说。
[00:12:24.657] 男：旁边的人说。
[00:12:26.540] 男：呃，他这边来的。
[00:12:30.400] 男：你有多少盘？
[00:12:31.680] 男：你有多少单，然后。
[00:12:39.140] 男：又来一个吊车。
[00:12:41.580] 男：他拖后腿。
[00:12:43.320] 男：然后我那时候就一直记得我，我超级。
[00:12:51.560] 男：然后后。
[00:12:55.320] 男：本来就是个语文老师。
[00:13:00.480] 男：然后后面我发现。
[00:13:02.040] 男：老师。
[00:13:07.160] 男：那我觉得可能。
[00:13:09.660] 男：他他他可能。
[00:13:16.620] 男：然后后面他对我也蛮到。
[00:13:29.840] 男：了解。
[00:13:38.800] 女：然后你高中了。
[00:13:40.660] 男：包装。
[00:13:46.420] 女：我味道感觉像是有电视剧一样。
[00:13:51.240] 女：我我上初中时候，我我我对童年那我不感兴趣，每天往办公室跑。
[00:13:56.578] 男：我也是我。
[00:13:57.740] 女：但是但但是他们都是很年轻的老师，就像是大学生。
[00:14:04.680] 女：然后我就很想就那个了。
[00:14:06.620] 女：然后我再把你们。
[00:14:08.300] 女：话题也就。
[00:14:12.220] 男：我我是。
[00:14:13.680] 男：我那时候也。
[00:14:16.380] 女：但是不是我我跟那个老我跟那那那个老师，他说开学了，我最早跟你。
[00:14:21.780] 女：对于对于和别人之间关系的。
[00:14:25.840] 女：最直接的感受。
[00:14:30.860] 女：为什么摸我的头发要说，哎呀，你看就好。
[00:14:34.480] 女：不像不像我？
[00:14:41.780] 女：然后然后那个科目老师他要走。
[00:14:46.020] 女：临时发通知说他他要叫到德国上市，我当时时候他我特别特别难。
[00:14:51.300] 女：然后我就跑到办公室那边看着他了，结果我说我老公，我知道你要走了。
[00:14:55.640] 女：然后就是很不错的，然后在一片里面就淡了。
[00:14:58.880] 女：然后然后他在收拾东西嘛，然后完了之后他站起来。
[00:15:11.020] 女：然后然后那个方式我第一次感受到啊，原来原来可以用就是抱抱去表达那种很特别的苦。
[00:15:19.420] 女：然后就是老师带着我做的。
[00:15:23.860] 男：我们先不买。
[00:15:25.980] 女：明年太阳。
[00:15:31.100] 女：特别特别特别特别真诚的一个人。
[00:15:34.110] 女：后来。
[00:15:35.540] 女：后来你们又联系到。
[00:15:40.200] 女：哼呵呵平时带着我们班，然后有一次在厕所碰到。
[00:15:45.620] 女：他就说。
[00:15:48.100] 女：他就是我们两个都在洗手台那边洗手，然后他看到我说，哎，你是不是你是不是那个。
[00:15:54.620] 女：叫叫什么莫什么来。
[00:15:56.740] 女：然后我就我就很高兴，没有想到会想着自己的学生去去替学生可能。
[00:16:11.380] 男：那时代有没有一个好？
[00:16:19.620] 女：嗯，那个很很厉害的那个老师，那个那个什么。
[00:16:24.240] 女：那个高高考。
[00:16:26.620] 女：啊，我们我们。
[00:16:28.320] 女：智囊库专家那个。
[00:16:30.840] 女：只是一个实打实的课。
[00:16:32.964] 女：打。
[00:16:34.120] 女：是的是的，走一走。
[00:16:36.940] 男：社会打打赌。
[00:16:38.600] 女：不是。
[00:16:39.560] 女：那个社会达尔文图。
[00:16:48.620] 男：特别打扰问题，我有点忘。
[00:16:51.400] 女：有的厉害。
[00:16:57.540] 女：我我我最开始就学80%是他。
[00:17:01.720] 女：反正90是他直接推动的。
[00:17:04.120] 女：嗯，然后那个说。
[00:17:06.340] 女：我是三大班主任教的同学。
[00:17:12.520] 女：然后然后然后然后他他给我的心，他的他给我银行就到了我上那个语文课程技能。
[00:17:20.604] 男：嗯，我我会。
[00:17:21.555] 女：我会我会放恶心。
[00:17:29.620] 女：方便你没有离开。
[00:17:32.280] 男：那我应该都听不到。
[00:17:37.320] 女：有都不花。
[00:17:39.440] 女：冰冻的凉粉。
[00:17:41.200] 女：玫瑰花豆浆。
[00:17:45.500] 女：要高度。
[00:18:14.420] 女：还不如。
[00:18:17.030] 男：讲。
[00:18:18.300] 男：太平天和太阳。
[00:18:22.820] 女：乐高。
[00:19:02.600] 男：鸭肉要。
[00:19:03.800] 女：要要要要。
[00:19:08.080] 女：不问呀，没办法。
[00:19:15.500] 男：会主动地位。
[00:19:21.740] 男：你要白菜吗？
[00:19:23.068] 男：不要。
[00:19:24.540] 男：这个是什么？
[00:19:25.868] 男：没有。
[00:19:28.440] 女：倒一点点点辣。
[00:19:31.080] 女：然后不到痛。
[00:19:35.620] 女：汤的原来有辣吗？
[00:19:37.700] 女：他原来是辣的，有有辣，有一点辣。
[00:19:41.140] 男：所以我们昨天吃的。
[00:19:43.440] 男：有点辣嗯。
[00:19:45.100] 男：是吧？
[00:19:46.100] 女：有一点点。
[00:19:48.080] 男：不要汤喝就不要辣。
[00:19:51.360] 女：腰疼腰疼腰疼。
[00:19:54.020] 男：你看看六个六个。
[00:19:58.020] 男：这个呢。
[00:20:03.920] 男：要哭。
[00:20:05.160] 男：我的话嗯。
[00:20:07.220] 男：不要吧。
[00:20:09.140] 女：嗯，可以要一点点。
[00:20:12.500] 男：够了够了，跟我在一块。
[00:20:15.240] 女：不要点。
[00:20:31.280] 男：今早起是。
[00:20:36.460] 女：你现在可。
[00:20:40.820] 女：我一个朋友。
[00:20:42.660] 男：张二飞是谁，你认识？
[00:20:44.760] 女：冷静下来。
[00:20:46.600] 女：这道题忘记了。
[00:20:50.360] 男：啊，这个多少钱是吧。
[00:20:52.063] 女：这个都不这个多少钱。
[00:20:54.380] 男：到下一个了。
[00:20:56.800] 女：222324 25。
[00:21:06.260] 男：一点点。
[00:21:07.720] 男：呃，他的他的刚刚扣了。
[00:21:14.960] 男：快乐。
[00:21:30.320] 男：然后我这个少加葱跟香菜。
[00:21:34.460] 男：然后。
