[00:00:00.940] 女A：我现在没心情了，说吧，你们刚聊的啥？
[00:13:08.760] 女A：因为我不能对你的这个选择，我的这个建议提承担责任。
[00:13:13.259] 女A：你要把我看傻了，我说哥们怎么了？
[00:13:15.997] 女B：这是干嘛？
[00:13:18.060] 女A：感觉他他去帮别人的时候被人家创了。
[00:13:22.020] 女B：然后我感觉他被骂惨了的感觉。
[00:13:24.360] 女A：对啊，我我我哪敢找他呀。
[00:13:30.220] 女A：每日清楚口供。
[00:13:31.960] 女B：啊，怎么弄啊，要不叫黄炯。
[00:13:35.120] 女A：怎么样。
[00:13:35.836] 女B：我们我们要自己学，但是完整他。
