[00:00:00.000] 男：这时候能跟他们喝到6。
[00:04:08.904] 女：那我只有两个人帮我了呀。
[00:04:14.460] 女：那还有别的人可以帮我，我现在不是在努力的。
[00:04:18.200] 女：去构建我的。
[00:04:20.100] 女：嗯，这是系统。
[00:04:24.720] 女：你要怪自己能帮的不如别人多，是不是？
[00:04:28.260] 男：有点你这个笨蛋。
[00:04:32.620] 女：你这样想超级笨的好不好？
[00:04:38.280] 女：你不许这么想了。
[00:04:41.080] 女：你自己都跟我说，不给自己太大压力。
[00:04:44.800] 女：做你自己。
[00:04:48.360] 女：我经历过那种想给自己揽太大的。
[00:04:52.260] 女：但结果最后发现充当不了，然后他就会给我断掉，不想这样的，对不对？
[00:05:03.200] 男：我真的不应该问你那个问题。
[00:05:05.677] 女：我要去比较好不好？
[00:05:07.329] 男：不应该问你那个问题。
[00:05:09.188] 女：我也很想我当老师。
[00:05:11.140] 男：不应该问你那个问题，因为他对你也很重要。
[00:05:18.580] 男：为了自己的想法，就为了让你那么为难的问题。
[00:05:24.220] 男：让你为难了让你痛苦了。
[00:05:34.700] 男：为什么爸爸妈妈你们。
[00:05:42.260] 女：嗯，我说到这个，我还想开一个地狱玩笑哦。
[00:05:45.680] 女：可以吗？
[00:05:47.040] 女：你知道你知道自己的家庭是怎样的吗？
[00:05:49.920] 女：他爸爸在初中的时候喝醉酒，然后跳楼，就是掉下楼死掉了。
[00:05:55.120] 男：他爸爸初中的时候。
[00:05:57.320] 女：在他十几岁的时候掉下楼死掉。
[00:05:59.780] 男：那他妈妈呢？
[00:06:00.727] 女：他妈妈他妈妈就一个人。
[00:06:03.560] 男：你是说他他自己十几岁的时候，还是他爸爸十几岁。
[00:06:07.670] 女：他自己十几岁的？
[00:06:12.760] 男：他妈妈。
[00:06:15.980] 女：那他很讨厌他爸爸。
[00:06:18.700] 男：很自私，因为自己的痛苦经历的精神。
[00:06:23.200] 女：不是亲生哦，是他是他自己喝醉酒，然后到。
[00:06:27.600] 女：在阳台那里就看街上。
[00:06:31.780] 女：然后他这也不好过了，就是罪的生活，但是他谈他爸爸。
[00:06:37.220] 男：不管那你发以后发生什么事情都不要轻。
[00:06:42.300] 女：不要说轻生这个词。
[00:06:47.200] 男：不能自己的。
[00:07:01.020] 男：我不知。
[00:07:03.920] 男：我只能问心里的利。
[00:07:06.960] 男：我很想跟农村去。
[00:07:09.060] 男：但是我觉得这个事情。
[00:07:13.780] 男：是你相信我才怪我，我觉得我不能搞。
[00:07:17.680] 女：可以隐去我的我的身份和他。
[00:07:20.840] 男：我只能看。
[00:07:22.060] 男：跟我心里的另一面去讨论。
[00:07:31.640] 男：为什么我们不能翻译？
[00:07:45.240] 男：你可以答应我吗？
[00:07:47.420] 男：不管发生了什么，今天怎么样？
[00:07:50.640] 男：不要影影响你明天考试的状态。
[00:07:55.140] 男：因为如果。
[00:07:57.020] 男：年底的话真的会。
[00:07:59.660] 男：影响你以后的就业的。
[00:08:04.400] 男：我真的很想你，你能靠自己。
[00:08:07.320] 男：哪怕你不结婚。
[00:08:09.520] 男：哪怕你不结婚，你自己也可以。
[00:08:15.780] 男：能在这里靠自己的人。
[00:08:18.380] 男：我也。
[00:08:19.580] 男：坚持下去，过上好的生活。
[00:08:24.460] 男：到时候你去面试的时。
[00:08:27.300] 男：已经克服了面试的难关，然后别人却说你没有拿到毕业证、卡证。
[00:08:34.440] 男：我不信。
[00:08:36.440] 女：还没到。
[00:08:39.560] 女：我没有办法。
[00:08:40.980] 男：明明天明天再复习看一次。
[00:08:45.880] 男：把心态放好。
[00:08:51.980] 女：我要找一个老师。
[00:08:56.280] 男：我。
[00:09:00.840] 男：我也想陪你走下。
[00:09:05.020] 男：我不能再问你那个问题了。
[00:09:08.500] 男：很狡猾，很佩服的一个问。
[00:09:38.660] 男：是不能。
[00:09:43.580] 男：好吧，这一年多陪着你。
[00:09:54.160] 男：答应我，保护好自己好吗？
[00:10:00.060] 男：不要让。
[00:10:01.380] 男：自己的思想开放，变成别人伤害你、盯上你的。
[00:10:06.860] 男：盯上你了。
[00:10:18.940] 男：没有让你。
[00:10:31.200] 男：不要退。
[00:10:32.740] 男：不要把事情怪在。
[00:10:50.000] 男：我感觉我好像把你衣服弄。
[00:10:52.500] 男：哭了，流了好多泪。
[00:11:01.460] 女：第一次看到老师不这么。
[00:11:06.820] 男：不好说很多。
[00:11:09.420] 女：那我很荣幸。
[00:11:10.842] 男：啊嗯不要。
[00:11:56.420] 女：嗯，我怎么打？
[00:11:59.020] 男：还有因为。
[00:12:01.620] 男：不要因为。
[00:12:03.680] 男：不他觉得是因为。
[00:12:07.840] 男：导致他们盯上你。
[00:12:09.877] 女：没有。
[00:12:10.720] 女：没有。
[00:12:12.000] 男：不要笑。
[00:12:13.050] 男：没有啊。
[00:12:16.040] 女：有没有别的这个？
[00:12:18.920] 男：你上次说你上次说我没骗你上次说你自己的某些性格特质和身体的。
[00:12:27.560] 男：不得不进行交。
[00:12:29.800] 男：然后就就被他们称为满足。
[00:12:34.100] 男：欲望的。
[00:12:35.560] 女：对呀，但这个又不是我的问题。
[00:12:40.320] 女：我没有办法啊。
[00:12:44.340] 男：我真的感觉那天。
[00:12:46.420] 男：那天你又在自己咳嗽。
[00:12:51.540] 女：有也是我的课题呀。
[00:12:55.300] 男：不怪你那就是这个问。
[00:13:10.920] 男：我真的不能说服。
[00:13:13.440] 男：这哪怕只是最后这一年多。
[00:13:16.380] 男：放下心里的一切负担，跟你在一起。
[00:13:20.440] 男：我真的睡不着。
[00:13:22.280] 男：我觉得如果是这样的话，我真的只是。
[00:13:26.100] 女：没有。
[00:13:30.620] 女：听当事人的。
[00:13:33.300] 女：我也很。
[00:13:45.220] 男：我感觉这两天我只是在。
[00:13:48.920] 女：我跟你说了，因为因为因为我觉得在你不自信的情况下，我主动去做是对你不负。
[00:13:59.480] 男：我也会让你难受吧。
[00:14:02.780] 女：我，好。
[00:14:03.860] 女：我真的很就想和你抱抱了。
[00:14:07.820] 女：所以我才我才在那天喝了。
[00:14:16.200] 女：对，不是在普通。
[00:14:21.680] 女：给他抓到一个。
[00:14:32.080] 男：我以后不会再问你那样的问题了。
[00:14:36.700] 男：原谅我。
[00:14:46.120] 男：会让你为。
[00:15:02.280] 男：不要逼为难吗？
[00:15:17.420] 男：我们慢慢去想前去看房。
[00:15:48.160] 女：没那么贵了。
[00:15:51.300] 男：我感觉好。
[00:16:01.420] 女：出库了，出库出来。
[00:16:32.980] 女：所以说可能有点过激了。
[00:16:36.600] 女：就是在我。
[00:16:38.680] 女：你回到了。
[00:16:42.040] 女：如果当老师的时候，找到了一个可以想要一。
[00:16:46.820] 女：那是一个。
[00:16:48.400] 女：我我肚子也不好。
[00:16:52.040] 男：现在不要这样想。
[00:16:54.300] 男：我现在不要这。
[00:17:07.620] 男：我现在心里。
[00:17:10.360] 男：想跟你走下。
[00:17:23.660] 男：我会调节好的。
[00:17:26.820] 男：你相信我。
[00:17:44.080] 女：难过的事情我都。
[00:18:06.020] 男：因为我不知道怎么样才。
[00:18:21.320] 男：头发用陈老师家的洗发水不相容。
[00:18:25.200] 男：稳定。
[00:18:29.560] 男：没有用护发素，超级硬。
[00:18:50.620] 女：哎，是什么？
[00:18:56.400] 女：那你说你干什么事？
[00:19:02.020] 女：你的。
[00:19:03.260] 女：心理医生的一般。
[00:19:05.300] 女：作用是引导你去学习，去。
[00:19:09.900] 女：算是会。
[00:19:16.260] 女：需要的话可以试试。
[00:19:19.340] 女：那个真的好贵。
[00:19:26.860] 女：超级贵，一下几百块1周。
[00:19:29.980] 男：上高中的时候就告诉你，医生一看挂号费就要上。
[00:19:34.900] 女：然后保持，因为上次看你这些刷。
[00:19:38.140] 女：你的。
[00:19:39.320] 女：到时候可以去。
[00:19:41.320] 男：要找谢超。
[00:19:45.500] 男：那个我不知道。
[00:19:53.420] 男：我不知道要。
[00:20:09.200] 男：以后再说吧。
[00:20:37.220] 男：我想去一趟洗手间。
[00:20:44.220] 男：我把包背着，其他的先丢在这里。
[00:21:27.920] 女：可是在之后我才意识到这个。
[00:21:40.220] 女：不不含着他要。
[00:21:42.180] 女：因为。
[00:21:43.940] 女：唱歌不爱听。
[00:22:36.240] 女：你这个吗？
[00:22:48.340] 男：关键难过。
[00:22:54.420] 女：那看来我再跟他们。
[00:23:00.800] 女：就是说一个是在那里。
[00:23:02.820] 女：哎，我看到了。
[00:23:04.800] 女：矿泉水加上。
[00:23:08.400] 女：我，可是我不要，我伤害自己。
[00:23:10.568] 女：自己不。
