[00:00:01.040] 男：获得了优惠券。
[00:05:09.260] 男：相当于是。
[00:05:11.440] 男：带头老大了。
[00:05:14.340] 男：那有的有的大牌2一两岁的都讲不过。
[00:05:18.820] 女：哼，那口才太好了。
[00:05:22.280] 男：我真的有点怀疑啊。
[00:05:24.314] 男：我爸妈说他们。
[00:05:26.720] 男：呃，怀我的时候，我妈怀我的。
[00:05:31.140] 男：我也特别了。
[00:05:32.820] 男：故意这个你。
[00:05:36.020] 男：啊，也不敢。
[00:05:37.900] 男：然后生我弟的时候。
[00:05:42.620] 男：看我弟的时候。
[00:05:44.100] 男：因为。
[00:05:45.040] 男：我去前面，我妈又要了两。
[00:05:48.140] 男：没有决定要最后。
[00:06:04.060] 男：然后把后面。
[00:06:06.060] 男：把我弟弟出来也。
[00:06:09.100] 男：然后我觉得我一直比我脑子更好一点。
[00:06:12.420] 男：但是我弟他闷，他现在更闷到家。
[00:06:15.980] 男：高架号角。
[00:06:17.720] 男：然后我跳到那个时候，真的是我爸妈完全没有想过要。
[00:06:24.380] 男：然后过年喝醉了喝醉了。
[00:06:28.220] 男：然后就是一直喝一直喝，然后过完年回来又去喝了两杯。
[00:06:33.720] 男：也喝的。
[00:06:35.560] 男：然后结果后面过完年两个月后感觉不对劲啊，然后然后一验哦。
[00:06:44.220] 男：我爱我没。
[00:06:46.860] 男：然后他们那时候还专门开了个会，把我跟我弟叫到一起，问你们想不想要再要一个。
[00:06:56.360] 男：然后就然后就这样，他就。
[00:07:01.900] 男：他说喝喝醉了这么多次，会不会对药的发育有。
[00:07:09.540] 男：然后结果就是笑笑笑笑的嘴比我们两个。
[00:07:13.940] 女：我真服了。
[00:07:17.240] 男：哎，我都不知道是受喝酒的影响，还是受我爸妈影。
[00:07:23.620] 女：我觉得和你的关系比较大吧。
[00:07:26.640] 男：不知道。
[00:07:30.040] 女：越喝越疼。
[00:07:35.320] 男：你好。
[00:07:36.580] 女：看得到。
[00:07:38.460] 男：喝醉了打不过。
[00:07:40.740] 女：可能吧。
[00:07:41.980] 男：坐得稳吗？
[00:07:43.111] 男：坐得稳。
[00:07:52.420] 男：冷吗？
[00:07:53.160] 男：不冷。
[00:07:56.140] 男：你可以摸一下我。
[00:07:59.640] 女：你他妈。
[00:08:07.560] 男：配件里面。
[00:08:09.520] 女：自发热情。
[00:08:11.340] 男：在店里面。
[00:08:12.480] 男：不要你说好的。
[00:08:17.560] 女：我天生体态。
[00:08:29.780] 女：太快了。
[00:08:31.740] 男：哦，我。
[00:08:33.160] 男：这都能怪我啊。
[00:08:36.060] 女：为什么穿三件衣服还。
[00:08:41.840] 女：男人一直在都在好。
[00:08:53.020] 男：也有可能是我我直房。
[00:09:00.620] 女：等一下。
[00:09:18.820] 女：打电话可以。
[00:09:35.020] 女：很多。
[00:09:44.820] 男：有我们。
[00:09:46.180] 男：说对了吧。
[00:09:53.520] 女：应该不能懂啊。
[00:10:00.620] 女：他说他没有太影响。
[00:10:03.980] 女：他完全不影响。
[00:10:05.960] 女：就是在这种会灰灰手的话，会感觉到。
[00:10:23.220] 女：我妈倒是要看看她她她手拉伤了。
[00:10:28.340] 女：后腰疼了好像有好几个月，一两个月。
[00:10:43.680] 男：他他中学的时候被那个。
[00:10:48.340] 男：他那个时候。
[00:10:55.060] 男：就店里和国家会。
[00:11:01.240] 男：然后会去想下，到时也好。
[00:11:09.320] 女：有点不同。
[00:11:13.060] 女：不嫌不嫌晚了，今天。
[00:11:20.060] 女：嗯，明天明天还。
[00:11:22.560] 男：那就走吧。
[00:11:36.840] 男：我妈说那个时候他被。
[00:11:39.000] 男：运动员。
[00:11:49.460] 男：他说跑步微博。
[00:11:52.380] 男：然后我妈问他。
[00:11:54.780] 男：有钱。
[00:11:59.520] 男：呃，然后人家。
[00:12:02.060] 男：我会帮他。
[00:12:06.220] 男：每秒，那我们。
[00:12:08.200] 男：我妈就说现在很后悔。
[00:12:10.940] 男：但是如果那个时候去了。
[00:12:14.820] 女：哈哈哈哈。
[00:12:24.980] 女：怎么告诉？
[00:12:27.360] 男：过了多久没两天。
[00:12:31.660] 女：他他但是我看上去不太熟练干嘛，然后找到了。
[00:12:39.840] 女：这个是吧？
[00:12:41.360] 女：不是我我不太符合他们那个效率制造的要求。
[00:14:30.680] 男：这边的路。
[00:15:29.320] 女：这种啊。
[00:15:41.820] 男：十块钱导弹。
[00:15:49.100] 女：什么意思？
[00:15:50.940] 男：就是那种类似于套圈圈。
[00:15:53.380] 女：什么是从你写到我们不是错？
[00:15:59.080] 男：如果不出错的话。
[00:16:01.100] 女：这不是很容易吗？
[00:16:03.480] 女：为什么？
[00:16:11.220] 男：我第一次。
[00:16:12.620] 男：点到100。
[00:16:13.620] 男：嗯，然后写第二次的。
[00:16:20.080] 男：然后最长的一次是截到300 300。
[00:16:24.540] 女：有时间要求吗？
[00:16:27.200] 男：没有时间要求。
[00:16:31.200] 男：也可以自己设。
[00:16:33.620] 女：那为啥？
[00:16:35.900] 男：我也不知道什么东西，就好像是你写东西写久了。
[00:16:40.180] 男：可能就是要。
[00:16:42.460] 男：脑子就是。
[00:16:44.820] 男：大哥让你。
[00:16:49.840] 女：好，谢谢。
[00:16:51.860] 男：100块。
[00:16:53.280] 男：然后然后写到。
[00:16:57.480] 男：你给他一杯进去安慰一下。
[00:17:01.300] 女：没有惩罚吗？
[00:17:03.160] 男：他都给我十块了，还要。
[00:17:05.180] 女：哦，给十块参加是吧？
[00:17:07.052] 女：对呀。
[00:17:11.120] 女：不亏。
[00:17:14.340] 男：你们觉得我会亏吗？
[00:17:15.824] 女：你们觉得我会亏吗？
[00:17:17.308] 女：不亏。
[00:17:20.900] 女：风好大有6分之1的成功率，你也就你也是刚刚好抵消，但是肯定成功率是比6分之1小的。
[00:17:31.060] 男：我感觉哎，如果你在街边碰到这个，你会有去玩的冲动吗？
[00:17:35.800] 女：看什么时候碰到的。
[00:17:39.800] 女：如如果是个朋友的话，我可能会。
[00:17:44.380] 女：你然后再看老板。
[00:17:46.120] 女：一场吧。
[00:17:58.120] 女：好危险啊，一个人是绝对不敢走的。
[00:18:03.220] 男：不用谢，带你不走。
[00:18:04.620] 女：我真走不过哎。
[00:18:05.980] 女：累死。
[00:18:06.920] 男：那里没有。
[00:18:08.500] 女：他是从六公园回回来的。
[00:18:13.600] 女：对吧一个。
[00:18:17.900] 男：我觉得这个灯不是不是不是。
[00:18:20.272] 女：这儿是荔湖公园回去那条路上哦。
[00:18:23.480] 男：那里是白光。
[00:18:24.773] 女：就是很很多呃公交站点。
[00:18:27.500] 女：但但是那那边是不亮灯的。
[00:18:32.140] 女：就整个街没什么灯，然后那个站台还是被树挡着一半。
[00:18:38.500] 男：那里而且那里我记得好像是白色的还是白色的对。
[00:18:42.440] 男：我觉得那个白的看着很。
[00:18:46.520] 女：有阿姨，我实实的，但是他那个路是修平的。
[00:18:51.220] 女：就是那人行道上面有时候会有地砖路嘛，它那个砖是不平整的，有一些陷进去的。
[00:18:58.420] 男：嗯，我感觉走这种路。
[00:19:02.240] 男：我挺喜欢这种。
[00:19:06.220] 女：不是设计，他就是做，也不是说设计吧。
[00:19:09.462] 男：就是主要是他那个路灯是。
[00:19:12.360] 男：暖色调的哦。
[00:19:13.678] 女：您是这个这边。
[00:19:16.020] 男：像那个白色的，我就会觉得很。
[00:19:19.920] 女：我站在上边。
[00:19:22.140] 女：一动不动。
[00:19:25.260] 男：等一下。
[00:19:30.020] 男：然后然后。
[00:19:32.820] 男：无神论者，然后拿着拿拿着砖过来物理超度。
[00:19:37.360] 女：牛逼。
[00:19:40.780] 女：别这么狠吧。
[00:19:43.280] 女：这是哪栋楼？
[00:19:45.420] 男：养老院。
[00:19:46.560] 女：不饿了。
[00:19:47.960] 女：你怎么知道？
[00:19:49.460] 男：好的。
[00:19:56.720] 男：你稍等。
[00:19:59.780] 女：不要。
[00:20:00.940] 女：不能。
[00:20:04.800] 男：刚刚隔着衣服都。
[00:20:06.920] 女：真的吗？
[00:20:08.760] 男：我估计你的手手不一定有。
[00:20:11.444] 男：我现在被。
[00:20:14.820] 男：好吧，还是多。
[00:20:18.380] 女：真不能。
[00:20:20.680] 男：你摸我，摸摸肩膀，摸脖子。
[00:20:30.220] 男：谢谢我妈给我。
[00:20:37.800] 女：阿姨真厉害。
[00:20:43.600] 男：啊，他真的好。
[00:20:44.780] 男：那我兄弟三个都是。
[00:20:47.100] 女：嗯。
[00:20:48.140] 男：我妈说我们是。
[00:20:49.592] 女：欧布产啊。
[00:20:51.200] 女：你看一下。
[00:20:52.140] 女：你没有你第一胎没有正常吗？
[00:20:55.020] 男：呃，抛抛，如果生小孩第一。
[00:20:59.140] 男：以后都不能。
[00:21:01.520] 女：啊，这样吧。
[00:21:02.384] 男：我妈是这样做。
[00:21:04.180] 男：我不知道为什么。
[00:21:06.160] 女：有有可能是容易裂。
[00:21:09.560] 男：是的，我妈，对。
[00:21:10.665] 女：有可能我我妈说我是顺产，把它痛。
[00:21:17.860] 男：我我弟我妹都是跑步。
[00:21:21.520] 男：嗯，他之前。
[00:21:23.520] 男：嗯，我记得小学六年级的时候，他问我敢不敢看。
[00:21:28.280] 男：然后我认为啊。
[00:21:30.440] 男：然后他就给我看了，然后看到一半他自己都不敢看了，他说你不害怕吗？
[00:21:35.996] 男：嗯啊。
[00:21:37.960] 男：然后看我没什么反应，然后他会觉得。
[00:21:42.380] 女：六年级还不太适。
[00:21:44.600] 女：你看这个吧，但是我我真的。
[00:21:46.979] 男：有印象就是。
[00:21:48.060] 女：就是就是去讨论这个东西。
[00:21:59.820] 男：然后我那时候吃完午。
[00:22:01.700] 男：我不知道。
[00:22:02.800] 男：吃完午饭。
[00:22:04.580] 男：班主任就过来宿舍找我说。
[00:22:07.560] 男：现在。
[00:22:10.140] 男：说我爸给我打了车，然后。
[00:22:26.520] 男：嗯，哎虽然说的很。
[00:22:28.240] 男：很不吉利啊。
[00:22:29.354] 男：就是。
[00:22:30.040] 男：就是我过去，我记得我妈那个时候生完生完笑笑。
[00:22:36.580] 男：那个状态就真的很。
[00:22:40.340] 女：肚子都剖开了。
[00:22:44.540] 男：盖盖的那个被子。
[00:22:48.860] 男：然后他后面给我。
[00:22:51.500] 男：有的时候就后面我记得小时候吧，然后之前也会前阵子也会，寒假的时候也给我。
[00:23:03.600] 女：我拍给你们看。
[00:23:08.860] 男：他这方面的观念还。
[00:23:15.500] 女：我操。
[00:23:17.700] 男：啊，我外婆也会跟我们讨论。
[00:23:42.840] 女：对对对。
[00:23:50.220] 女：从那个从那个。
[00:23:53.700] 女：然后到。
[00:23:54.820] 女：坏了，然后到后面阳台，然后到。
[00:23:57.820] 女：分开，然后他分开之后。
[00:24:00.220] 女：那他们你要每一个红。
[00:24:04.520] 女：对对女人来说都很贵。
[00:24:12.820] 女：我好像说他生了没几个之后，那肚子已经。
[00:24:17.020] 女：就就蹦蹦迪耷拉下。
[00:24:20.800] 女：就就变松鼠。
[00:24:23.560] 男：他他他肚子那块皮确实。
[00:24:29.620] 男：然后他说。
[00:24:36.620] 男：做瑜伽，然后在跳舞。
[00:25:12.180] 男：啊，可能可能老他的。
[00:25:14.820] 男：还是有一点。
[00:25:20.020] 男：他觉得呃。
[00:25:21.420] 男：不生小孩子。
[00:25:22.520] 男：不生小孩子。
[00:25:24.620] 男：然后他说呃，可能跟我外婆还有他自己的那。
[00:25:30.200] 男：我外婆。
[00:25:32.300] 男：一个女儿，一个儿子，过年的时候基本上。
[00:25:36.780] 男：的人，老人都很。
[00:25:39.620] 男：很多，反正过年回来。
[00:25:42.700] 男：然后他说他觉得坑了我们。
[00:25:45.900] 男：没看过，他觉得也。
[00:25:48.320] 男：然后他说。
[00:25:49.840] 男：我大姨二姨没有小孩，所以想然后他们等他们老了之后，又没人照顾也。
[00:25:56.680] 男：所以他觉得还是很。
[00:26:04.760] 女：不同意。
[00:26:05.940] 男：不是说不同意，如果说。
[00:26:08.580] 男：他说如果他未来而。
[00:26:10.800] 男：出来游。
[00:26:11.760] 男：产后。
[00:26:19.080] 男：要么没给够安全感，要么就是。
[00:26:22.360] 男：是他的原因。
[00:26:30.900] 男：他让我。
[00:26:32.220] 男：他说。
[00:26:34.620] 男：他现在。
[00:26:36.460] 男：中间的那个手指手指关节是。
[00:26:39.860] 男：因为他他跟了我们坐月子。
[00:26:58.080] 男：他说他们做的他们做的就是以后。
[00:27:02.360] 男：让让儿子好好好好养着呗。
[00:27:12.620] 男：不过我觉得他能这样。
[00:27:16.220] 男：至少不会让我们。
[00:27:22.320] 女：你奶奶更严。
[00:27:25.980] 男：就是你说他也不一样，我奶奶远程他也不。
[00:27:30.480] 男：也有了。
[00:27:33.180] 男：但是他缺点是。
[00:27:35.400] 男：他的缺点。
[00:27:45.680] 男：然后我们一家都是比较，就除了我买。
[00:27:50.800] 男：然后我奶奶都没什么。
[00:27:57.220] 男：我现在我现在。
[00:28:03.000] 男：一、白脸色的。
[00:28:08.480] 男：非常有个性。
[00:28:12.240] 男：看到什么他都要补。
[00:28:52.560] 女：宝宝。
[00:28:55.620] 男：早把这种东西放掉就好了。
[00:29:51.960] 女：呃，不过不过你要是没说的话，我可能在学校里面放。
[00:30:44.400] 男：不知道，我现在。
[00:30:52.240] 女：也有。
[00:31:17.420] 女：为了免费的感。
[00:31:25.420] 女：抖音了。
[00:31:26.263] 男：咬完我，然后再去。
[00:31:28.231] 女：找我可以抖音了。
[00:31:35.780] 女：谢谢，我都快到了。
[00:32:04.880] 女：我还以为是小区呢。
[00:32:13.460] 女：冷不冷？
[00:32:17.580] 男：我这里是最热的。
[00:32:23.020] 女：我这里也热啊，不能这么看。
[00:32:29.240] 女：我只是是主动脉吗？
[00:32:31.660] 女：有两条腿都迈在那，有六个。
[00:32:35.620] 男：我肩膀，我这大臂这里，手肘这里。
[00:32:45.680] 女：谁不是？
[00:32:49.200] 女：你猜我为啥要把手缩进去？
[00:32:52.360] 女：你就就是在那一块比较暖和。
[00:33:01.460] 女：那个那个那个卤蛋大哥的卤汁放了好多块。
[00:33:13.680] 女：我不能。
[00:33:15.040] 女：只会吃饭，但是但是这样是不够的。
[00:33:18.720] 女：凉凉拌啊。
[00:33:19.748] 女：对啊，人家饭我都会加很。
[00:33:23.240] 男：那我就我我。
[00:33:26.400] 女：你有没有吃过那种东北的？
[00:33:29.620] 女：他他们那边烤肉。
[00:33:31.740] 女：店里面会习惯在桌桌旁边放2 2块生算，我们那也有，你们那儿也有吗？
[00:33:38.567] 男：我们那还有专门腌过的腊八蒜啊。
[00:33:41.862] 女：他们那也是。
[00:33:44.180] 男：但是我吃不惯辣。
[00:33:45.720] 男：8。
[00:33:46.400] 女：我不感我感觉跟有毒药绿色的是吧，我朋友他做他自己做。
[00:33:52.220] 女：然后对。
[00:33:58.020] 女：我靠，他们吃了一块肉，然后然后整个很。
[00:34:02.120] 女：兄弟，怎么嚼吧嚼吧，把我看傻逼了。
[00:34:06.500] 男：远远那个。
[00:34:08.980] 女：我我这个好像是三周五，对吧？
[00:34:11.820] 女：对，这个这个。
[00:34:13.329] 男：别的就是直接。
[00:34:24.680] 女：好大的客户。
[00:34:33.100] 女：不要。
[00:34:34.180] 女：好吧。
[00:34:36.580] 女：你那是干呀。
[00:34:41.420] 女：应该不到九点更好的。
[00:34:43.680] 女：怎么样？
[00:34:58.980] 女：阿姨在吗？
[00:35:02.600] 女：哎，都收摊了。
[00:35:27.600] 男：阿姨后面。
[00:35:28.960] 男：那个位置比较胖。
[00:36:05.640] 女：我的数学是只能还一半。
[00:36:08.040] 女：这个基本太小，我还不了。
[00:36:12.940] 女：我妈估计找不到，结果本人回去了。
[00:36:15.563] 男：回到微信上。
[00:36:41.920] 女：快递这个部分。
[00:37:09.820] 男：是的。
[00:37:11.220] 女：那个菠萝包子。
[00:37:13.400] 男：靠，你还放着。
[00:37:14.963] 女：我回头开口袋，但是没找到垃圾桶。
[00:37:32.660] 男：这个是那个蛋糕，蛋糕有没有？
[00:37:56.800] 男：室友在群里发，说明天要查宿舍。
[00:38:00.120] 男：我说到后。
[00:38:03.400] 女：我们查查。
[00:38:05.460] 女：我哪里？
[00:38:07.660] 女：我得五分钟后。
[00:38:14.240] 女：而且是错误。
[00:38:15.306] 女：但我没有。
[00:38:18.440] 男：有了吧。
[00:38:20.200] 女：啊，第一个。
[00:38:21.120] 男：手机用久了真会出bug。
[00:38:24.320] 男：我爸那个iphone叉，他现在都。
[00:38:29.580] 男：这个是。
[00:38:33.140] 女：也挺老的，是我表姐留下来给我。
[00:38:48.580] 女：除非他真的要。
[00:39:00.560] 男：嗯，你别在那装模作样的过。
[00:39:06.400] 女：但是他们真的很。
[00:39:20.000] 女：现在应该还没太多的吧，我去看一下。
[00:39:27.020] 男：什么时候再去更新啊？
[00:39:28.766] 男：你。
[00:39:29.100] 男：这种高峰。
[00:39:30.140] 男：什么？
[00:39:32.860] 女：你的你的外套。
[00:39:35.360] 男：呃，昨天一天打了。
[00:39:43.600] 男：回家啊。
[00:40:45.420] 女：这边有没有那个进入要求的，这边挺适合。
[00:40:49.280] 女：不需要。
[00:40:51.020] 女：比娜娜适合多了。
[00:40:56.100] 男：感觉坐进去。
[00:41:03.620] 男：基本上就是杀杀杀，十个死一两次。
[00:41:07.110] 男：两。
[00:41:14.060] 女：我朋友换了个发型盒。
[00:41:16.420] 女：潘一峰就已经没认出来。
[00:41:26.160] 男：因为在云游那个。
[00:41:29.540] 女：不会等于6。
[00:41:34.820] 女：这是有。
[00:41:41.420] 男：干嘛？
[00:41:43.020] 女：回忆。
[00:41:45.640] 男：对呀。
[00:41:48.120] 男：呃，我其我我其实一直是。
[00:41:54.020] 女：你会让我。
[00:41:55.480] 女：但是克吧遇到了文艺男的。
[00:41:58.620] 男：比如。
[00:42:03.820] 女：你戴这个眼镜，我到时候给你给你那个星星第四家。
[00:42:09.520] 女：挺适合的。
[00:42:11.280] 女：你那个头发。
[00:42:12.980] 女：然后要换换一个什么什么衬衫，灯笼裤。
[00:42:25.580] 男：我觉得我爸妈不会。
[00:42:27.840] 女：一个人的话。
[00:42:29.600] 男：我流程。
[00:42:31.460] 男：大二那个。
[00:42:33.120] 男：啊，真的。
[00:42:34.460] 男：他们不会。
[00:42:37.120] 女：你在隧道哦，你要你们打出行的轨道。
[00:42:41.620] 女：你们的色情动画那个。
[00:42:43.720] 女：在学校最简单的，家里又没什么。
[00:42:49.380] 男：我我高中同学。
[00:42:52.040] 男：看小马那家伙。
[00:42:54.140] 男：他之前每次一留留一整个学期等了两三天就放假了。
[00:42:58.754] 男：回家回家前他就要把那个头发给剪除了。
[00:43:02.460] 男：然后一点然后又有一个血。
[00:43:12.720] 男：哎，小马这人在。
[00:43:28.040] 男：现在画的。
[00:43:40.720] 女：你看这个底色是一。
[00:43:44.180] 女：我讲一大堆。
[00:43:47.540] 女：不跟不跟我。
[00:43:49.160] 女：自从我看到你给我拍那个视频的封面之后，我要吐了。
[00:43:52.620] 女：他吓得我吓得我马上拿马马上来给到车我。
[00:43:58.560] 女：他肯定肯定。
[00:43:59.876] 女：对。
[00:44:01.900] 女：我书写的时候，我觉得自己自己偷上课偷偷剪头发，就是因为我低头之后，他好像跳真不爽。
[00:44:09.480] 女：结果结果我只是只剪前面不剪后面，然后把前面的片段之后，过一阵子他又流长了。
[00:44:15.840] 女：会都没倒。
[00:44:18.540] 女：当然出去。
[00:44:23.960] 女：增长增长那个生命力特别。
[00:44:35.160] 女：我的人好像。
[00:44:37.820] 男：看到我头发的白头发，他都要跑掉。
[00:44:41.000] 女：嗯，你没有断定白头。
[00:44:44.700] 男：至少有目测十来分。
[00:44:47.340] 女：我寒假的时候，我你选我的这个东西应该要了。
[00:44:50.736] 男：对啊，我寒假的时候我在那坐着。
[00:44:53.200] 男：我班姨突然凑过来，一边聊天一边摸我的。
[00:44:57.620] 男：那我要不。
[00:45:02.220] 男：应付他的聊天，我突然感觉。
[00:45:08.720] 男：我给你学一下。
[00:45:09.929] 女：他他带了个关子。
[00:45:14.100] 男：现在的话他有点头发。
[00:45:17.340] 男：给你好了啊。
[00:45:18.280] 女：可以，你们那个你们准备好这个。
[00:45:24.240] 女：已经好了啊。
[00:45:29.620] 男：他有点像那个生蚝的那个豪的发音。
[00:45:35.880] 男：有点儿化。
[00:45:45.120] 男：然后我妈也会哎，没事的时候就。
[00:45:48.200] 男：在我头发里面。
[00:45:51.040] 男：我说你干嘛不给。
[00:45:52.514] 女：我爸太多了，两个人。
[00:45:54.400] 男：一个丢了你发的这个。
[00:46:00.980] 女：我爸以前会偷偷跑到洗手间去。
[00:46:09.020] 男：就是头发头发浓密吗？
[00:46:11.340] 女：妆浓不浓，说这个是刚刚好。
[00:46:19.420] 女：我还挺挺好的，可以看到。
[00:46:32.700] 男：生气不要了。
[00:46:34.080] 男：然后我说你干嘛？
[00:46:39.840] 男：他对着镜子出头。
[00:46:42.940] 男：就那几根啊，我我觉得不可能比我大拇指甲盖长一点点的那个头。
[00:47:02.840] 男：然后他突然出来了，我说我干嘛？
[00:47:19.580] 女：这能感这都能感觉到吗？
[00:47:21.451] 女：放进来吧。
[00:47:35.140] 男：工作日晚上。
[00:47:37.780] 女：我没有换外套啊，这个是袍。
[00:47:41.240] 男：刚讲完嘛，我带个暖宝宝出来，然后风大了之后，我就把暖宝宝。
[00:47:46.840] 男：开了，放在口袋。
[00:47:49.640] 女：我四点多了，好吧，马上就睡了。
[00:48:01.240] 女：不要。
[00:48:02.980] 女：不要。
[00:48:16.220] 女：看看到。
[00:48:17.440] 女：开到十点半。
[00:48:22.640] 女：嗯，稍微是。
[00:48:24.660] 女：稍微。
[00:48:37.900] 女：到你了。
[00:48:49.820] 男：你想待到十点半？
[00:48:51.660] 女：你没有睡。
[00:48:59.160] 女：你还有500没还哦。
[00:49:02.840] 女：我我想再看看。
[00:49:04.620] 女：你别动气了。
[00:49:19.360] 女：去不了，我已经去过一次了。
[00:49:23.120] 女：学姐跟我说可以，无无限是假的。
[00:49:26.700] 男：可能是要把实体书拿过来。
[00:49:31.820] 男：那那如果这样的话，就给他。
[00:49:34.400] 女：无所谓。
[00:49:35.920] 男：无所谓。
[00:49:37.280] 女：天哪，这六百。
[00:49:50.620] 女：有有。
[00:49:53.220] 女：你在四惠那边都是门口啊。
[00:50:02.360] 女：我后是为了遭风败俗的苦。
[00:50:06.820] 女：黑色的屁股。
[00:50:13.960] 女：他给不给你个单子，花了几百，也是看没人有那个骗子。
[00:50:18.387] 女：哎。
[00:50:18.588] 男：我跟你说你那那这样说的话，我要给你推荐推荐一个网站啊。
[00:50:23.860] 男：是今年。
[00:50:25.100] 女：的论文。
[00:50:26.700] 女：那你你是跟商业。
[00:50:29.780] 男：哎，那我就要给你推荐那个网站。
[00:50:32.280] 男：那个网站的那个自称名叫谢。
[00:50:37.460] 男：嗯。
[00:50:39.140] 女：研究ht吗？
[00:50:41.180] 男：啊，就是你必须是。
[00:50:43.800] 男：用专业的、角度严密的、逻辑自洽的。
[00:50:48.660] 男：自洽的逻辑去论证一坨狗屎。
[00:50:51.700] 男：就是。
[00:50:53.020] 男：道士的期刊。
[00:50:54.880] 男：行是某个。
[00:50:56.540] 男：某个大学生毕业论文。
[00:50:58.860] 男：很认真写写出来的，没有通过，还被那个。
[00:51:04.760] 男：指导老师评价为狗屎。
[00:51:11.040] 男：然后恼羞成怒，成立了这样的网。
[00:51:15.400] 男：然后随便写写的，不能在上面被发表。
[00:51:21.260] 男：你直接拿进去。
[00:51:26.000] 女：123456。
[00:51:39.300] 女：我今天好热啊，还没回。
[00:51:51.180] 女：要找护肤品。
[00:53:27.740] 女：很可爱呀。
[00:53:59.800] 男：你要按头像。
[00:54:19.360] 男：写上自己的老师的名字。
[00:54:21.620] 女：我支持。
[00:54:26.020] 女：你要吃蛋糕吗？
[00:54:29.580] 女：我先回去。
[00:54:34.420] 女：风有点大。
