[00:00:01.400] 女：哦。
[00:03:19.540] 男：你说什么？
[00:03:20.920] 女：就如果是早上期待课的。
[00:03:23.360] 女：对呀，我也不知道他是怎么算的对呀，如果一节课一一节课也是，他万一中间上累了，跟你说加价怎么怎么办？
[00:03:31.779] 女：如果说提前提前付完了。
[00:03:33.692] 男：那他不去了，就一次一次单找吧。
[00:03:36.840] 男：那你那样找也也也也容易。
[00:03:41.240] 女：一节课一个月。
[00:03:43.420] 女：你给刻一个人。
[00:03:45.020] 男：对，所以到时候。
[00:03:47.300] 男：累一点累一点吧。
[00:03:49.280] 男：就当回去玩了。
[00:03:50.756] 男：嗯。
[00:03:51.002] 女：我我主要是担心我说什么时候需要我。
[00:03:55.220] 女：不玩，不不那个。
[00:03:58.040] 女：连着几天带皮1块1块用。
[00:04:03.700] 男：到那个情况在等待客。
[00:04:06.060] 女：你给我。
[00:04:07.060] 女：找了一下，频率应该也不太高嗯。
[00:04:10.420] 男：我有几个感。
[00:04:13.080] 女：跟你。
[00:04:14.840] 女：嗯，老同学。
[00:04:16.520] 男：端午节特别快。
[00:04:18.540] 女：三个。
[00:04:20.180] 男：清明我几点要回老家？
[00:04:23.660] 男：三年三年三年，今年是。
[00:04:27.620] 男：嗯，他爷爷走，他爷爷奶奶到地方里面回去给他添土了。
[00:04:38.040] 女：不想喝。
[00:04:40.180] 男：浪费。
[00:04:47.920] 女：口号。
[00:04:50.060] 男：等回去放凉再说。
[00:05:04.960] 女：反正去多以前不会跳水股。
[00:05:12.480] 女：你连自己车都没有。
[00:05:14.980] 男：因为你那个反应那个。
[00:05:16.740] 女：那你干嘛？
[00:05:18.940] 女：你知道你知道我那天选的有多甜吗？
[00:05:22.467] 男：不知道多软吗？
[00:05:23.877] 女：不知道你你你给我他的这个钉是硬的。
[00:05:27.780] 男：不知道。
[00:05:30.000] 男：陈本武将、陈乃武将，不善言辞。
[00:05:35.820] 女：快乐。
[00:05:41.060] 女：还没从这里走上去过。
[00:05:44.020] 男：别走了，明天还起不起了。
[00:05:47.297] 女：没有说今天走干嘛。
[00:05:53.300] 男：好嘛，对不起嘛，对不起。
[00:05:56.420] 男：不说了，我我我点炮。
[00:06:01.020] 男：好，不要生我。
[00:06:05.900] 男：暗爽是不是是不是在是不是在暗爽你。
[00:06:17.440] 男：本来打算这个点评美美躺就对了。
[00:06:21.820] 女：你到我了。
[00:06:23.760] 男：问我喽。
[00:06:24.750] 女：那我呢？
[00:06:26.020] 女：可以啊，要下来。
[00:06:27.920] 女：还没到几点过来。
[00:06:30.080] 女：你你这个点躺躺宿舍，他们还没关灯了两。
[00:06:38.420] 男：哼，你说的对。
[00:06:40.800] 女：你也只会被你看到啊。
[00:06:43.860] 女：然后你再给我上，那是表。
[00:06:49.940] 女：我被吵醒。
[00:06:52.200] 女：吵得我睡不着。
[00:06:55.420] 男：昨天我靠，昨天昨天不是王者电台了，昨天是情感电台。
[00:07:01.127] 男：No no no no, 开始开始点点空啊。
[00:07:05.220] 男：这个是打王者。
[00:07:10.160] 女：那些宿舍不是不是打游戏，就是。
[00:07:13.180] 女：接下来接下来。
[00:07:15.860] 男：哦，没有，其实是其实是。
[00:07:18.560] 男：我对，我我我临床。
[00:07:22.740] 男：他他不喜欢跳舞嘛，他跟他们那个街舞做的。
[00:07:26.540] 男：他在帮他们调节内部的感情，有就是请他当当僚机这一类的，他在帮别人分析，然后我跟王远博我们两个就在那。
[00:07:35.800] 男：我把耳机取下来一点，然后我把耳机也放下来了一边。
[00:07:41.960] 男：然后我临床他那个外号是是鱼嘛，他外号是鱼。
[00:07:48.100] 男：他讲到哪儿的时候，他突然来就别逗你一。
[00:07:52.780] 男：然后平时在宿舍的形象是非常。
[00:07:56.560] 男：有的那种，我给我问一下就。
[00:07:59.940] 男：别逗你一个笑了。
[00:08:03.720] 男：这搞笑。
[00:08:09.300] 男：然后外面就跟我说，哎，你知道吗？
[00:08:11.929] 男：就是你你睡的早带着咱也不知道他们女生讲这个话。
[00:08:22.380] 女：台湾已经出错了。
[00:08:24.900] 男：对呀，他说昨天晚那那天我睡了，他们开着麦，这个家伙连着耳机在跟那帮人打电话，一直。
[00:08:33.080] 女：好吧。
[00:09:21.120] 女：我想买菜。
[00:09:24.040] 女：我都没。
[00:09:25.336] 男：丢啊。
[00:09:28.800] 女：4 4块钱。
[00:09:42.280] 女：然后调一下重点。
[00:09:45.500] 男：反正我也不。
[00:09:51.120] 男：你别回去跟我。
[00:09:59.380] 女：我要哭了。
[00:10:01.180] 男：你妈呀。
[00:11:26.860] 女：我的Y。
