[00:00:00.000] 男：东西是女主一个人在失言了。
[00:04:13.460] 男：就是那种感觉，就是嗯。
[00:04:17.860] 男：那种精英阶层，高知。
[00:04:21.320] 男：是吧？
[00:04:22.016] 男：后面的工作都那么。
[00:04:26.220] 男：钓鱼岛盖儿的。
[00:04:30.620] 男：可以。
[00:04:32.360] 男：我感觉我个人是很难改变的。
[00:04:35.080] 男：那我只能做的就是把自己做好，然后把身边的。
[00:04:44.880] 男：去做一个。
[00:04:46.140] 女：啊，讨厌你讨厌。
[00:04:48.420] 男：讨厌我不知道。
[00:04:49.800] 女：很讨厌你那我。
[00:04:51.180] 男：把你丢在这里嗯，那你把我丢在这里吧。
[00:04:59.220] 女：拜拜。
[00:05:03.920] 女：哎呀。
[00:05:08.560] 女：走的话，我一个人都要。
[00:05:27.080] 男：我会把你留在目标中。
[00:05:29.900] 女：真的是真的很好吃。
[00:05:32.760] 男：小吃。
[00:05:35.100] 女：看一下看一下看一下看一下。
[00:05:37.780] 女：看一下。
[00:05:42.840] 女：今天只是给他的海豚配音啊配配乐了。
[00:05:52.760] 女：嗯，那我这么几天没有什么感觉。
[00:06:00.040] 男：不敢挑啊。
[00:06:01.500] 男：那个不敢调啊，星期五那个。
[00:06:04.860] 男：因为要去老师那里吗。
[00:06:07.640] 男：一点，嘿。
[00:06:09.900] 男：对啊不是啊。
[00:06:20.500] 男：能不能有机会？
[00:06:32.660] 男：跟你讲，我。
[00:06:33.960] 女：怎么会呀？
[00:06:38.280] 女：追寻更好的未来。
[00:06:40.780] 女：当然这都。
[00:06:42.082] 男：都一样。
[00:06:44.220] 男：有没有这个？
[00:06:52.940] 女：我想。
[00:06:54.180] 男：你有想吃的吗？
[00:07:00.480] 男：消费者。
[00:07:04.220] 女：看到没有，黄黄毛小子一样。
[00:07:08.020] 男：反正反正我以后肯定是考公的，考公有没有那个？
[00:07:15.380] 男：如果有的话，可以让自己的经验精力更丰富。
[00:07:29.820] 男：不管在哪。
[00:07:36.020] 男：在干嘛？
[00:07:37.420] 男：还让我变沙包啊。
[00:07:44.720] 女：你没事。
[00:07:46.720] 男：我们还是不要在这。
[00:07:48.500] 女：干嘛？
[00:07:51.160] 女：干嘛？
[00:07:55.080] 男：我以为都干嘛。
[00:07:56.533] 女：你在笑我你在笑。
[00:07:58.230] 男：我没有我没有笑我，我没有笑王。
[00:08:01.780] 男：跳王我投降了，跳王，放过我吧。
[00:08:05.492] 女：嗯，跳王。
[00:08:07.160] 女：很厉害哦，没有。
[00:08:09.400] 女：很厉害哎呦。
[00:08:18.080] 女：我给你买你去找点早点来喝什么？
[00:08:21.261] 女：我给你买买什么？
[00:08:22.852] 女：有。
[00:08:23.940] 男：你去挑，你买什么我都。
[00:08:27.820] 女：我们，你看得上眼吗？
[00:08:30.420] 男：我买的。
[00:08:34.480] 女：看得太远吗？
[00:08:36.140] 女：不是，不就是那个什么，你笑了还敢给你给你挑。
[00:08:51.620] 女：什么反差反差萌？
[00:08:53.111] 男：对啊。
[00:08:53.537] 女：什么反差什么反差。
[00:08:55.242] 男：你平时都不会这个样子，我操。
[00:08:59.160] 男：明天明天想起来会不会很羞耻？
[00:09:04.340] 男：要不要要不要找个地方让你端着你去？
[00:09:08.540] 男：找个地方躲。
[00:09:09.571] 女：不会的不会的。
[00:09:10.809] 男：明天想起来不会休。
[00:09:16.040] 女：不在了。
[00:09:17.160] 男：没有啊。
[00:09:21.400] 女：我皮肤很高冷吗？
[00:09:23.598] 男：嗯，对啊。
[00:09:28.020] 男：好痛啊。
[00:09:29.300] 男：很痛啊。
[00:09:31.460] 男：这很痛啊，哦，真的很痛啊。
[00:09:34.540] 女：对不？
[00:09:38.460] 男：去给我炒点。
[00:09:44.140] 女：太呢。
[00:09:46.620] 男：在这里站着。
[00:10:14.820] 男：我来给你揉揉，给你揉揉，手伸出来揉揉。
[00:10:17.398] 男：柔。
[00:10:31.380] 女：那你现在打打不打到？
[00:10:33.380] 男：我打你。
[00:10:35.440] 女：头好痛，都很大。
[00:10:37.070] 男：那天过来有用。
[00:10:41.100] 女：这边都没有灯啊。
[00:10:43.400] 女：我还有那我们的。
[00:10:51.180] 女：你自己不要判断啊。
[00:11:05.580] 男：怎么说，接下来。
[00:11:14.840] 男：我接下来还在车上。
[00:11:19.820] 男：有什么意见啊？
[00:11:21.170] 男：可以。
[00:11:28.420] 女：这打人好痛哦。
[00:11:31.282] 男：我。
[00:11:34.800] 女：你们会不会。
[00:11:45.980] 女：这是在干嘛？
[00:11:47.600] 女：能买武大文艺逼了吗？
[00:11:50.820] 男：如果有多一张卡。
[00:11:52.540] 女：你会不会跟我走？
[00:11:54.620] 女：我服了。
[00:11:59.940] 男：没办法，我一直喜欢小鱼，喜欢。
[00:12:04.440] 女：什么菠萝的保质期？
[00:12:07.580] 女：哪里什么菠萝拌罐头的保质期？
[00:12:10.560] 女：这是王家卫电影里面的名台词啊。
[00:12:14.300] 女：我操。
[00:12:18.400] 女：我是你啊，谁跳下去？
[00:13:03.040] 女：你想我做啊。
[00:13:08.520] 女：我不是。
[00:13:30.820] 女：给我。
[00:13:33.220] 男：你知道你做的车。
[00:13:36.500] 女：你说我做的几点的？
[00:13:43.220] 女：明白。
[00:14:03.960] 女：哥哥派。
[00:14:17.820] 女：你这个傻逼。
[00:14:19.760] 男：小冰麦。
[00:14:27.660] 女：干嘛表达。
[00:14:29.713] 男：不满？
[00:14:34.300] 男：满意了吧？
[00:14:35.780] 女：不满意。
[00:14:37.140] 男：那那怎么办？
[00:14:40.240] 男：就在那，然后你。
[00:14:43.240] 女：哎，有呀有有呀有。
[00:14:48.640] 女：这个号。
[00:14:49.520] 女：可以。
[00:14:57.140] 女：好多鱼，那里好多鱼。
[00:15:01.320] 女：好的，一样哦。
[00:15:09.900] 女：这个好看，我一直都没觉得我。
[00:15:41.820] 男：你居然没有把他捏。
[00:15:44.660] 女：嗯，到时候。
