[00:00:15.660] 女：还有本来是应该带点吃的给你的，我从家里带了好多好多东西回来，都吃不完。
[00:05:56.620] 男：提取一个东西，我以后让别人在哪里刹车。
[00:06:01.080] 男：我在哪里，就不可以再等待，或者不可以再观望。
[00:06:04.377] 男：我就是另一半在哪里，然后转身走掉。
[00:06:11.420] 男：嗯，如果你不甘心早就走掉，那就一定要让对方讲清楚。
[00:06:17.120] 男：我感觉到的这个问题是不是是对的。
[00:06:20.420] 男：你现在是怎么想的？
[00:06:21.700] 男：如果谈不妥。
[00:06:23.340] 女：我中间我中间其实有几次会想要问他，你是不是要你是不是要想要谈恋爱。
[00:06:29.422] 男：但是没有问对。
[00:06:32.480] 女：可能我不习惯做这样的事情。
[00:06:35.980] 男：因为你明显已经知道了。
[00:06:39.260] 男：你外部伤害。
[00:06:41.460] 男：哦，是不是？
[00:06:42.760] 男：所以就其实还是有那个。
[00:06:44.860] 男：当你已经走出了这个学校的范畴，我没有说你在学校里面没有可能没有受过伤害，而是他相对来讲是一个更自由，你需要对自己负责的。
[00:06:56.020] 男：有一些决定性，你要。
[00:06:57.840] 男：做出必须去执行，而不是等待别人来给。
[00:07:03.240] 女：嗯。
[00:07:04.660] 女：你叫鬼的事就是他。
[00:07:07.860] 女：他会展现出会会停。
[00:07:11.040] 女：然后什么。
[00:07:12.940] 女：呃，比如说。
[00:07:14.840] 女：他确实有一次跟我表达了他所有的心意，然后说不急着要。
[00:07:20.740] 女：恢复。
[00:07:22.120] 女：然后我就我就我就专门去跟他讲了我的一个边界，然后呢。
[00:07:28.580] 女：然后他他觉得他不太能接受，但是我感觉或许可以就是把这个东西亮明出来之后，让他去理解这个东西，然后哪怕哪怕确实受到一个什么样的伤害的。
[00:07:40.457] 女：因因为之前也讲过，这个编辑他是。
[00:07:43.420] 男：那如果他不赢。
[00:07:46.780] 女：他不理，那我就觉得走啊。
[00:07:49.060] 男：但是看起来你没有主。
[00:07:51.300] 女：但是因为因为他离了。
[00:07:53.320] 男：他没有理啊，他只是听了一下而已。
[00:07:55.860] 男：听不等于0。
[00:07:57.540] 男：有的人听的时候他是没有把它放在心上。
[00:08:00.856] 女：他听了，但但是他也他也放心上了。
[00:08:03.586] 女：然后他他就是他我我能够看到他做出来一些思想上的斗争，然后就是就是就是情况就是在那种很乱乱的状态下发生的。
[00:08:13.580] 男：什么叫婚姻？
[00:08:17.440] 女：嗯，首首先我不能嗯思想斗争。
[00:08:20.345] 男：是怎么表现出来。
[00:08:22.500] 男：你说你看到他的弟弟思想斗争他怎么表现出来？
[00:08:26.340] 男：这是你以为的，还是他说出来。
[00:08:29.085] 女：他说出来。
[00:08:30.140] 男：他说怎么说的？
[00:08:37.900] 女：怎么说的对呀？
[00:08:39.272] 女：他不能说哎。
[00:08:40.416] 男：我好像暂时不太能理解这个东西，这不叫思想斗争。
[00:08:46.680] 女：嗯。
[00:08:49.640] 女：我是说哎。
[00:08:51.040] 男：呃，我好像不是很理解，但是我愿意慢慢的去理解。
[00:08:54.749] 男：或许我自己的边界确实和你的不太一样，我可以尝试一下。
[00:09:00.460] 男：这个是思想斗争。
[00:09:01.828] 男：对，他是没有认同。
[00:09:03.196] 女：对对对，就是这样子。
[00:09:04.759] 男：那他就是不想尊重你的边界嗯。
[00:09:07.960] 男：TC的业务理解。
[00:09:09.323] 男：对对，就这个点就。
[00:09:10.686] 女：就是就是这种感觉，就是他听进听进去了。
[00:09:13.997] 男：但是他他不想用，我就要听进去。
[00:09:16.529] 女：他只是听到了，他听到了，但但是他他说的话还有他。
[00:09:20.820] 女：他他反映出来的东西就是他他。
[00:09:24.660] 女：他他知道有这个东西在，但是他还是把这个东西转化进了他的逻辑。
[00:09:29.240] 男：对，那就是不对。
[00:09:30.920] 男：嗯嗯，那你当时判断出来了吗？
[00:09:34.580] 女：我当时感觉到了。
[00:09:36.880] 男：感觉到哪一点。
[00:09:38.160] 女：就是你刚刚说的这些。
[00:09:40.280] 男：但是你还是没有离开。
[00:09:41.900] 女：对，因为当时当时这个状态。
[00:09:44.880] 女：就是就当时当时很多事情夹在一起，当时他帮我去处理补考的事情，然后我让我们处理完这一天这这些事情之后，第二天我就要去补考了。
[00:09:54.480] 女：对，然后当时当就是当时情况有点尴尬，这本来是应该是双方互相。
[00:10:00.160] 女：回避了，但是但是当天我还是需要他他他去耍我。
[00:10:04.795] 男：但是就是公式公式。
[00:10:06.650] 男：对，所以你要区分他的公布。
[00:10:10.180] 女：嗯，他比较混乱。
[00:10:11.756] 男：所以你不想把它分开。
[00:10:16.660] 女：呃，然后然后接下来接下来他就是我们就没有见面，然后他就说他觉得还是很混乱，然后说。
[00:10:25.580] 女：他他觉得那你要干嘛？
[00:10:27.880] 女：他他说想我陪他一下，那不能。
[00:10:31.160] 男：然后你就是赔了。
[00:10:32.580] 女：对我觉得我觉得我我觉得只是他表现出来就是他他说的就是我啊培训好，那他说了这个。
[00:10:39.152] 男：陪陪的动作的时候，那就已经是跨越了公司的界限了。
[00:10:44.200] 男：就是其实我觉得是你自己还没有搞清楚，当然他有问题，但是其实你还没有明白自己的需求，或者你心里面已经有了一个选择。
[00:10:53.868] 女：嗯，对。
[00:10:54.540] 男：你所以以后你是要明确你到底上哪一点。
[00:11:01.380] 男：你可能心里面有某种需求，但你你要理解，如果你那种需求你需要被得到满足，那有可能会带来另外一种伤害。
[00:11:09.405] 男：你要两厢权衡，因为没有人会帮你权。
[00:11:12.260] 女：对所以权衡完之后。
[00:11:14.102] 男：你要去坚定执行某件事情，而不是再返回以前的那。
[00:11:19.880] 女：倒倒是没有法的，我这次做的跟以前还真的不一样。
[00:11:25.020] 男：你敢说一下有一个不一样的。
[00:11:27.780] 女：呃，比如说比如说第一段关系。
[00:11:33.040] 女：就是就是他要我怎样我就怎样了。
[00:11:35.696] 女：然后然后然后包括他对我做做了一些过分的结束之后，我还是不会去表达什么东西，我只会自己在那想这是怎么回事，然后之后也不会。
[00:11:50.600] 女：然后然后之后他他他都没有怎么回我了，我也只是就放在那儿，就不会对任何人说。
[00:11:57.260] 女：然后然后然后也也不会对他怎么样，也不会去跟他身边的人聊。
[00:12:04.220] 女：就这样子。
[00:12:05.660] 女：然后后来我发现意识到这个事情不对，我就开始去告诉就是那个那个身边的人。
[00:12:11.580] 女：嗯，要处理的不是挺那个啥的。
[00:12:13.780] 女：然后。
[00:12:15.280] 女：然后然后第二次。
[00:12:27.380] 女：第二次第二次的话，哎呀，我操。
[00:12:30.940] 女：文艺。
[00:12:31.492] 女：文艺比。
[00:12:33.000] 女：我的长发为一体。
[00:12:41.440] 女：哦，第二第二第二天太复杂了。
[00:12:43.480] 女：第二第二天他不说。
[00:12:45.600] 女：时间跨度有点大。
[00:12:52.200] 女：呃。
[00:12:55.560] 女：第三个，首先呃我我没做好的就是在我察觉到不太对劲的时候，我还是没有把它太太过往那个浪漫化的拐子地方。
[00:13:06.860] 男：有还是没有嗯有还是没有没有，然后呢？
[00:13:12.020] 男：嗯，所以这个第三个事情已经结束了，是没有。
[00:13:16.800] 女：没有结束。
[00:13:18.560] 男：那使他们继续存在的原因是什么？
[00:13:22.540] 女：呃。
[00:13:25.260] 女：呃。
[00:13:27.160] 女：我我需要一个哎，还是跟亲一样，我需要一个最最终最终的道歉，不行就算了。
[00:13:34.400] 男：那你这个照片是怎么个用法？
[00:13:37.220] 女：嗯，对对对。
[00:13:38.012] 男：这样这个这一次跟上次又不一样了。
[00:13:40.986] 女：现在就多多了一句话。
[00:13:42.770] 男：就不行，就算了。
[00:13:45.040] 女：呃，跟跟上次不一样，是是指首先首先我跟他的相处，我都有跟我亲密的人报备，就是有有一个人知道这个事情，嗯，然后然后他遇到我有点不太对劲的会帮我分析，然后也避免了更坏的事情发生哈。
[00:14:00.903] 女：然后对，然后然后第二是在他跟我。
[00:14:04.160] 女：就是确认的他是有那个意思的时候，我会马上的去跟我这个。
[00:14:09.580] 女：嗯，群里的朋友就是我了，因为我马上的去把我觉得。
[00:14:13.940] 女：我觉得不太可以，是我觉得不能进入这个这种关系的顾虑。
[00:14:19.800] 女：还有原因都跟他说了，跟谁说，跟对方。
[00:14:23.520] 男：Ok就是就是我。
[00:14:24.818] 女：马上约他，没有给他回复，然后我约他去谈了这个东西。
[00:14:30.140] 女：因为一方面我觉得他他作为朋友来说确实很好，然后我在生活中也需要他对我的一些支持。
[00:14:37.440] 女：嗯嗯，因为因为他他他对普通的朋友也是一样的，就是就是也是那种。
[00:14:44.380] 女：很很热心的人吧。
[00:14:46.060] 女：嗯嗯。
[00:14:47.700] 女：呃，然后呃，我马上我马上就去跟他找了一天的时间去跟他讲。
[00:14:53.920] 女：这个东西。
[00:14:55.120] 女：嗯，是这样子。
[00:14:57.120] 女：然后然后去划分清楚了，我对于。
[00:15:00.500] 女：就是在那之前，我就跟他说，我不接受谈恋爱。
[00:15:03.580] 女：我不接受浪漫关系。
[00:15:05.580] 女：我有跟他说，我我对于我对肢体接接触的边界是怎么样。
[00:15:10.420] 女：就是比如说。
[00:15:11.800] 女：比如说因为之前那个人是啊对我做那事情，我觉得谈恋爱了，我就我就在我就在跟那个人我就在跟现在那个人相处的过程中，我就跟他表达了，我觉得做那些事情也不代表另了一个关系，就是为了避免之后怎么样。
[00:15:29.040] 女：我我会我的话语权会被他夺过去。
[00:15:41.260] 女：嗯，还有什么？
[00:16:00.180] 女：嗯，然后我觉得我做的比较勇敢的一个点，就是是不是你说很高，我的什么我我真的会有去想过，就是在接触的过程中就想过跟那个爆款。
[00:16:15.600] 男：如果我不care我care. 
[00:16:16.898] 女：但是但但是我我没有去做。
[00:16:19.780] 男：然后但是你不能接受，嗯。
[00:16:21.491] 女：怎么可能接受。
[00:16:22.517] 男：你不能接受有这种想法的。
[00:16:24.560] 女：我能接受。
[00:16:25.980] 女：对我来说是ok的，但但是我得让对方知道这个对我来说意味着什么。
[00:16:31.040] 女：啊，我让他他知道他对他来说意味着什么，如果他就不停的放。
[00:16:35.460] 女：就就如果他就不行，那我们就走。
[00:16:38.640] 男：Ok就是就是。
[00:16:39.990] 女：有这种协商。
[00:16:41.560] 女：然后然后在我们半年的相处之中，因为我们有合作。
[00:16:45.540] 女：进行过很多次活动的合作，和我们之间有共有就是就是就是能够感受到对方。
[00:16:51.740] 女：呃，至少在这方面是靠谱的人吧，就不是那种会会随便来的。
[00:16:56.900] 女：嗯，但是我觉得是我就可以去进这种学校。
[00:17:00.300] 女：嗯，所以所以我去表达了，然后确实在在是在在在到这里的时候都是都是很好的。
[00:17:07.480] 男：那不对劲的地方到底是在哪？
[00:17:09.560] 女：哦。
[00:17:11.220] 女：不对劲的地方就是在我表达在在我说完自己的经历之后，我说就他不是想跟我建立就走在一起吗？
[00:17:20.740] 女：就是在在我说说呃在我讲完自己要说的事情之后，他的回复让我感觉不太对劲，他回的啥呀？
[00:17:29.300] 女：他说。
[00:17:30.132] 女：他说。
[00:17:30.964] 女：他。
[00:17:32.780] 女：因为因为一个人跟你讲的声音可能很多有意思啊，可能只是当下才跟你在一起。
[00:17:37.880] 女：然后他可能就是。
[00:17:39.760] 女：他可能只是在探索这是什么感觉，然后他可能是想要现在有一个名分，然后我就问他，你是想干嘛？
[00:17:46.829] 女：他说想想要确认未来。
[00:17:48.780] 女：还会在一起。
[00:17:50.440] 男：就是不是我的疑问，是你现在想要对方道歉，不是道歉什么？
[00:17:57.640] 女：道道歉道歉。
[00:17:59.473] 女：他。
[00:18:01.820] 女：道道歉，他他在呃。
[00:18:07.460] 女：我们我们最后结束的那一晚，在我拒绝之后，仍然仍然仍然对我做了跨越边边界的事情。
[00:18:17.580] 女：然后然后这个东西侵犯了边界。
[00:18:20.940] 男：你跟你之前没有过任何的迹象。
[00:18:24.780] 女：没有。
[00:18:27.140] 女：我我跟我那个朋友说，他也觉得就是我那个朋友也觉得对方是个很靠谱的人。
[00:18:32.062] 女：然后他就觉得他好像就是在那一晚突然间什么都变了。
[00:18:36.820] 男：那有可能是你太过透明了。
[00:18:40.280] 女：没有，就那个那个时候他是出于冲动。
[00:18:47.520] 男：他有什么冲动，好像是。
[00:18:50.360] 男：谁给了他冲动？
[00:18:51.564] 男：他有什么合理的理由？
[00:18:53.370] 男：生理欲望，任何理由都不可能。
[00:18:55.778] 男：对啊。
[00:18:56.320] 男：所以你不能说他是橱窗，这个就是他本人的问题。
[00:18:59.755] 女：这是他本人的问题。
[00:19:01.130] 男：就是他对我说你太透明了。
[00:19:03.540] 女：哦。
[00:19:04.680] 女：我们不知道怎么去平衡这个东西。
[00:19:07.440] 女：因为我有想我有想过我我其实可以不不说自己的顾虑，不说自己的经历，我就拒绝他。
[00:19:15.120] 女：然后因为就。
[00:19:16.373] 男：不把自己。
[00:19:17.376] 女：这部分交出来。
[00:19:19.780] 女：但是我好像又是又会想要相信哦，对方是可以跟我跟我去处理他们。
[00:19:25.980] 男：因为在这个过程里面，我没有听到过对方呈现出了什么东西，一直都是你在呈现。
[00:19:32.920] 男：所以相当于他得知了你的很多东西，但是也并没有得知关于他的什么东西。
[00:19:37.692] 男：他所有的表现只是一一去你讲的话，然后他表现出来。
[00:19:41.620] 女：嗯，我感觉你没有在观察。
[00:19:43.833] 男：而且你我对对方。
[00:19:45.383] 女：了解的也挺也还是挺不错的。
[00:19:50.220] 女：就比如说我知道他存在一个很传统的价值。
[00:19:53.060] 男：那我都不是体验。
[00:19:57.560] 男：你已经是在打算跟他有亲密关系的路上了，所以这不是亲密关系。
[00:20:04.940] 男：就是你一个人平衡的表现跟他的亲密关系里面的表现。
[00:20:08.425] 女：对对对对对不同。
[00:20:09.485] 女：对对对对对。
[00:20:10.243] 男：就是这样子。
[00:20:11.001] 男：所以你不能说在死之前我没有任何的准备，然后我就跟他单独待在一个蝴蝶里面，是完全可以有这种东西的。
[00:20:20.980] 女：但怎么说呢，我我我不知道。
[00:20:24.700] 女：就是我我们今天不是说我想见你就见了，正好正好有很多次契机。
[00:20:30.100] 女：比如说之前我跟他相处是因为我们办过文学活动。
[00:20:34.440] 男：或或者你也没有懂，就情绪的空间可以在一起。
[00:20:37.787] 女：然后然后第二就是期末考试。
[00:20:39.901] 男：大家一起去听清楚我的话。
[00:20:42.020] 男：那个东西不是大家情侣空间的东西。
[00:20:46.120] 男：你讲的这些都是公的东西，它不是私。
[00:20:50.220] 男：对啊，那你为什么把这个当成是。
[00:20:53.420] 男：他可以跟你单独的在一个空间里面的。
[00:21:11.440] 男：如果你真的想有这样的一个空间。
[00:21:14.240] 男：那么以后的。
[00:21:15.660] 男：可能就是这个人的观察期不能只有三个月，不能只有一年。
[00:21:21.200] 男：可能都不能是有点。
[00:21:28.860] 男：一个就是我刚刚。
[00:21:30.740] 男：你不用看。
[00:21:33.220] 男：您去等待。
[00:21:39.700] 男：是你很快的就已经告诉他，你是一个。
[00:21:43.060] 女：也没有。
[00:21:44.660] 男：或者就是你不要自己想太多，反正对方是要。
[00:21:49.520] 男：特别是对顺，等你讲完之后。
[00:21:52.160] 女：但怎么说呢？
[00:21:53.129] 女：我我我觉得我在关系之中的一个准则就是。
[00:21:56.760] 女：我怎么对待他是是属于他怎么对待我？
[00:22:00.120] 女：就是在在母教师自己之前，他。
[00:22:02.920] 女：在我们工友还有队伍之间就已经具有表达过程中，他私人的。
[00:22:08.640] 女：事情。
[00:22:12.860] 男：你的定义是什么？
[00:22:14.680] 男：他对你的共有也表达了私人的事情，那你为什么会把他当成。
[00:22:26.940] 女：嗯。
[00:22:29.860] 男：这也不是对所有。
[00:22:31.820] 男：那就不是。
[00:22:34.000] 男：那你何必要标出一个东西？
[00:22:57.060] 女：我现在是写这种这种素养。
[00:22:59.233] 男：他们不想写例外，就说明那个东西。
[00:23:14.900] 女：更多的我又改变了。
[00:23:16.206] 女：还有一个点还有一个点。
[00:23:18.200] 女：呵呵。
[00:23:20.360] 女：就是在在事情发生之后，表示他马上表示要拒绝他，见他。
[00:23:26.280] 女：并且这种兼职是持续的。
[00:23:31.060] 女：好像对方并没有，显然对方并没有尊重尊重我的需求。
[00:23:34.726] 男：那如果是这样子，你为什么又跟他见面了？
[00:23:39.100] 女：呃。
[00:23:41.600] 女：听一下，就是就是就是他他他写了一些骚能能称之为骚扰的话。
[00:23:46.450] 女：然后然后我我看清了他的人品到底是怎样的，我就非常非常气愤。
[00:23:51.487] 女：然后我觉得。
[00:23:52.940] 女：这个事情可以分为两步，一个是我单独跟他说，你给我做的事情到底是什么样的？
[00:24:00.180] 女：然后然后。
[00:24:01.880] 女：把它涂满一点。
[00:24:04.540] 女：嗯，然后然后然后我就再也不见他了嗯。
[00:24:08.540] 女：那我觉得这个这个是我没有办法忍受的。
[00:24:11.620] 男：你没有办法忍受哪个点。
[00:24:13.420] 女：嗯嗯。
[00:24:16.600] 女：他。
[00:24:19.540] 女：真的是我状态很差，就他他他他替他伤害了我嘛。
[00:24:24.237] 女：然后然后他在他的表态里面一直在扭转这个。
[00:24:28.840] 女：这个行为的性质。
[00:24:31.100] 女：然后然后这样会导致就是我们身边的朋友，包括在社团里面的人都会都会感都会觉得都不知道发生了什么事情，那之后我还要跟他相处。
[00:24:42.140] 男：你刚刚是说你想要让他道歉，而这个事情是你没有办法忍受的。
[00:24:46.423] 男：你没有办法忍受的是哪个点？
[00:24:48.980] 女：哦。
[00:24:53.920] 男：我现在先去换个衣。
[00:24:56.420] 女：哦，不。
[00:25:06.360] 女：好。
