[00:00:00.000] 男：我只有这种三种情况下才出手嗯。
[00:08:45.500] 男：所以我会这样子的。
[00:08:53.580] 男：实在是想到最后。
[00:08:55.580] 男：想到最后。
[00:08:57.920] 男：我也没有一个特别明确的结论。
[00:09:01.660] 男：但是有有有一个就是为什么我不去想了呢？
[00:09:06.202] 男：嗯，就是。
[00:09:07.720] 男：很确实很让人老脸一红啊。
[00:09:11.340] 男：我觉得跟你在一块的时候很。
[00:09:13.760] 男：然后很棒。
[00:09:16.080] 男：然后可以吃到一块。
[00:09:18.160] 女：这个确实。
[00:09:19.300] 女：你在哪呢？
[00:09:20.260] 男：对呀。
[00:09:23.980] 男：所以就是在那个时候，可能就是期末前。
[00:09:27.620] 男：行吧。
[00:09:29.420] 男：好像是在那个车位摆摊之后。
[00:09:35.440] 男：其实我还偷偷我，我还把这件事写到日。
[00:09:38.980] 男：我还点到那。
[00:09:43.500] 男：你晚点晚点可以去找号开。
[00:09:47.360] 女：啊。
[00:09:50.140] 女：没什么呃。
[00:09:51.174] 男：等一会儿我我把那个给你。
[00:09:54.160] 男：就是我不是会在小号发。
[00:09:57.580] 男：把对比。
[00:09:59.840] 男：发对比。
[00:10:00.560] 男：然后我那时候在想。
[00:10:03.580] 男：哎，我我又怕我又怕给给你就是这种东西，我又怕写我我写出来的东西我是会感觉比较。
[00:10:12.120] 男：然后写出来的东西跟自己关系好的人我就想给。
[00:10:17.620] 男：然后那个时候你你你跟陈小灿都在，还有何玉敏，你们三个都在我小号。
[00:10:22.754] 男：然后我在想。
[00:10:24.020] 男：万一发出来发被他们发现，大哥，然后我就完蛋了。
[00:10:29.642] 女：我就先。
[00:10:30.486] 男：把你们三个就就那那那两条，我把你们三个关进去了。
[00:10:36.670] 女：完蛋了。
[00:10:37.514] 男：可能到时候。
[00:10:39.060] 男：我是想着可能到时候一直憋着也。
[00:10:41.880] 男：就是我我是这样想的，就是不管。
[00:10:45.000] 男：不管了之后跟你。
[00:10:49.480] 男：发展成什么样了？
[00:10:52.280] 男：欧美。
[00:10:53.380] 男：哪怕最后最后。
[00:10:56.320] 男：呃，表明之后被拒了是吧？
[00:10:58.410] 男：我觉得都没关系，但至少这段。
[00:11:03.300] 男：以至于那个时候我们晚上考完试，不。
[00:11:07.620] 男：然后你再跟我讲。
[00:11:10.960] 男：恋爱做完了之后，我就在想。
[00:11:13.380] 男：你是不是在暗示我不要跟你表白？
[00:11:16.660] 男：不要不要跟你讲。
[00:11:18.500] 男：讲这些，然后我也在想这个。
[00:11:22.440] 男：所以我就就。
[00:11:26.100] 男：就看我们的。
[00:11:28.100] 男：就抱着那种。
[00:11:55.840] 男：好黑呀，一直晃来晃。
[00:12:02.880] 男：你别啊。
[00:12:05.480] 男：按说这个。
[00:12:07.160] 男：晚上做那个东。
[00:12:14.860] 男：想要想要看。
[00:12:17.420] 男：我要的。
[00:12:21.780] 男：一个一个是吧。
[00:12:27.400] 男：我想我想。
[00:12:39.940] 男：哦，我们在讲话。
[00:12:41.860] 女：真的假的我不知道。
[00:12:43.685] 男：他说。
[00:12:44.142] 女：你要去哪里吃饭？
[00:12:46.260] 男：哎，好像走走过那那条道的对吧？
[00:12:50.380] 男：但是我们。
[00:12:51.280] 男：我们走这里再再绕过。
[00:12:54.660] 男：还早吧。
[00:12:55.956] 女：早吧。
[00:12:57.500] 男：马上要十点。
[00:12:59.800] 男：还是说去万达那里办公室了。
[00:13:02.356] 女：看你啊，你比较熟路。
[00:13:04.500] 男：那就去万达吧。
[00:13:13.160] 男：我那时候也想过。
[00:13:16.460] 男：要不要跟你表白？
[00:13:18.260] 男：但是我想。
[00:13:21.920] 男：一一个是那个时候我们关系还没，我觉得还没有到那个地。
[00:13:28.180] 男：另一个是你也说了。
[00:13:31.180] 男：你不喜欢。
[00:13:32.960] 男：就是要。
[00:13:34.540] 男：那种关系的证。
[00:13:36.300] 男：对，还有那种所谓的名字。
[00:13:40.640] 男：所以我决定。
[00:13:43.080] 男：点。
[00:13:44.180] 男：人不多。
[00:13:45.800] 男：但是。
[00:13:47.780] 男：我给自己心里面设了一个预。
[00:13:51.160] 男：不喝了。
[00:13:54.240] 男：等你，等我们关系真的。
[00:14:00.540] 男：我可以用听力这个。
[00:14:02.500] 女：嗯。
[00:14:03.800] 男：我们的关系真的亲密到了。
[00:14:07.780] 男：一定的庇护，然后。
[00:14:10.960] 男：真的真的。
[00:14:13.120] 男：控制不住对你的感情的话，然后我会觉得无论结果怎么样，不管你是。
[00:14:19.860] 男：节奏也好，或者说是。
[00:14:22.700] 男：我们只是好朋友。
[00:14:24.560] 男：嗯，我都。
[00:14:26.620] 男：嗯，觉得没问题。
[00:14:29.420] 男：嗯嗯。
[00:14:31.180] 男：那只是我。
[00:14:32.680] 男：不管不管我心里想的再好是吧，那那也只是我想。
[00:14:39.900] 男：如果说只是因为我这样想的话，然后感觉到了那个开口之后，你必须要答应的话，那就是。
[00:14:49.760] 男：道德绑架的一。
[00:14:53.620] 男：所以我。
[00:14:55.980] 男：像像你这。
[00:14:58.040] 男：我觉得你不要。
[00:14:59.840] 男：因为你讲的那些事情，然后对自己有压力，然后我也想。
[00:15:04.000] 男：你不要因为。
[00:15:14.680] 女：第一个了。
[00:15:28.860] 男：哦，但是。
[00:15:41.380] 男：我一下子忘记。
[00:15:50.860] 女：什么时候开始想到的？
[00:15:52.355] 女：我不是，主要是拍毕业照的时候才能下车。
[00:15:55.320] 女：聊天的吗？
[00:15:57.280] 男：也不是12月吧，五月份左右吧，11月11月份。
[00:16:09.360] 男：想想到的。
[00:16:16.000] 女：最后不就也就一个月周的。
[00:16:20.660] 男：就是车杯，车杯摆摆完摊之后吧。
[00:16:24.800] 男：耐克。
[00:16:29.420] 男：靠，有虫子飞嘴里。
[00:16:32.480] 女：好不过的。
[00:16:35.220] 男：这次被摆摊之后，那那次我在等。
[00:16:39.280] 男：跟跟外边。
[00:16:44.800] 男：说我怎么老是。
[00:16:46.340] 男：Ok. 
[00:16:47.360] 男：紫色的。
[00:16:50.180] 男：他们在问这个，我说啊就是你们知道的就是我的兴趣爱好。
[00:16:56.000] 男：这方面有关，然后偶然偶然发现跟陈小灿。
[00:17:01.400] 男：我们两个是。
[00:17:04.040] 男：大二兼职的工友。
[00:17:06.180] 男：偶然发现。
[00:17:08.680] 男：嗯，然后认识了一年多了，没有加上微信。
[00:17:12.900] 男：然后说然后说跟你们聊的很投缘啊，然后跟你们聊的很投。
[00:17:18.840] 男：然后当时没多少。
[00:17:21.480] 男：然后第二天的时候。
[00:17:23.540] 男：呃，也是跟我们关系比较好的一个男生嘛，也是外国生。
[00:17:27.960] 男：他外号叫。
[00:17:29.900] 男：就是我我我不知道你还有没有印象我讲那个塔罗牌的事。
[00:17:36.560] 女：大概讲一下。
[00:17:38.040] 男：就是他说要他对塔罗牌，我知道你说吧。
[00:17:42.360] 男：对，然后他说要给我们粘，我说那你粘呗。
[00:17:45.600] 男：他说粘什么我。
[00:17:47.064] 女：然后味道那个对啊。
[00:17:49.016] 男：你接着说，然后。
[00:17:51.660] 男：我不是一个严格的。
[00:17:55.640] 男：怎么说呢？
[00:17:56.305] 男：我是一个无神论者，但是这些迷信的东西我多多少少有些。
[00:18:01.020] 男：所以我我是有点在意这个东西，然后我有点在意，然后我就去。
[00:18:11.640] 男：嗯，然后最开始我只是觉得我们两个的兴趣爱好。
[00:18:15.440] 男：你要。
[00:18:17.620] 男：合合得来。
[00:18:20.400] 男：然后就是慢慢的慢慢的。
[00:18:27.020] 男：我包括包括那个，反正那段时间最怕的是。
[00:18:31.140] 男：我到底是不是定会上？
[00:18:41.740] 男：百分百1个。
[00:18:43.540] 男：但是我觉得我。
[00:18:46.900] 男：应该不。
[00:18:47.900] 女：嗯。
[00:18:49.420] 男：我自认为从上一段感情之后，我已经对谈恋爱这个东西去卖了嗯。
[00:18:57.360] 男：听到吧，先。
[00:18:59.300] 女：不搞碰。
[00:19:05.460] 女：不。
[00:19:22.340] 女：你吃啥？
[00:19:24.220] 男：不变。
[00:19:33.000] 男：吃的少。
[00:19:35.980] 女：有病啊，滚。
[00:19:59.420] 男：哦，但是有一个我的。
[00:20:02.300] 男：陈小胖问过我们两个。
[00:20:05.480] 女：什么时候？
[00:20:06.820] 男：寒假的时候。
[00:20:09.780] 男：含量的。
[00:20:12.640] 男：聊天。
[00:20:14.060] 男：呃，那时候聊到什么话题我忘了，反正他突然问我。
[00:20:17.720] 男：你为什么对我问我为什么对。
[00:20:21.200] 男：呃，说人家一直看到我在带你。
[00:20:24.720] 男：然后他说。
[00:20:28.020] 男：都期末的。
[00:20:30.360] 男：然后他就会。
[00:20:31.900] 男：我怎么敢？
[00:20:33.240] 男：我感觉我对你的那个那么干。
[00:20:39.440] 男：我说。
[00:20:43.760] 男：然后后面很乱了。
[00:20:46.140] 男：反正就他就拍的吧。
[00:20:48.800] 男：那他就猜到了。
[00:20:50.420] 男：189。
[00:20:51.500] 男：对吧？
[00:20:51.860] 男：然后我就想着。
[00:20:54.020] 男：情况了，我没有必要把。
[00:20:56.700] 男：所以我就跟他，我只跟他说了我的想法，他要搞那些事情，然后。
[00:21:03.960] 男：啊，我跟他说，让他不要跟你讲，然后也不要问你。
[00:21:08.220] 男：然后他他对我我的要求就是如果我们两个以后真的有。
[00:21:20.160] 男：对，所以这个是我得。
[00:21:45.200] 男：去那家店铺拿货。
[00:21:59.800] 女：然后他他不回。
[00:22:03.680] 男：或者是省心两面。
[00:22:23.100] 男：就是呃细节我有点忘了，反正就是在学校那个吃长铁小面的体验很。
[00:22:32.200] 男：呃，差不多。
[00:22:34.180] 男：哦，你你说我记得你说的好像是。
[00:22:36.660] 男：是的，你很恶心。
[00:22:54.420] 女：那倒是不是因为之前我看过了。
[00:23:01.560] 女：他自己不来。
[00:23:06.780] 女：第六个。
[00:23:28.300] 男：现在十点。
[00:23:31.140] 男：来的。
[00:23:52.980] 女：跟你。
[00:25:07.160] 男：我感觉我拍我现在头发。
[00:25:10.800] 女：还好。
[00:26:38.660] 女：要是我万一碰到的是当医生多好啊。
[00:26:56.240] 女：我这个手机是25年。
[00:26:59.620] 女：24年四月份的。
[00:27:01.920] 女：最早的。
[00:27:03.480] 女：走的照片。
[00:27:05.020] 女：那个那个人他就很少很小。
[00:27:07.181] 女：游戏之间的照。
[00:28:09.420] 女：操你妈做成就这么好看。
[00:28:12.092] 女：操。
