[00:02:36.480] 女：这个为什么用？
[00:19:53.140] 女：我要我要怎么回答你？
[00:20:11.620] 男：我知道你听起来有点像在（听不清）
[00:20:15.780] 男：但是。
[00:20:19.020] 男：我突然问你。
[00:20:20.660] 男：两个问题
[00:20:22.860] 男：的原因是因为。
[00:20:26.120] 男：我。
[00:20:27.500] 男：我不知道要。
[00:20:29.760] 男：怎么跟你（听不清）
[00:20:32.540] 男：就是想。
[00:20:34.880] 男：就是我想就是我今天。
[00:20:38.720] 男：这个苦恼我们。
[00:20:40.460] 男：“我要怎么面对你”这个问题。
[00:20:44.440] 男：去做铺垫。
[00:20:46.740] 男：因为我不知道怎么跟你开启这个。
[00:20:49.160] 女：那你直接就把你刚刚那番话翻出来，那已经是铺垫了。
[00:20:56.960] 男：然后。
[00:20:58.580] 男：第二点就是。
[00:21:01.360] 男：你说的。
[00:21:03.740] 男：我。
[00:21:08.980] 男：我在这种情况下，我。
[00:21:13.420] 男：我不知道要。
[00:21:16.340] 男：就是我没有意识到。
[00:21:19.000] 男：会这样子。
[00:21:23.180] 男：就是。
[00:21:24.940] 男：就类似于。
[00:21:28.440] 男：昨天晚上，想表达的东西。
[00:21:31.820] 男：我找不到。
[00:21:33.380] 男：合适的。
[00:21:35.180] 男：话，或者说。
[00:21:38.340] 男：要弯弯绕绕，绕一大圈。
[00:21:41.500] 男：但我不想，要谈到这么多。
[00:21:46.560] 男：然后我真的。
[00:21:48.820] 男：那一会儿我不知道要怎么去跟你开口。
[00:22:00.620] 男：只能，就忽略，忽略了
[00:22:03.600] 男：这些问题，然后就提了两个。
[00:22:06.640] 男：很突兀的问题。
[00:22:17.820] 女：你说这个是是为了怎么面对我去做一个铺垫。
[00:22:21.489] 女：那么这两个问题对你来说意味着什么？
[00:22:32.280] 男：这两个问题对我来说，
[00:22:34.840] 男：我想更多得去了解你。
[00:22:40.640] 男：就是，我我那个时候心里面觉得我我觉得。
[00:22:45.100] 男：会通过这两个或更多的状态。
[00:22:52.600] 女：然后呢。
[00:22:53.944] 男：然后。
[00:22:55.440] 男：就像你说的那样。
[00:22:58.180] 男：不经大脑就问。
[00:23:01.420] 男：是。
[00:24:05.940] 男：嗯。
[00:25:03.720] 男：我真的只是想。
[00:25:06.080] 男：嗯。
[00:25:13.020] 男：我真的没有想通过。
[00:25:15.092] 男：根据你那两个问题的回答去。
[00:25:18.340] 男：衡量这个天平。
[00:25:22.820] 男：嗯。
[00:26:42.020] 男：你可以说点什么吗？
[00:26:45.800] 女：（听不清）
[00:26:52.920] 男：如果说出来。
[00:26:55.020] 男：会让你好受点的话。
[00:26:57.520] 男：那你说吧。
[00:27:43.660] 男：嗯。
[00:27:47.020] 男：嗯。
[00:28:22.780] 女：这些问题（听不清）要今天就提出来的吗？
[00:28:43.760] 女：我对你的想法，我昨天晚上，说的还不够多吗。
[00:28:49.020] 女：你还想听哪些方面？
[00:29:00.120] 男：今晚的事。
[00:29:06.400] 男：确实是我的问题。
[00:29:10.700] 男：但我觉得（听不清）我觉得没有，可以。
[00:29:13.020] 女：你不要压着我！
[00:29:14.020] 男：我不压。
[00:29:15.039] 女：走开。
[00:29:42.060] 女：然后呢？
[00:29:45.380] 男：可以说那些难题好像可以跨过（听不清）。
[00:29:48.460] 男：然后。
[00:29:49.900] 男：所以可以做好准备再看看。
[00:29:54.520] 男：就是甚至说不理我...
[00:29:56.753] 女：还是说你想看我原地晕倒？
[00:30:13.740] 女：你避开一下呢。
[00:30:34.360] 女：就是因为你提了这个问题，我觉得无法相信你了。
[00:30:57.940] 女：我要怎么（听不清）？
[00:31:17.020] 女：而且再告诉你一个实话。
[00:31:19.400] 女：除了抽烟之外，我可能让你失望的事情多了去了。
[00:31:27.440] 男：不知道。
[00:31:29.560] 男：为什么
[00:31:31.360] 男：你会觉得我会失望。
[00:31:33.800] 男：首先我只是单纯的。
[00:31:37.460] 男：觉得不对，可能可能在你这抽烟跟喝酒都没差吧。
[00:31:41.380] 男：但是我。
[00:31:43.080] 男：我只是觉得（听不清）不好看，
[00:31:46.920] 男：我觉得抽烟是对你的伤害。
[00:31:51.500] 女：我承受它！
[00:31:57.480] 女：然后呢。
[00:32:10.120] 男：你害怕那些。
[00:32:11.580] 男：你担心那些话。
[00:32:14.140] 男：你真正想说的说出口之后。
[00:32:17.500] 男：会。
[00:32:19.460] 男：你你是觉得说出口之后是。
[00:32:22.160] 男：我会因为这些话非常得难过。
[00:32:25.520] 女：没有错没有错，（听不清）。
[00:32:30.580] 男：（听不清）。
[00:32:34.060] 男：是因为。
[00:32:38.620] 女：你不相信我好不好？
[00:33:07.940] 男：我觉得我（听不清）。
[00:33:21.720] 女：没有。刚刚没有了呀。
[00:33:29.500] 女：我已经把情绪处理掉了，等下我们继续说话吧。
[00:33:33.740] 女：听到了吗。
[00:35:12.220] 女：我是前几天才重新开始抽，应该快一年没有碰过。
[00:35:23.060] 女：你可以理解为它只是一种仪式性的动作，能够。
[00:35:33.220] 女：让你稍微集中注意力。
[00:35:47.260] 女：你和我表白。
[00:35:57.820] 女：然后就是在那天的凌晨，我把
[00:36:01.940] 女：嗯，我要跟你说的那些东西都留在了笔记本上。
[00:36:06.460] 女：然后再跟你约了，我有事情相跟你聊。提前和你报备。
[00:36:12.780] 女：而不是像今天晚上这样，什么都没有，直接就来了那么两个很冒犯很突兀的问题。
[00:36:35.280] 男：嗯，对。
[00:36:37.780] 男：嗯。
[00:36:41.500] 男：我不知道要怎么形容。
[00:36:43.660] 男：就只是因为习惯了。
[00:36:46.400] 男：我是这样想。
[00:36:49.520] 男：呃呃，（听不清）。
[00:36:55.480] 男：我是觉得。
[00:36:57.360] 男：我是觉得昨天问了我这个问题。
[00:37:01.620] 男：然后回去之后。
[00:37:04.520] 男：晚上想了想，不超过今天的。
[00:37:09.020] 男：这里面有在意的事情。
[00:37:12.600] 男：我下意识觉得。
[00:37:16.120] 男：那我没有，我能不能问你说，然后我觉得是。
[00:37:20.100] 男：没有问题的，但是我。
[00:37:22.020] 男：忽略了你的习惯，因为你提前（听不清）。
[00:37:25.900] 男：但是我把这个点忽略了。
[00:37:42.220] 男：因为我知道。
[00:37:46.420] 男：因为我没有意识到。
[00:37:50.100] 男：要提前照顾你的感受。
[00:37:54.500] 男：嗯，然后我很好奇。
[00:38:02.660] 女：请问我们两个到底是在什么事？
[00:38:06.620] 男：（听不清）。
[00:38:08.540] 男：没有。
[00:38:26.280] 女：请问这个氛围真的合适吗？
[00:38:28.480] 女：（听不清）。
[00:38:35.060] 女：你知道第一个问题出来之后我有多难受吗？
[00:38:44.060] 女：刚才好像会让我意识到我们之间的某些差距。
[00:38:52.800] 女：然后那个时候一下子，我变得特别特别奇怪。
[00:39:19.300] 女：而且我也不是一个需要被谁提供安全感。
[00:39:23.920] 女：不是一个需要被谁保护的人。
[00:39:33.780] 女：昨天晚上提出来的问题，它的预设本来就是有问题。
[00:39:47.680] 女：并不是在经历那些事情之后，我就是一个彻头彻尾的失能者，我就一定要被谁紧紧搂着，然后呵护着。
[00:39:56.620] 男：我没有认为你是。
[00:40:00.240] 女：那什么叫如果给足了我安全感，我就要进入某种关系。
[00:40:05.240] 女：我的安全感又是谁给的？
[00:40:11.880] 女：哪怕是C，他也不是给我提供了什么安全。
[00:40:21.780] 女：我们可能只是正好我自己的，我有足够的能力去调节这些东西。
[00:40:27.708] 女：然后只是的话有一个人在场，接住了这些东西。
[00:40:32.040] 女：而不是因为。
[00:40:33.840] 女：什么给了我，然后我就成了一个被动的接受者。
[00:40:49.620] 女：而且说实话，我还是说到这个，我是在今天。
[00:40:54.160] 女：在回想昨天晚上那个。
[00:40:56.380] 女：那个问题到底在哪里让我觉得冒犯？
[00:41:01.040] 女：有可能，我不知道是不是因为。
[00:41:04.800] 女：那种，某种什么不安全感。
[00:41:10.260] 男：我可以。
[00:41:12.040] 男：问你问题吗？
[00:41:14.020] 女：你说。
[00:41:17.680] 男：就是，为什么你今天。
[00:41:19.160] 男：白天的时候没有告诉我。
[00:41:22.520] 男：就是你回想起来之后...
[00:41:25.211] 女：我怎么告诉你啊？
[00:41:31.760] 女：那你为什么不在今天的。
[00:41:33.940] 女：不在线上问你那些问题。
[00:41:52.760] 女：然后是不是有一个人跟我说，你这几天先不要想着了。
[00:41:56.900] 女：我们有机会多聊一聊。
[00:42:29.520] 男：今天。
[00:42:33.760] 男：（听不清）。
[00:42:36.600] 男：一个是。
[00:42:39.540] 男：在。
[00:42:41.880] 男：在你（听不清）的状态下。
[00:42:44.460] 男：没有提前告诉你，然后问了两个很冒犯的问题。
[00:42:46.720] 男：然后，第二个是。
[00:42:52.560] 男：在，之前约好了，之后慢慢聊这个事情，然后我就急。因为自己的（听不清），然后让（听不清）下意识地忽略掉了昨天晚上和你说的这句话。
[00:43:12.780] 男：然后。
[00:43:16.280] 男：第三点是。
[00:43:19.180] 男：没有在合乎情理的状态下。
[00:43:23.660] 男：（听不清）。
[00:43:32.020] 男：如果。
[00:43:35.000] 男：你问一下之后。
[00:43:38.880] 男：或者说。
[00:43:42.080] 男：但是最不愿意。
[00:43:45.300] 男：原谅我今天晚上做的。
[00:43:49.640] 男：的话。
[00:43:53.320] 男：我和你保证。
[00:43:57.800] 男：没有（听不清）。
[00:44:02.700] 女：（听不清）。
[00:44:08.040] 男：还还有就是。
[00:44:12.320] 男：希望你能把我这三个没有考虑到的。
[00:44:19.380] 男：我的。
[00:44:21.000] 男：冒犯你的地方提出来。
[00:44:28.040] 男：然后。
[00:44:30.820] 男：在这些解决之后。
[00:44:38.480] 男：不说，一定要你说完之后，或者是。
[00:44:42.260] 男：这之后。
[00:44:43.660] 男：希望你原谅我。
[00:44:45.360] 男：就是。
[00:44:47.620] 男：我自己也以后会注意的，如果还有以后的话我会注意的。
[00:44:53.780] 男：然后。
[00:44:55.400] 男：希望你能在。
[00:44:57.780] 男：哦哦。
[00:44:59.360] 男：之后的。
[00:45:00.760] 男：行动中吧，我自己的。
[00:45:03.700] 男：行动中去。
[00:45:12.580] 男：选择是否原谅我，（听不清）。
[00:46:57.400] 男：我现在可以离你近一点吗？
[00:46:59.906] 男（录音者）：什么玩意儿？
[00:47:01.340] 女：不可以。
[00:49:27.760] 男：还有一个。
[00:49:30.700] 男：以前我的经历没有人告诉我。
[00:49:35.640] 男：没有人教会我。
[00:49:37.640] 男：在问这些问题。
[00:49:41.780] 男：应该提前告知。
[00:49:46.160] 男：所以。
[00:49:48.260] 男：我不会。
[00:49:51.820] 男：但是我之后。
[00:53:30.600] 男：在这种类似的情况。
[00:55:53.200] 男：请给我表现的机会。
[00:55:59.020] 男：如果让你原谅我，就是。
[00:56:02.260] 男：让你看到。
[00:56:03.880] 男：我对今天。
[01:00:20.459] 女：（听不清）。
[01:00:40.559] 女：你的不安全感到底来自于哪里啊？
[01:00:48.939] 男：嗯。
[01:01:04.039] 男：这个问题有点难。
[01:01:11.159] 女：为什么一定会走到所谓的未来和婚姻当中呢？
[01:01:28.359] 男：嗯，就是。
[01:01:31.219] 男：我觉得可能是潜意识里还有觉得。
[01:01:35.399] 男：（听不清）。
[01:01:42.219] 女：对我来说，其实当下很快乐。
[01:01:46.039] 女：那然后。
[01:01:47.879] 女：大家一直都很真诚。
[01:01:50.899] 女：然后享受某些互动就够了。
[01:01:54.959] 女：我不愿意去考虑太多未来的事。
[01:01:57.709] 女：我我以前就是。
[01:01:59.419] 女：为太多个所谓的未来。
[01:02:03.059] 女：被它被这样的焦虑给毁掉。
[01:02:07.039] 女：嗯，我是在这近三年以来，我才慢慢的。
[01:02:11.219] 女：接受了。
[01:02:13.699] 女：我应该去看到现在的方向。
[01:02:18.619] 女：毕竟对我来说，光是活着都很难。
[01:02:24.519] 女：如果你一定要跟我这样的人谈论未来的话，我只会给你放出。
[01:02:29.999] 女：那种很难过很难过的话。
[01:02:33.339] 女：那个不是应该在想谈话之前，应该去说的。
[01:02:39.979] 女：然后让我想起了很多很难受的事情。
[01:02:47.779] 女：如果你想听我过去为了这个问题。
[01:02:52.579] 女：就是有过什么样的想法，遇到过什么样的事情，不是不可以。
[01:03:03.619] 女：那个它不是重要。
[01:03:11.819] 男：那你说点什么？
[01:03:13.539] 女：不要。
[01:03:15.719] 女：嗯，现在很讨厌听到这句话。
[01:03:17.981] 女：我以前。
[01:03:18.839] 女：听到过太多这样的话。
[01:03:57.499] 女：如果不能在一起就失去当下的关系，对我来说不可避免也不是不可以。（听不清）
[01:04:05.259] 男：我会。
[01:04:07.299] 男：不想这个，因为我会觉得如果。
[01:04:11.479] 男：这是我我的想法。
[01:04:15.619] 男：就是我会觉得，如果。
[01:04:20.319] 男：呃，就是一点都不想。
[01:04:22.079] 男：之后的事情的话。
[01:04:23.899] 男：就是可能我跟你会觉得，我可能。
[01:04:26.939] 男：就是在当下。
[01:04:29.759] 男：嗯。
[01:04:31.499] 男：这个我觉得。
[01:04:33.959] 男：就是。
[01:04:34.959] 男：像昨晚说的那种类似于。
[01:04:37.799] 男：这样的。
[01:04:40.099] 男：就
[01:04:44.020] 女：你昨晚说了什么你自己知道吗？
[01:04:44.579] 男：我知道。
[01:04:49.079] 男：我觉得我这个。
[01:04:51.539] 男：我需要时间。
[01:04:55.179] 男：因为我这个观念就是一直。
[01:04:57.859] 女：我知道。
[01:05:06.159] 男：所以我可能需要。
[01:05:08.599] 男：一点点时间去。
[01:05:11.079] 女：你是说还在克制哦。
[01:05:14.099] 女：一般说（听不清）。
[01:05:19.839] 女：不要抱。
[01:05:22.279] 女：嗯，不要。
[01:10:16.659] 女：真差劲。
[01:10:18.779] 女：今天早上考试前刚说的。
[01:10:21.839] 女：晚上又来。
[01:10:31.019] 女：你得你得感受，（听不清）。
[01:11:37.919] 女：不要再（听不清）。
[01:13:03.928] 女：不要。你不要（听不清）。
[01:16:41.179] 男：你坐起来。先坐起来。
[01:19:14.799] 男：如果今天是这样的话，考虑好的话，我就不说了。
[01:19:45.599] 女：你真的考虑好了吗。
[01:19:58.959] 男：应该。我想亲你，（听不清）。
[01:20:01.219] 女：你考虑好后果。
[01:20:10.359] 男：我想做（听不清）。
[01:20:14.128] 女：你考虑好后果。
[01:20:15.799] 女：那它可能会有什么？
[01:20:22.679] 女：并不是我认为的。
[01:20:29.039] 女：因为我这很明显。
[01:20:46.179] 男：（听不清）。
[01:22:31.939] 男：没事吧。
[01:22:37.119] 男：磕到哪儿了？
[01:22:38.719] 女：（听不清）。
[01:22:44.779] 男：等你原谅我。
[01:22:46.034] 女：不要。
[01:22:50.519] 女：（听不清）。
[01:26:46.619] 男：（听不清）。
[01:26:50:032] 女：（啜泣）。
[01:29:37.119] 女：（听不清）。
[01:29:42.879] 男：可能有一天。
[01:29:45.619] 男：可能有一天，不是因为原则性的问题。
[01:29:59.859] 男：或者说我们的相处。
[01:30:11.359] 男：不愉快了，然后想离开。
[01:30:11.986] 女：什么叫离开。
[01:30:29.119] 男：可以一起出去玩。
[01:30:33.039] 男：一起。
[01:30:35.099] 男：有拿不准的事情的时候找人商量。
[01:30:40.079] 男：但是。
[01:30:41.239] 男：你就坚持的。
[01:30:43.579] 男：我会一直去做（听不清）的事情。
[01:30:50.439] 男：如果我们。
[01:31:03.539] 男：对不起，那个事情，到时候我们一起互相体面一点。
[01:31:07.639] 男：好吗。
[01:31:15.819] 男：那如果我们发生了争吵。
[01:31:19.359] 男：和矛盾。
[01:31:22.399] 男：我们。
[01:31:24.499] 男：我们一起想办法去解决。好不好
[01:31:28.439] 男：我想办法去。
[01:31:30.199] 女：不谈这个。
[01:31:31.999] 男：嗯。
[01:32:23.619] 男：你不想回去吗。
[01:32:29.739] 男：我想陪着你。
[01:35:59.739] 男：我回去之后，（听不清）。
[01:37:33.249] 女：（抽泣）。
[01:37:41.939] 男：嗯？
[01:38:20.359] 男：可以吗？
[01:38:48.999] 女：（抽泣）
[01:38:51.359] 男：嗯，我。
[01:39:41.779] 男：我不能保证，（听不清）。
[01:40:28.639] 女：（听不清）。
[01:40:32.239] 女：你就这样说未来。
[01:40:52.287] 女：你顾虑的事情（听不清）。
[01:42:08.779] 男：可以认真分析。
[01:42:22.238] 女：（听不清）。
[01:42:32.459] 男：我认真的。
[01:42:36.199] 男：但是就像刚才说的。
[01:42:38.919] 男：就包括像这些。
[01:42:41.559] 男：那就行。
[01:42:43.779] 男：是，如果你不愿意的话。
[01:48:11.859] 男：如果你不愿意的话。
[01:48:41.439] 男：（听不清）。
[01:48:47.699] 男：什么？
[01:48:49.981] 女：（听不清）
[01:48:50.125] 男：（听不清）
[01:49:25.639] 男：嗯。
[01:49:27.199] 男：没事。
[01:51:41.559] 男：应该回学校了。
[01:51:46.959] 男：你就说你（听不清）。
[01:52:14.079] 男：（听不清）。
[01:54:12.059] 男：还好吗。
[02:00:19.559] 男：（听不清）。
[02:08:17.259] 男：难受吗？
[02:08:20.059] 男：还能坚持吗？
[02:08:21.939] 男：快到学校了。
[02:08:31.359] 男：把衣服穿上。抱着我。
[02:09:30.659] 男：哎，别别别，（听不清）。
[02:09:34.099] 男：（听不清）。
[02:09:47.679] 男：那个腿搭在车上。
[02:15:46.239] 女：（咳嗽）。
