[00:00:00.520] 女：我感觉我可以借着和他。
[00:12:20.080] 男：得等得联系商家问一下。
[00:12:23.220] 女：但不是什么。
[00:12:27.060] 男：嗯，那个李子。
[00:12:30.980] 男：对，然后我亲。
[00:12:41.860] 男：我不会说包包里子呢。
[00:12:46.840] 男：嗯。
[00:12:59.420] 男：听听嗯听清。
[00:13:02.440] 女：怎么哦。
[00:13:03.820] 男：那个时候整体的。
[00:13:06.840] 男：氛围还是比较和谐的呀，对吧？
[00:13:13.540] 女：但我对了当老师请我的时候，他说这个事情和氛围啊。
[00:13:18.880] 女：嗯，氛围啊那个什么什么的无关，我只是想表达我当下的一个。
[00:13:26.780] 女：就是我当下就是想听你的这个想法。
[00:13:30.220] 男：你他直接说他起色心了，不就完事儿了吗？
[00:13:37.580] 男：你绕那么大圈子干啥呢？
[00:13:41.780] 女：起诉行了，那是穷妈说出来。
[00:13:44.955] 男：的话嗯，他把段老师说不出口。
[00:13:49.260] 男：这臭鸡巴说不出口，他他自以为很有道德。
[00:13:56.540] 女：嗯，哼哼哼。
[00:13:59.080] 男：臭鸡巴来的。
[00:14:02.400] 女：怎么办呢？
[00:14:03.790] 男：那怎么办？
[00:14:08.020] 女：嗯，我在想嗯。
[00:14:14.360] 女：对我得给他个明确的表。
[00:14:17.140] 女：就是对于我，我对我们关系也觉得应该就是。
[00:14:22.280] 女：嗯，最大我我对我来说到。
[00:14:24.808] 男：哪一步嗯。
[00:14:26.040] 女：就是就是对那个各种边界画一个，对，给他画一个比较清清楚的。
[00:14:31.440] 女：但是这。
[00:14:32.850] 男：样子嗯。
[00:14:36.160] 女：这样会好一点，你对他对对我们比较负责吧，对我自己。
[00:14:42.952] 男：对，首先你得保护好自己。
[00:14:47.800] 男：这个东西真得注意。
[00:14:53.600] 女：对我得出去，他他出去不到。
[00:14:56.986] 男：对他呢，他你既然要和他接着。
[00:15:00.820] 男：嗯，相处的话，你得注意。
[00:15:04.640] 女：男方他表现出我一个会尊重我，照顾我的一个角色。
[00:15:09.453] 女：但是在他的。
[00:15:11.740] 女：他的认知，他的。
[00:15:15.600] 女：礼品。
[00:15:18.740] 女：嗯，就这样子，嗯，他他没有办法。
[00:15:23.280] 女：他他他没有他他的他的性别。
[00:15:30.820] 女：嗯，他没有办法去认识到一些事情的另一面。
[00:15:35.646] 男：嗯，那还是把你当一个。
[00:15:41.360] 男：哎，暴暴力足嘛。
[00:15:44.020] 女：那你怎么。
[00:15:46.280] 男：他要得到的。
[00:15:47.980] 男：东西去看待的。
[00:15:58.020] 女：嗯，嗯嗯。
[00:16:00.660] 女：如果在这个事情里面，我能够跟。
[00:16:05.980] 女：更更更强势一点。
[00:16:10.140] 男：我觉得你的表态已经很明确了。
[00:16:16.660] 女：没有，就是如果我不是我现在这样，而是另外一种样子。
[00:16:21.120] 男：嗯。
[00:16:23.380] 女：比如说我很明确的，我想我想从你身上得到什么，嗯，然后你也很就你想从我身上得到什么？
[00:16:30.860] 女：你要，然后晚上画不出来，是这样的。
[00:16:33.860] 男：哎呀，那他他从你想得到的，你满足不了啊。
[00:16:42.460] 男：那比如说你想让他能满足。
[00:16:44.701] 女：但是能满足的了，但是但是但是但但是那个东西不不不完全契合我想要的。
[00:16:51.017] 女：然后那同时那这样子的话，我想从他身上得到什么呢？
[00:16:55.840] 男：对。
[00:16:57.340] 女：对吧，那个东西好像。
[00:16:59.960] 女：他没有特别特别明确。
[00:17:02.774] 女：对，而反而他他就是就是和他小朋友杀的差不多嗯。
[00:17:09.700] 女：但是但是那个东西我相对他来说并没有那么主动的。
[00:17:14.520] 女：热烈的想去追求。
[00:17:17.240] 男：哼狗鸡巴的。
[00:17:23.080] 女：你这这其实就有点类似于我和琼马做爱的一个。
[00:17:26.780] 男：泡泡里做呢。
[00:17:33.280] 男：他想。
[00:17:35.880] 女：嗯，或者找不到一个可以去。
[00:17:39.640] 女：就是应当去拒绝的一个态一个态度，你应有态度。
[00:17:44.480] 女：呃。
[00:17:46.920] 男：不是，那你不能就趁我这种时候你来来这来那呀。
[00:17:54.840] 男：你这做的对吗？
[00:17:58.200] 男：对吧比如说我接受亲吻，不代表我什么时候都接受亲吻呀。
[00:18:12.860] 男：应该在这儿就是。
[00:18:20.420] 女：嗯。
[00:18:21.620] 女：中国交易缺少性性教育课堂。
[00:18:26.380] 男：哎。
[00:18:30.600] 男：做的什么狗鸡巴事情呀。
[00:18:36.300] 女：不知道你。
[00:18:40.660] 男：嗯，这至少。
[00:18:45.180] 男：身体接触。
[00:18:48.520] 男：呃，暂且别往下面走了吧。
[00:18:54.580] 男：可能，我只是说可能啊。
[00:18:57.720] 男：可能会有事儿。
[00:19:00.940] 男：我觉得他管不住自己下半身。
[00:19:05.880] 女：会。
[00:19:07.020] 男：对他管不住。
[00:19:10.060] 女：喂。
[00:19:11.120] 男：什么？
[00:19:12.760] 男：会会。
[00:19:17.120] 男：会。
[00:19:18.440] 男：哼。
[00:19:20.820] 男：帮忙的找。
[00:19:22.304] 女：他定的会嗯。
[00:19:25.880] 男：对呀，他管不住。
[00:19:29.660] 女：你看脑子一热之后，发生了啥也不知道。
[00:19:32.620] 男：对他今天晚上不就是。
[00:19:35.540] 男：色心大起，精虫上脑。
[00:19:40.280] 女：你看我今天下午说的小处男，没错吧？
[00:19:43.041] 男：就是小处男。
[00:19:43.961] 男：不是你小处男，你也不带这样处的呀。
[00:19:46.722] 男：操你妈的，这是本子里面的小处男。
[00:19:54.220] 男：哪有这样的？
[00:20:03.240] 女：怪我太有魅力了。
[00:20:04.904] 女：办法。
[00:20:05.960] 男：哎，有魅力得好好保护一下啊。
[00:20:11.760] 女：你你什么时候亲亲我一下啊。
[00:20:16.440] 女：不是你了。
[00:20:18.200] 男：哎，咱们能不能开开心心的平凡一下呀？
[00:20:22.900] 女：能不能就是就是。
[00:20:25.740] 女：这都快调教成叉坯了，这东西你就是不答应，操你妈了个逼逼。
[00:20:33.120] 女：那你强吻我啊。
[00:20:39.460] 男：哎。
[00:20:42.820] 女：嗯，不过今天晚上的这个事情其实比我预期的。
[00:20:46.950] 男：要好了嗯。
[00:20:48.620] 女：因为当时当当时我那个状态下。
[00:20:52.620] 女：我其实是隐约会有点期待被强吻的。
[00:20:57.800] 女：嗯，因为因为因为那个好像是按照我比较熟悉的模型去发展的，嗯，就是就是我明确的表示同意，嗯，然后然后他就上来了，肯定就上来就直接行了嗯。
[00:21:11.560] 女：这种。
[00:21:13.480] 男：哎。
[00:21:15.880] 男：那你只能你你你你你遇到的已经烂得透顶了。
[00:21:22.540] 女：对，所所以你就相对来说，就是说。
[00:21:26.060] 女：嗯，能够让我。
[00:21:28.860] 女：能够让我把事情讲完。
[00:21:31.640] 女：然后确实就是嗯。
[00:21:34.620] 女：讲出来了，然后对方同意讲出来了，对方同意讲出来，对方同意。
[00:21:39.320] 女：然后这个可以试一试，然后要继续的这个。
[00:21:42.820] 女：就是对我来说，我觉得甚至还挺好。
[00:21:45.100] 男：不是那人不能比烂呀，你得往好的比呀。
[00:21:50.140] 男：你不能往烂了比呀。
[00:21:53.020] 女：可以可可是可是可是可是我就是这样子。
[00:21:57.218] 男：没办法抱抱呢。
[00:22:00.540] 男：爸爸爸爸爸爸。
[00:22:02.480] 女：嗯。
[00:22:03.660] 男：没有啊，我没在责怪你我觉得有点。
[00:22:07.232] 女：后来我就对自己的反应觉得很惊奇。
[00:22:12.580] 女：但是一方面我。
[00:22:14.340] 女：我能意识到那个那那个那个时那个时机是不太对的。
[00:22:19.105] 女：对。
[00:22:19.321] 女：然后另一方面我也没有再苛责自己为什么。
[00:22:23.220] 男：表示同意了。
[00:22:24.303] 男：对。
[00:22:24.660] 女：但是但是但是就是。
[00:22:26.680] 女：那个就是。
[00:22:28.140] 女：我的我的反应有点大，然后我就有点搞不明白了。
[00:22:32.860] 男：嗯。
[00:22:35.840] 女：你可以说在那个时候，我真的是没有没有真心的想回来。
[00:22:39.800] 女：不大行，因为因为确实对呀，就是那个结构之下他不对。
[00:22:45.505] 男：没有生气，没有心思。
[00:22:47.900] 女：我没有心思。
[00:22:49.109] 男：哪有心思还要亲你啊。
[00:22:51.287] 男：他妈你啥时候，你不是那啥时候了，你还说亲嘴的事，哎呦，我真服了。
[00:23:00.700] 男：劳动瓦特了。
[00:23:03.480] 女：你可不可以亲我呀？
[00:23:05.605] 女：我想你。
[00:23:06.402] 男：亲亲你，怎么我也想你了。
[00:23:09.240] 女：我要我要我要告诉对雪。
[00:23:12.280] 女：我要和你在清明节见面。
[00:23:19.620] 男：为什么我会想笑我呢？
[00:23:22.300] 女：就问了你这一次见面是在啥时候？
[00:23:24.969] 女：我。
[00:23:25.520] 男：上一次。
[00:23:27.960] 男：二月底吧。
[00:23:30.420] 女：我说他说寒，他说暑假吗？
[00:23:33.060] 女：我说不是，他说寒假吗？
[00:23:35.436] 女：对。
[00:23:35.840] 女：前不久。
[00:23:38.700] 男：他问的呀。
[00:23:42.900] 男：等一下啊，不是。
[00:23:44.900] 男：刚刚啥意思？
[00:23:45.940] 男：他问你，你上一次啥时候和我见的面？
[00:23:51.580] 男：Hello. 
[00:23:53.080] 男：对呀，然后。
[00:23:57.120] 男：然后前不久。
[00:23:59.520] 男：然后他啥反应呀？
[00:24:02.320] 女：没啥反应。
[00:24:03.880] 男：不是。
[00:24:05.640] 男：他为啥不关心我是什么样的人，天天去关心这个东西呢？
[00:24:12.440] 女：有意思，我没注意到这点，我真服了。
[00:24:15.548] 男：那那你说你有一个C他能不问问，哎，你这个C他是干啥的呀？
[00:24:23.040] 男：但他去关心我啥时候跟你见面，干鸡毛呀。
[00:24:28.840] 男：那当然这也这这这也需要关心吧。
[00:24:34.620] 男：但你不能在我这个人是什么形象都没确定的情况下，你就去关心。
[00:24:41.409] 女：这个东西呀。
[00:24:42.667] 女：我哪敢跟他说，嗯，我们见面第第三天就亲了。
[00:24:47.193] 男：我主动亲的。
[00:24:48.451] 男：你你你说了吗？
[00:24:50.360] 女：我哪敢呢？
[00:24:52.173] 男：对呀。
[00:24:54.860] 男：他妈的还是嗯。
[00:24:56.192] 女：还是在那些事情发生之后，我我的形象就变成怎么样了呀。
[00:25:01.524] 男：这确实不容易说。
[00:25:04.440] 男：这不好说，这一部分隐去隐去比较好。
[00:25:12.120] 男：嗯，什么？
[00:25:14.180] 女：就没有必要去说这个。
[00:25:16.350] 男：对，有的事儿隐去就好。
[00:25:21.060] 男：啊，对主线叙事意意义不大。
[00:25:30.700] 男：嗯，这个人啊，那把我当成敌人了呀。
[00:25:42.180] 男：对吧？
[00:25:44.280] 女：那他对于他对于我们之间关系并没有很明确，就是这个他给我能感觉到对他。
[00:25:51.466] 男：来说挺不安的，对他把我当成小情敌了。
[00:25:55.560] 女：所以所以所以估计因为我们没有确认关系，所以他才能说能不能你的重要性减少一点。
[00:26:03.780] 男：对呀，就是就是因为咱俩一直。
[00:26:07.060] 男：嗯，没想着去搞那些东西。
[00:26:11.320] 女：但凡我说你是我男朋友，他觉得就我。
[00:26:14.880] 男：那肯定对，那肯定就直接知难而退了。
[00:26:20.440] 女：嗯，不好意思，我有男朋友的那这样的话，那个像收到的职责的人就是我的。
[00:26:25.800] 男：对呀对，来。
[00:26:27.940] 男：你但凡说我是你男朋友，他那边他肯定就不想当个挖墙脚的了。
[00:26:35.160] 男：他就直接跑了。
[00:26:37.500] 女：那个你暧昧很高兴啊，我男朋友知道他在前面说，我操三人情侣。
[00:26:47.340] 男：不是逼养的，你还有脸说这话了？
[00:26:52.080] 女：这个锅底的停着碗边的油。
[00:26:59.580] 男：幸亏不是男朋友啊。
[00:27:03.420] 女：嗯，你是我男朋友，完了。
[00:27:05.680] 男：啊，你完了。
[00:27:07.700] 女：早和你分了。
[00:27:10.480] 男：笑死我了。
[00:27:15.320] 男：哎，当男朋友就那么难吗？
[00:27:24.820] 女：灯开。
[00:27:28.360] 女：明明浙江我自己都很享受和我之间的亲密互动啊。
[00:27:32.320] 男：嗯，他想完全独占你。
[00:27:37.660] 男：啊，我困了啊，我也是，我在说梦话。
[00:27:41.260] 女：抱歉，我是我是觉醒的女性。
[00:27:44.220] 男：对他想把你收入囊中。
[00:27:48.900] 女：嗯。
[00:27:52.420] 男：他想这也是。
[00:27:53.764] 女：为什么嗯。
[00:27:55.040] 女：那那为什么在我不清醒的状态下和我亲亲，他却能够明白他想要怎么和我相处呢？
[00:28:02.460] 男：这不是他的，这我觉得这是他的，这是他的顿时对他的遁词。
[00:28:09.400] 男：他就是为他那种精虫上脑亲了你的表现去找段子，不是咱就说个说个说个具体的。
[00:28:18.314] 男：他如果真是为了明确决心去亲你，他为啥揉你胸啊？
[00:28:27.080] 男：你这不胡扯吗？
[00:28:30.140] 女：他应该还想往什么肋骨那边去磨。
[00:28:33.692] 男：对啊。
[00:28:34.520] 男：那那那那你你你要真为了明确决心，你就一次性的你抿一下嘴唇不ok了吗？
[00:28:43.120] 女：你这边有个邓。
[00:28:44.980] 男：嗯。
[00:28:46.620] 女：真的以为就是抿嘴唇呢。
[00:28:48.781] 男：我也以为就抿一下嘴唇，贴一下就行了。
[00:28:52.900] 女：这伸舌头了。
[00:28:54.254] 男：你这你你哦哦你你你和别人舌吻，然后完了之后你和他说，这是我的决心。
[00:29:02.700] 男：你放本子里面都没人信你好不？
[00:29:07.320] 女：你是不夸张，我最好填不难过了。
[00:29:16.000] 男：吃了糖，喝了水，喝那么多小甜水就是好听。
[00:29:21.160] 女：对。
[00:29:22.160] 男：这是真的。
[00:29:23.880] 女：我感觉吃完之后，我嘴里面的甜味。
[00:29:26.738] 男：都少了好多，那就是那他。
[00:29:29.600] 男：哎，唾液交换嘛。
[00:29:35.000] 女：你看看他自己都能明白啊。
[00:29:37.620] 女：我前面刚刚决心完，后面那时候我可能骂他。
[00:29:43.680] 女：如果如果真的是如果真的是在一个很合适的状态下。
[00:29:49.277] 男：怎么会说我骂他呢？
[00:29:51.312] 男：对，哎呀，本来就知道的时机不对，但你就是想做，那我只能解释为你精通三毛。
[00:30:01.240] 男：我没有别的。
[00:30:02.695] 女：都这样，也没办法。
[00:30:04.733] 男：没有别的解释。
[00:30:07.680] 女：所以我也忍不住了，没办法的，对不起。
[00:30:11.420] 男：这样我已经在争取不做了。
[00:30:16.940] 女：好吧，和你和你和你的事，我给我都给拖到没有了。
[00:30:21.280] 男：对不起，好像好像也。
[00:30:23.372] 女：不是那么多。
[00:30:27.040] 男：这样我躲过一劫了。
[00:30:29.740] 女：并没有。
[00:30:31.144] 男：好吧。
[00:30:33.160] 男：对我也嗯嗯。
[00:30:34.288] 女：他好像跟我说了个什么话，让我开始哭。
[00:30:37.897] 男：哎呀哎呀。
[00:30:38.940] 男：抱抱呢嗯然后。
[00:30:40.170] 女：他就说你怎么怎么哭了呀，结果就更想亲了。
[00:30:44.640] 男：啊。
[00:30:46.640] 女：他表现的就更想起你。
[00:30:52.120] 男：我就说他经常上脑吧。
[00:30:57.100] 女：我也想有个可爱的女生八到自己怀的内裤。
[00:31:00.780] 男：你别说，这一招确实管用。
[00:31:09.720] 女：我一想啊。
[00:31:14.280] 男：嗯，哼正文不是女生的第100天。
[00:31:18.900] 女：哎，我你当个姐姐我也行，那不一定是妹妹的。
[00:31:23.743] 男：嗯嗯，嗯嗯。
[00:31:29.280] 女：因为想个可爱，妹妹喝醉了，然后然后在我怀里面伺候的是撒娇。
[00:31:38.380] 男：那确实舒服呀。
[00:31:43.380] 男：有的时候不得不承认一件。
[00:31:46.800] 男：世俗追求也是。
[00:31:49.880] 男：挺有价值的。
[00:31:52.860] 女：嗯，不公平，为什么只有你有没有？
[00:31:57.840] 男：那我给你杂交，你不得膈应死呀。
[00:32:01.380] 女：不要，算了，滚了吧，滚吧你。
[00:32:07.940] 女：嗯，哎呀，我讨厌你。
[00:32:11.120] 男：讨厌我不是女生是吗？
[00:32:13.390] 男：嗯。
[00:32:13.642] 女：我不想给你手冲了。
[00:32:15.800] 男：对不起，好，那就。
[00:32:19.700] 男：哎。
[00:32:21.900] 男：哦。
[00:32:23.980] 男：好，对不起，没事儿没事，你对不起啥呀？
[00:32:29.320] 女：嗯，你之前明明不是这么说的，我说你在骗我当时嗯。
[00:32:35.940] 男：嗯。
[00:32:41.680] 男：行。
[00:32:46.880] 男：下次不做。
[00:32:48.980] 女：你都弄到卡了，抱抱。
[00:32:51.480] 男：不不。
[00:32:52.160] 女：你说hello，你怎么网卡。
[00:32:54.880] 男：我网卡了吗？
[00:32:57.460] 女：刚刚没看到你说话啊。
[00:32:59.800] 男：我说下次不做了啊。
[00:33:02.100] 女：对不起对不起对不起啊。
[00:33:04.841] 男：没事了，爸爸没事。
[00:33:08.000] 女：嗯，因为我想到我之前不是这么说的。
[00:33:11.736] 男：嗯，我知道呀，李志。
[00:33:13.800] 男：当时我就说过了吗？
[00:33:16.800] 女：嗯，可是还是错的，我真不知道为什么。
[00:33:20.780] 男：不好位置呢？
[00:33:22.820] 女：对不起。
[00:33:24.520] 男：哎呀，我应该对不起。
[00:33:27.160] 女：你这好坏。
[00:33:28.537] 男：你都不坏呀。
[00:33:30.480] 女：嗯，你说不能满足这样了。
[00:33:33.041] 男：那他妈的我自己演了起去。
[00:33:39.520] 女：可是李子不是真想李子做呀。
[00:33:43.444] 男：嗯但是李子。
[00:33:46.300] 男：接受不了呀，对吧？
[00:33:49.960] 女：他就很生气。
[00:33:52.300] 男：对，那就。
[00:33:54.340] 男：那那那那那那你的心里话我还要一直做。
[00:34:00.940] 女：我就这之前明明说不做了。
[00:34:05.320] 男：嗯。
[00:34:06.240] 男：那对的，虽然是我的问题。
[00:34:10.140] 女：然后证书还可以做到的。
[00:34:13.800] 男：我的问题啊。
[00:34:15.205] 女：目的就是想就按自己节奏来试试嗯。
[00:34:22.280] 男：对不起了。
[00:34:27.300] 女：然后有时候我就想，嗯，我跟你之间发生这些事情，也能够通过一些沟通什么的一些处理掉，他也是挺挺严重的对。
[00:34:37.880] 男：嗯嗯。
[00:34:38.528] 女：所以所以可能和可能和别人的。
[00:34:42.940] 女：可能有一些问题有点原则性吧。
[00:34:46.520] 男：嗯。
[00:34:47.600] 女：嗯，但是但是但是也很正常吧，我感觉。
