[00:00:01.020] 男：键盘给我吧。
[00:06:29.600] 女：就是靠靠他了，那个天写作的海报是在他他们家做的。
[00:06:35.020] 女：嗯，然后。
[00:06:38.980] 女：嗯，反正就是。
[00:06:46.440] 女：嗯。
[00:06:54.320] 女：嗯。
[00:07:01.520] 女：第二。
[00:07:09.720] 女：帮他们。
[00:07:13.620] 女：嗯。
[00:07:22.540] 女：我靠，刚卡壳了。
[00:07:30.780] 男：看到吗？
[00:07:34.620] 女：嗯。
[00:07:38.540] 女：因为接下来接下来是涉及到我要说的比较核心的事情。
[00:07:47.640] 男：嗯嗯。
[00:07:54.160] 女：也找不到一个合适的形容啊。
[00:07:57.300] 男：没事，你讲的抽象一点也行。
[00:08:01.180] 男：我觉得我。
[00:08:02.500] 男：我还是能理解的嗯。
[00:08:16.040] 女：嗯。
[00:08:17.720] 女：不要好吃。
[00:08:19.280] 女：别挂啊。
[00:08:22.360] 男：你说吧。
[00:08:32.420] 女：等一下想起又想起来写。
[00:08:35.200] 女：没有没有提到的。
[00:08:40.120] 女：那个本子给我。
[00:08:47.060] 女：痛吗？
[00:08:47.645] 男：你没猜对位置。
[00:08:57.880] 男：嗯，我没看哦。
[00:09:04.360] 女：不行啊，太魔幻了，我要怎么开始说啊？
[00:09:23.640] 女：为什么是喵喵喵？
[00:09:31.640] 男：哦，这首歌我知道。
[00:09:51.820] 女：听起来感觉好魔幻。
[00:10:17.020] 女：应该有点导入。
[00:10:23.820] 女：我命硬，等一会儿。
[00:10:25.098] 男：等一会儿，怎么又有崇在你头发上别动。
[00:10:28.340] 女：树皮吧哦也。
[00:10:29.821] 男：有可能是嗯，好。
[00:10:41.040] 女：嗯。
[00:10:58.280] 男：等一会儿我得看。
[00:11:10.920] 女：可以哈可以。
[00:11:12.680] 女：就摆在这。
[00:11:16.080] 女：没打到毛。
[00:11:29.440] 男：好了。
[00:11:31.420] 男：没站稳。
[00:11:33.120] 女：等没事。
[00:11:34.100] 男：没事。
[00:11:41.860] 男：你要站着说。
[00:11:43.900] 女：什么时候怎么来？
[00:12:12.360] 女：手段啊。
[00:12:14.540] 女：嗯，好多啊。
[00:12:16.960] 女：嗯，小段。
[00:12:19.640] 女：嗯，也就是你是点点。
[00:12:23.660] 男：你这句话你寒假就说过了。
[00:12:27.040] 女：对呀，你又没有找我要。
[00:12:29.360] 男：哦，我我是一个不喜欢找人要东西的人。
[00:12:32.425] 女：没有机会呀。
[00:12:33.383] 女：你看今天今天那个什么。
[00:12:35.480] 男：没关系啊，你下次请我吃两次就好了。
[00:12:39.820] 女：合二为一吧。
[00:12:41.580] 男：好。
[00:12:49.540] 女：前面铺垫了这么多，就是为了引出C的存在。
[00:12:53.590] 女：嗯嗯，然后然后然后这个是我想跟你说的，我最顾虑的那一点。
[00:12:59.215] 女：嗯，因为因为在那之后。
[00:13:01.600] 女：呃，我相当于是和他建立了某种亲密关系。
[00:13:06.173] 女：嗯，但是。
[00:13:08.620] 女：但是他又不是那种亲密关系，就是就是我们双方彼此都觉得。
[00:13:16.420] 女：就是就是都觉得互动互动应该是自然的，然后不受约束的。
[00:13:22.077] 女：嗯，就是就是是就是像我刚刚说的那样子嗯。
[00:13:27.120] 女：嗯。
[00:13:28.580] 女：然后。
[00:13:32.720] 女：然后。
[00:13:34.680] 女：然后然后然后我觉得是有必要让你知道有这么一个人的存在。
[00:13:39.600] 女：所以。
[00:13:40.900] 女：所以我感觉如果如果如果你不知情的话。
[00:13:45.900] 女：就就就是有一些互动，我我如果主动去做啊，或者或者说去回馈啊，感觉对你不是很好。
[00:13:55.420] 女：嗯嗯。
[00:13:56.212] 男：你说的是哪些活动？
[00:14:00.140] 女：抱抱，你没有发现我很少主动抱吗？
[00:14:05.480] 男：好像是哦，除了那天晚上。
[00:14:08.155] 女：那天我是戒酒。
[00:14:12.220] 男：你跟。
[00:14:19.660] 男：就是你你现在跟C的关系是什么样的呢？
[00:14:25.460] 女：好。
[00:14:26.460] 女：不太好定性，嗯嗯，我们两个都找不到一个合适的词语去形容他嗯。
[00:14:35.120] 女：哈哈。
[00:14:36.260] 女：但是我们也不是在。
[00:14:38.420] 女：在在谈恋爱或者是。
[00:14:42.400] 男：他知道我的存在吗？
[00:14:44.144] 男：知道。
[00:14:44.820] 男：嗯，我们最近的。
[00:14:46.920] 男：就最近这两天的近况，他你跟他说过吗？
[00:14:50.866] 女：嗯，我跟他就是我是跟他跟他确认完很多事情，我才决定过来跟。
[00:14:57.280] 男：你说嗯他是怎么看的。
[00:15:00.000] 女：嗯，我们之前讨论之前有过好几次。
[00:15:04.360] 女：关于一些就是我们之间关系，还有对于关系之中一些问题的讨论。
[00:15:11.020] 女：嗯。
[00:15:14.520] 女：首先是就是就是就是最近一次是上上一年暑假，上一年暑假我不是去和就是和沿河。
[00:15:25.060] 女：去去参加演唱only嘛。
[00:15:26.941] 女：当时和一个和一个网友见面了。
[00:15:30.600] 女：然后然后见面过程中，我感觉这家伙对我有意思。
[00:15:35.020] 女：然后然后当时不知道不知道不知道怎么。
[00:15:38.860] 女：我有我有一种。
[00:15:41.040] 女：就是就是我感觉到好像好像像。
[00:15:44.940] 女：呃，想想和他有一些互动干嘛的，然后我觉得很很困惑，但但当然我没有提出来。
[00:15:52.020] 女：然后后面我跟他跟他说了这个事情，然后我们就就对对这个事情。
[00:15:57.880] 女：就讲了一下。
[00:16:02.060] 男：你跟他上次见面也是睡觉。
[00:16:05.002] 女：不是他就在。
[00:16:06.480] 女：弹跳。
[00:16:08.620] 女：嗯。
[00:16:12.620] 女：嗯。
[00:16:16.000] 女：就是嗯等一下，我现在怎么。
[00:16:22.920] 男：或者如果实在没想好，也不。
[00:16:26.200] 女：等一下。
[00:16:29.420] 男：我跟你说好不好？
[00:16:30.715] 男：就。
[00:16:32.720] 女：不知道。
[00:16:35.020] 女：嗯嗯，这个是这个我我我我顾虑的就是这个是会和你的观念有冲突的地方。
[00:16:41.960] 女：嗯嗯，应该怎么说，你能看出来我之前经历的关系，他他都不是那种非常传统的一对一的或者异性恋的关系，包括。
[00:16:54.060] 女：呃，我我我他和B我我全码和B然后后来我全码和C就我不知道为什么我总是被剪到这种事情里面去。
[00:17:05.820] 女：嗯，然后。
[00:17:08.340] 女：然后然后后面后面后面我们针对这个。
[00:17:13.280] 女：我们就是人人的欲望，还有取向倾向的一些流动啊。
[00:17:18.780] 女：就会发现我好像会同时对。
[00:17:21.840] 女：很多人产生一些感情，或者说有一些想要去。
[00:17:27.760] 女：去去接触的冲动。
[00:17:30.580] 女：但是但是但是我又会担心。
[00:17:35.060] 女：就是就是这些这些如果我真的发生了一些互动就是。
[00:17:40.140] 女：他他是不是可以的那他是不是对于对方来说象征着某种关系？
[00:17:46.980] 女：就就比如说比如说抱抱。
[00:17:50.300] 女：嗯，我之所以没有说和你很主动的抱抱，是因为。
[00:17:55.120] 女：我感觉。
[00:17:56.440] 女：就就就比如说合川吧。
[00:17:59.100] 女：我以前感觉就是。
[00:18:01.040] 女：这这个就是他需要拥抱，然后我去给。
[00:18:04.540] 女：就是很好的，然后我自己也就觉得也觉得这个感觉非常非常好。
[00:18:08.900] 女：但是后面后面爆发了之后，我一直在追问他以前那些事情。
[00:18:12.954] 女：他就跟我说，他以为跟我跟我拥抱了之后就确认了关系。
[00:18:16.980] 女：就觉得我们是在谈恋爱了。
[00:18:18.980] 女：然后然后我然后我就很考虑这一点，我觉得如果如果说没有摆很多东西。
[00:18:24.120] 女：给拍摄清楚的话，我贸然的去根据我的冲动或者欲望去做一些事情，其实是对于对双方的负责。
[00:18:32.620] 女：嗯，然后然后对于他来说。
[00:18:37.500] 女：我我承认了，我我会我会同时。
[00:18:41.040] 女：可能对几个对象产生一种欲望，他他不一定是指情欲上的，反正就是会有那种那种那种靠近的欲望。
[00:18:49.650] 女：比如说比如说我发现我很想很适合贴贴。
[00:18:53.380] 女：然后他我室友当然也经常叫我贴贴了，但是但是我感觉。
[00:18:57.760] 女：不好意思去做到做到不太好意思去做到那个事情，因为我感觉我对他很喜欢，我不知道那是那那样是哪样的喜欢。
[00:19:07.660] 男：不依赖感冒药。
[00:19:09.880] 女：不是。
[00:19:11.920] 女：就是我看到看到他和他和他的新学姐在一起，我会觉得非常非常难受。
[00:19:18.380] 女：然后然后他他他找我去拥抱啊，然后去撒娇啊，然后然后。
[00:19:24.160] 女：就很亲密的说，我也很开心，但是我我也很想。
[00:19:28.000] 女：我慢慢的发现，我好像也想这么对他做，但是我却我却。
[00:19:32.820] 女：不好不好意思，很主动的。
[00:19:36.360] 女：就是那种很别扭的情感了。
[00:19:40.200] 女：然后。
[00:19:41.840] 女：然后然后很后面我很后面我我就想因为我今天一直感觉我好像不是女同吧，然后我然后就想为什么我我不是呢？
[00:19:50.629] 女：为什么为什么我对女生和女生。
[00:19:53.200] 女：接触产生那种抵触呢？
[00:19:56.580] 女：我就会感觉。
[00:19:57.940] 女：哎，慢慢的好像我跟室友之间接触的太多了，然后他让我感觉到安全。
[00:20:04.020] 女：他好像我。
[00:20:06.320] 女：我跟他。
[00:20:07.900] 女：就是就是如果他如果他愿意的话，我我甚至是愿意和他请的。
[00:20:14.940] 女：那当然他应该不是越女了。
[00:20:18.920] 女：只只是说我说如果，如果他如果如果他觉得。
[00:20:23.320] 女：嗯。
[00:20:24.560] 女：Ok的话，然后我就觉得这这是一个蛮好的事情，但他不可能发生。
[00:20:30.840] 女：然后就是这个是我这个是我的舍友，然后。
[00:20:35.840] 女：然后然后是之前那个。
[00:20:38.300] 女：网友，然后。
[00:20:40.700] 女：然后然后我就觉得很痛苦，为什么为什么我会这样？
[00:20:46.120] 女：然后然后然后然后他他就接受了这样的观点。
[00:20:51.600] 女：贝贝。
[00:20:53.720] 女：因为这个这个是很正常的，因为嗯我们两个之间的关系并不能用唯一和忠诚去写。
[00:21:01.320] 女：嗯，还。
[00:21:02.490] 男：可以。
[00:21:03.800] 男：毕竟那在那个那个时候那个时候我可以说吧，唯一真正在帮你的就是。
[00:21:10.560] 女：对嗯，然后然后后面后来我们发现。
[00:21:14.680] 女：我们有过的一些观念啊什么的，意外的还挺。
[00:21:18.440] 女：挺挺贴合的。
[00:21:19.940] 女：然后后来结束之后我们会家，他问我我们之间的关系是什么？
[00:21:24.719] 女：我说我不知道，我回答不了这个问题，他就说。
[00:21:28.400] 女：他就觉得好像也不是那么重要，你可以不用去回答他他说跟琼马的关系一样吗？
[00:21:33.911] 女：我说不太一样吧。
[00:21:37.260] 女：嗯。
[00:21:39.900] 女：嗯。
[00:21:41.860] 女：然后然后然后他他就开始思考自己，他。
[00:21:45.660] 女：对于他来说。
[00:21:47.720] 女：就是目前有跟他交接，不是交有跟他接触的比较亲密的对象，其实就是我。
[00:21:54.940] 女：然后然后然后我当时再提出一个问题。
[00:21:58.080] 女：嗯，我觉得我能够接受，我能够我我能和很多人我对很多人有。
[00:22:04.500] 女：有有有感情，然后然后想要去接触。
[00:22:07.705] 女：但是但是我在想，如果如果他也是这样的，我能不能够接受？
[00:22:14.080] 女：然后然后我就问他，我我如果我这样的话，你能不能够接受？
[00:22:17.857] 女：然后他我们我们之前没有遇到过这样的问题，然后他就想了一下，他他也不否认之后可能。
[00:22:24.340] 女：就是在他的生活里面，会有另外一个让他产生。
[00:22:28.120] 女：欲望的对象。
[00:22:30.360] 女：但是他可能会在会在会在那之前就掐断这样的联。
[00:22:36.460] 男：都不是掐断跟你的。
[00:22:38.335] 女：还是掐断跟对方的。
[00:22:40.211] 女：因为。
[00:22:41.760] 女：嗯，对于他来说呢。
[00:22:44.200] 女：并不是因为他他觉得这只能忠诚于我，所以他不能够和别人有接触。
[00:22:49.645] 女：而是因为对他来说，他没有他没有精力同时处于两段关系。
[00:22:54.312] 女：如果他他选择和另外一个人也建立一个比较深度的联系的话，那那会导致我们两个之间产生泄泻系。
[00:23:09.200] 男：没有没有没有怪你，没有怪你。
[00:23:12.880] 男：嗯，我就是蹲着有点累。
[00:23:15.400] 男：然后站起来。
[00:23:16.640] 男：站起来一下嗯。
[00:23:19.360] 女：然后。
[00:23:22.320] 女：嗯，然后。
[00:23:24.720] 女：这个这个和那个雪国里面主角的妻子还是不太一样的。
[00:23:30.410] 男：态度嗯嗯。
[00:23:32.880] 女：我操我好像就是因为听了你说这个，我才不放起锅的，结果太他妈傻逼。
[00:23:37.960] 男：你要要不要坐着？
[00:23:40.013] 男：不用。
[00:23:42.320] 女：到哪里可以坐着？
[00:23:45.520] 女：嗯。
[00:23:47.960] 女：然后他会。
[00:23:49.520] 女：然后他会觉得。
[00:23:51.820] 女：嗯。
[00:23:54.140] 女：他说，看看看看。
[00:23:56.620] 女：嗯，各自的需求是什么样的吧？
[00:23:58.918] 女：他也觉得我如果和别的人也建立。
[00:24:01.900] 女：同样深就是同样深度的联系对我来说是很好的。
[00:24:07.860] 女：然后对他来说呢。
[00:24:09.387] 男：对我来说。
[00:24:10.260] 女：然后他他他他就是并没有那么自律。
[00:24:13.534] 女：就是只要在我们的相处中能够感受到彼此的存在，能感受到我在这段关系。
[00:24:20.620] 女：可以了。
[00:24:21.780] 女：然后然后然后我和那个网友的接触，让他很难受的原因也其实就是在。
[00:24:29.200] 女：那个网友，他很不成熟啊。
[00:24:31.640] 女：嗯，就是就是会因为我不回复他或者怎么样。
[00:24:35.960] 女：这就闹别扭，明明我什么都没给他做。
[00:24:39.700] 男：嗯，我想问一个问题，这样子。
[00:24:43.595] 女：嗯。
[00:24:43.950] 男：就是CC说只要感受到存在。
[00:24:48.340] 女：对吧嗯。
[00:24:49.456] 男：这个存在是存在过还是当下？
[00:24:54.720] 女：感感感就是感觉到。
[00:24:57.178] 男：就是在。
[00:24:58.100] 女：关系之中，我们我们都在，就是都能不是。
[00:25:03.016] 男：存在过，而是要。
[00:25:06.240] 女：一种精神上的存在吧。
[00:25:08.695] 女：嗯。
[00:25:08.968] 男：你继续说。
[00:25:13.340] 女：嗯。
[00:25:17.460] 男：打断你了吗？
[00:25:31.720] 男：还是说不知道，暂时不知道怎么说了。
[00:25:36.840] 女：我不晓得说走到哪儿。
[00:25:39.640] 男：嗯，你说那个那个网友很。
[00:25:43.260] 男：很幼稚。
[00:25:44.680] 女：不成熟嗯，就是他他有他有事，他有过我跟另外一个人。
[00:25:50.860] 女：男性有接触，感觉到芥蒂，是就是只是因为只是因为那个人。
[00:25:58.320] 女：那个人没有。
[00:26:00.520] 女：他他他不能够很好的处理跟我的关系。
[00:26:07.620] 女：这样子。
[00:26:12.380] 女：然后他感觉那个人比较危险。
[00:26:16.000] 女：当然我也没有跟他干嘛。
[00:26:19.040] 男：可能就是单纯的占有欲。
[00:26:21.460] 女：不是占有欲不是吗？
[00:26:23.028] 男：对他都有一个。
[00:26:24.204] 女：网友网网友是有占有欲。
[00:26:26.164] 女：对啊，你知道他多大了吗？
[00:26:28.124] 女：嗯，他他比我大。
[00:26:29.620] 女：我到四四岁就是已经要工作。
[00:26:32.288] 男：我操巨婴啊。
[00:26:34.700] 女：你可以这么理解吧。
[00:26:36.171] 男：你你说的是那个，然后你说C是那个什么？
[00:26:39.297] 男：刚刚你说的那个是C对吧？
[00:26:41.460] 女：哪个？
[00:26:42.820] 男：呃，感觉到有点危险的对。
[00:26:45.095] 女：就是觉得觉得那个网友挺危险的。
[00:26:48.280] 女：然后就是是就是就是我和我和网友的关系不安全，然后他才会对我和另外一个人有接触。
[00:26:56.697] 男：感到感觉到有芥蒂。
[00:26:58.517] 男：他他的这个感觉到危险是是源于担心你受到。
[00:27:03.700] 男：危险的事情是担心你的现实存在的安危，而是还是说是因为那段关系让他感觉自己的。
[00:27:14.300] 男：地位被威胁会被威胁到。
[00:27:17.880] 女：步骤不是那么准确。
[00:27:23.220] 男：我们继续嗯。
[00:27:31.140] 女：嗯。
[00:27:35.780] 男：其实刚刚听你说完。
[00:27:39.820] 男：我发自内心的。
[00:27:43.160] 男：我很感谢。
[00:27:49.540] 男：听你说完这些。
[00:27:53.240] 男：我真的。
[00:27:55.880] 男：发自内心的。
[00:28:01.220] 男：然后因为在听你讲的过程中，你你刚刚提到C加入进来。
[00:28:07.960] 男：我那时候确实是有。
[00:28:11.360] 男：虽然说担心有点多。
[00:28:13.880] 男：我怕，因为我怕。
[00:28:15.720] 男：他也是。
[00:28:21.000] 男：然后。
[00:28:22.240] 男：听你说完，反而他正在那段时间里。
[00:28:25.960] 男：唯一或者是为数不多真真正意义上在帮你的。
[00:28:32.080] 男：嗯，让你没有。
[00:28:34.240] 男：让你没有陷入到最坏的结局。
[00:28:36.942] 男：所以在这一点，你看我真的。
[00:28:39.420] 女：嗯嗯确实那段那那几个月如果没有他的帮助，我估计就。
[00:28:44.740] 女：你看我估计就不行了。
[00:28:47.060] 男：所以。
[00:28:51.720] 女：然后也是他让我意识到，原来原来原来我我在和别人的相处中是可以。
[00:28:58.360] 女：没有，就是不只是涉及到一些那些创伤经历的。
[00:29:03.980] 女：然后我是可以有很多有就是有自己有趣的生活，然后有我特别独特的人。
[00:29:11.860] 女：这样子。
[00:29:16.420] 男：那你会。
[00:29:18.820] 男：很反对还不是不是很反对，就对我。
[00:29:22.640] 男：想要对你。
[00:29:24.080] 男：有亲密接触的。
[00:29:26.120] 男：有。
[00:29:27.340] 女：反感吗？
[00:29:28.456] 女：没有。
[00:29:29.600] 女：但是我我我担心的问题就是。
[00:29:33.600] 女：就是。
[00:29:35.060] 男：就是就是你不好，我们。
[00:29:37.100] 女：不是，就是在在就是在嗯，你知道有他存在的情况之下嗯。
[00:29:43.880] 女：你会不会介意我们两个之间会有亲密的？
[00:29:50.080] 女：就是就是他是完全知情的，然后他。
[00:29:53.900] 女：他是他是支持的。
[00:29:56.840] 女：同意的。
[00:30:02.500] 女：然后这个这个这个就是就是比较。
[00:30:06.680] 女：这是我孤立的点，然后需要需要你去思考一下。
[00:30:18.900] 男：我都想了想。
[00:30:24.300] 女：那对我来说对我来说，我我能够能够和一个人去做。
[00:30:30.860] 女：恋爱，恋爱之中会有的一些。
[00:30:35.080] 女：但是对我来说，他们不一定代表着恋爱本身吧。
[00:30:39.100] 女：嗯嗯，他他更多是象征着。
[00:30:43.660] 女：你在这段关系之中感受到的东。
[00:31:01.780] 女：啊，像我这样的人很易很容易很容易会被当成渣女啊。
[00:31:12.260] 女：我然后我不希望我觉得如果我没有答应你就是在吊着你就是我我不会我没有答应你，但是又愿意和你做一些事情是在吊着，然后会对你不公平。
[00:31:23.716] 女：就是我想。
[00:31:26.100] 男：我坐着坐起来。
[00:31:32.840] 男：不然会有一种。
[00:31:34.640] 男：不然我就会感觉有一种在居高临下审视着你的。
[00:31:40.420] 男：芭比500。
[00:31:42.720] 男：嗯，我可以假设嘛。
[00:31:48.220] 女：我有跟他我有跟他说过，我想包包装了。
[00:31:53.160] 男：如果假设。
[00:31:56.780] 男：就是我现在主观的感。
[00:31:58.900] 女：嗯，就肯肯定。
[00:32:00.330] 男：不肯定跟你新新路。
[00:32:03.240] 女：谢谢。
[00:32:04.370] 女：鼓励哥哥。
[00:32:06.630] 男：想法。
[00:32:09.060] 女：好，我们忙过去了是吧？
[00:32:11.100] 女：可好了。
[00:32:11.940] 男：嗯，是不是因为。
[00:32:14.140] 男：心里面想要有。
[00:32:16.520] 男：我们每一个人。
[00:32:20.940] 男：能给你一个。
[00:32:23.600] 男：对你来说，稳定的、不变的。
[00:32:27.500] 男：支撑的。
[00:32:29.940] 男：或者是其他。
[00:32:31.580] 男：啊，总之就是能让你安定下来的。
[00:32:36.560] 女：类类似的。
[00:32:42.180] 男：那如果说。
[00:32:45.000] 男：假如。
[00:32:47.520] 男：假如我能。
[00:32:52.080] 男：嗯，就是先抛开能不能做到，就是假如。
[00:32:55.600] 男：我能给给过你这样的安全。
[00:32:58.700] 男：或者是。
[00:32:59.980] 男：能让你。
[00:33:02.880] 男：让你感觉到在我身边。
[00:33:05.600] 男：可以放下很多负担的话。
[00:33:08.240] 男：那你对他的，你还会像。
[00:33:11.680] 男：之前那样那么的需要他。
[00:33:17.260] 女：我对他并不是单纯的那种需要的。
[00:33:20.980] 女：就是怎么说呢？
[00:33:24.020] 女：我现在其实难道不就是已经做到了吗？
[00:33:26.953] 女：就是像你说的那种。
[00:33:31.060] 女：没有负担的。
[00:33:32.920] 女：然后是自然。
[00:33:35.660] 女：那我去做自己那种状态。
[00:33:58.020] 男：可能会问的有点。
[00:34:01.340] 男：嗯，你会有跟他。
[00:34:03.540] 男：你你会有想跟他。
[00:34:07.040] 男：做做那个。
[00:34:11.560] 男：更更深入的亲密举动。
[00:34:16.220] 男：你会有那样的。
[00:34:19.560] 男：会有吗？
[00:34:38.320] 男：如果如果。
[00:34:40.800] 男：他身边出现了另一。
[00:34:44.340] 男：女生可能就类似于。
[00:34:47.400] 男：呃，那个女生对他来说可能就类似于我对你的，我跟你的关系。
[00:34:52.090] 男：如果他身边出现了那么那样一个人，你会你心里会不舒服吗？
[00:35:02.780] 女：倒也不能这么累。
[00:35:05.400] 女：不过。
[00:35:09.300] 女：如果他身边出现了。
[00:35:13.620] 女：我我觉得也是ok。
[00:35:36.180] 男：我心里是这样。
[00:35:38.840] 男：嗯，我知道他对你。
[00:35:43.820] 女：嗯。
[00:35:50.040] 男：就是。
[00:35:51.080] 男：我都是放在假设的。
[00:35:55.620] 女：再来慢慢慢慢慢。
[00:35:59.480] 男：如果我们的。
[00:36:02.940] 男：我不会我不会去。
[00:36:06.120] 男：我不会说非要啊我们在一起了，你必须要跟他保持。
[00:36:11.020] 女：对。
[00:36:13.920] 女：你在别人的单位。
[00:36:17.720] 男：如果。
[00:36:19.060] 男：如果我能给。
[00:36:22.020] 男：你你对于那种安静情感。
[00:36:24.773] 女：的需要。
[00:36:26.740] 女：他把接回去，就是没给他放进去。
[00:36:29.147] 女：对，后来按理说他应该比我们高，对吧？
[00:36:31.926] 女：他交了这么多年。
[00:36:33.222] 男：外面交的高嘛需要，但这个。
[00:36:36.480] 男：能不能能不能减轻？
[00:36:39.240] 男：告诉然后以至于最后。
[00:36:43.120] 男：跟他的关系变成就是我。
[00:36:46.180] 男：那种。
[00:36:47.480] 男：很好很好的。
[00:36:49.120] 男：就是可以变成很好的朋友。
[00:36:51.860] 男：然后。
[00:36:53.160] 男：痛，然后除去那种对他。
[00:36:57.500] 男：需要把它。
[00:36:59.240] 男：你觉得有可能。
[00:37:06.180] 男：就是哪怕短期短期你做不到也没关系。
[00:37:11.080] 女：我觉得做不到票的。
[00:37:14.100] 女：它并不是一个水，更重要。
[00:37:16.680] 女：这更不重要的。
[00:37:33.240] 男：现在想这些，不让你。
[00:37:37.440] 男：这让我很为难，痛苦。
[00:37:48.220] 男：对对，我们。
[00:37:49.873] 女：这个。
[00:37:55.060] 女：你们分别在我的生活中成绩不一样。
[00:37:59.360] 女：杯子吧。
[00:38:01.740] 女：也没有说我更我更想。
[00:38:05.340] 女：然后这样这个。
[00:38:12.440] 女：就就有点像是不同的。
[00:38:15.940] 女：不同的问题可以和不同的人讨论。
[00:38:19.820] 男：嗯嗯。
[00:38:31.720] 女：感觉。
[00:38:44.000] 女：感觉我没有办法能和谁在一起会更长远这样这种。
[00:38:56.160] 女：把这个他的。
[00:38:58.720] 女：八宝。
[00:39:00.420] 女：我没得钱。
[00:39:03.600] 男：不是说。
[00:39:05.400] 男：要你告诉。
[00:39:11.620] 男：就是说单纯的一种。
[00:39:23.020] 男：我的，这就是我心里的接受度。
[00:39:26.280] 男：就是哪怕。
[00:39:27.240] 男：我不想跟。
[00:39:28.720] 男：好好好。
[00:39:33.060] 男：就是我可能接受不了。
