[00:00:01.260] 女：开始了吗？
[00:03:44.420] 女：具体来说的话。
[00:03:47.500] 女：具体来说的话，嗯嗯，段段老师想问的是，我想跟你谈恋爱吗？
[00:04:00.040] 女：他还是说还是说是别的。
[00:04:25.220] 男：我想一想。
[00:04:26.640] 男：怎么回答？
[00:04:30.460] 男：我觉得以目前的状态来说，应该是。
[00:04:36.860] 男：应该是我。
[00:04:38.740] 男：心里想要跟你。
[00:04:41.540] 男：我们在。
[00:04:43.700] 男：然后你说这个在一起具体的是什么呢？
[00:04:49.140] 男：也可以用。
[00:04:50.700] 男：谈恋爱理解吧？
[00:04:59.220] 女：我都我都我。
[00:05:09.500] 女：什么磁带呀。
[00:05:18.000] 女：嗯。
[00:05:22.160] 女：不对，痘痘呢？
[00:05:35.240] 女：你被谈恋爱的这句话是什么？
[00:05:40.940] 女：因为我说过了，我并没有。
[00:05:44.000] 女：哎，很难理解什么时候谈恋爱。
[00:05:48.200] 女：还有我可以还有还有就是我并没有那么能够理解小朋友谈恋爱这两个概念。
[00:05:55.440] 女：而且他对每个人的定义也是不一样的。
[00:05:58.540] 男：我可以理解成你在问我对谈恋爱的心意吗？
[00:06:05.220] 女：或者说你说的这个段。
[00:06:12.080] 男：这两天一个个来吧。
[00:06:13.791] 女：是两个比如说是两个人因为彼此喜欢，然后在一起在这开心。
[00:06:19.140] 女：然后我想说当下不考虑未来，还是说他有一个对于未来你会怎么样的一个预期。
[00:06:27.420] 男：大概懂你一下我。
[00:06:29.000] 男：我先一个个讲。
[00:06:31.320] 男：表白在我的心里。
[00:06:33.600] 男：我对他的定义是。
[00:06:36.120] 男：就是。
[00:06:37.520] 男：表明。
[00:06:39.300] 男：自己的心意，这是我自己的。
[00:06:43.400] 男：然后我只是向你表明，然后这个表明不是为了向。
[00:06:57.480] 男：你想喝哪个？
[00:06:59.240] 女：哪个是哪个？
[00:07:00.387] 女：这个什么。
[00:07:01.305] 男：这个是考哪一个这个呢？
[00:07:04.100] 男：好像是凤梨。
[00:07:06.580] 女：能不能来个小杯？
[00:07:08.480] 男：都喝吗？
[00:07:10.820] 男：要不再让他拿两根吸管？
[00:07:13.160] 女：不要，我要得。
[00:07:15.700] 女：我才刚刚出来过。
[00:07:23.500] 男：可以再拿两个小杯。
[00:07:31.180] 男：然后我对。
[00:07:33.020] 男：谈恋爱的想法，或者说在一起的想法。
[00:07:37.900] 女：不是你也你也是有过恋爱经历的嘛嗯。
[00:07:42.000] 男：首先。
[00:07:44.020] 男：我最在意的。
[00:07:45.960] 男：这是什么？
[00:07:46.750] 男：我觉得是一个谈三观的过程。
[00:07:50.100] 女：嗯。
[00:07:52.700] 男：然后这个三观可能。
[00:07:55.020] 男：具体的。
[00:07:56.640] 男：内涵。
[00:07:58.060] 男：就是人生观。
[00:08:01.060] 男：恋爱观。
[00:08:03.200] 男：我。
[00:08:04.680] 男：世界观。
[00:08:06.240] 男：然后这个世界观不是说。
[00:08:08.660] 男：别的什么，而不是说那种这个世界怎么样，而是说。
[00:08:14.080] 男：我想就是我想怎么生活下去？
[00:08:18.380] 女：嗯。
[00:08:20.920] 男：然后人生观的话。
[00:08:24.280] 男：会包括。
[00:08:32.040] 男：就包括什么吧？
[00:08:33.622] 男：可能就是在这三观里面会包含其他。
[00:08:37.579] 男：然后你要细分的话就是诸如消费观啊。
[00:08:42.620] 男：消费观。
[00:08:44.300] 男：生活观这一类的。
[00:08:51.060] 男：然后爱情观的话就是。
[00:09:01.680] 男：我想想这个要怎么说。
[00:09:06.040] 男：或者说起来有点难，我要不我直接跟你解释一下，我的对我的恋爱观这方面。
[00:09:12.440] 女：嗯。
[00:09:14.000] 男：嗯，我的恋爱观是。
[00:09:29.960] 男：我的恋爱观，首先第一个，我觉得两个人在一块一定要有。
[00:09:37.020] 男：这个是。
[00:09:43.520] 女：嗯。
[00:09:46.700] 男：为什么我会觉得跟你相在一起相处会很。
[00:09:50.540] 男：我的原因。
[00:09:52.560] 男：我个人。
[00:09:55.300] 男：就是我主观的认为，我觉得我们。
[00:09:59.800] 男：能聊到一块儿，然后你也能吃到一。
[00:10:10.080] 男：然后就是。
[00:10:12.440] 男：我个人对亲密关系的。
[00:10:17.460] 男：我不知道能不能。
[00:10:34.900] 男：可能会说的有点慢，然后我要量一下。
[00:10:37.970] 女：没事。
[00:10:50.040] 男：你要用我手机播吗？
[00:10:52.260] 女：来。
[00:11:01.080] 女：手机拍的比你相片好看是啥呀？
[00:11:03.880] 男：然后因为手机有电。
[00:11:11.340] 男：那那。
[00:11:14.460] 男：我回去了。
[00:11:15.620] 男：在宿舍用那个调色软件调过好一段。
[00:11:21.800] 男：你知道有奶油在吗？
[00:12:38.940] 女：再大也快一点。
[00:12:46.300] 男：我可能会讲的有点跳脱，没事。
[00:12:49.196] 女：我我要讲的话我也很跳脱。
[00:12:51.851] 男：对，然后讲到吃到一块聊到一块，然后我觉得我想要。
[00:13:07.480] 男：发展对小慧说是恋爱剧。
[00:13:10.980] 男：嗯，我认为我不想让他适应。
[00:13:15.400] 男：我我不希望对方。
[00:13:17.680] 男：永恒的。
[00:13:20.420] 男：然后我觉得你不是那种很庸俗的人。
[00:13:24.620] 男：所以。
[00:13:25.900] 男：所以所以基于这方面，我也会对你有好。
[00:13:35.720] 女：啊，哥哥。
[00:13:37.920] 女：你又老了。
[00:13:39.320] 男：发生了上次一样的事。
[00:13:41.420] 女：好，不过我的哪个哪个是我这个吧那。
[00:13:46.620] 男：哦，对，这个好像是一样的。
[00:13:49.460] 女：不了不了不了不了。
[00:13:55.200] 男：你要喝哪个？
[00:13:56.640] 女：淘宝。
[00:13:59.620] 男：哎，我最开始也是想把这个。
[00:14:37.200] 女：找个好人看待的。
[00:14:44.480] 女：你不要用那个。
[00:14:45.820] 女：我大了。
[00:14:47.560] 女：嗯，没办法。
[00:14:51.280] 男：后面这个角度他要。
[00:14:54.460] 女：继续吧。
[00:15:05.520] 男：不是一个很庸，不是一个庸俗。
[00:15:10.760] 男：然后。
[00:15:13.020] 男：我希望对方在能。
[00:15:16.060] 男：可能在谈恋爱的过程中。
[00:15:18.420] 男：在这个过程中要做自己。
[00:15:22.220] 男：双方都要做决定，我觉得。
[00:15:25.260] 男：不要了。
[00:15:26.460] 男：为了。
[00:15:28.260] 男：比如说。
[00:15:29.780] 男：我不愿意就就算是我喜欢你，对吧？
[00:15:33.820] 男：然后我会。
[00:15:35.940] 男：我想把我那个真实的一面展现给你看，然后。
[00:15:40.840] 男：去磨合。
[00:15:42.100] 男：就是我可以去改变的，但这个改变是基于我还是我自己。
[00:15:48.100] 女：行，好的。
[00:15:49.940] 男：你我这样说，你能理解吗？
[00:15:52.940] 男：然后。
[00:15:54.360] 男：然后我希望对方也是一样的，就是。
[00:15:58.840] 男：在不合适的地方，或者说是。
[00:16:04.220] 男：或者是其他的。
[00:16:06.700] 男：其他的因素吧。
[00:16:11.660] 男：可以为了对方互相去改变一些。
[00:16:15.320] 男：但是在这个但但是这个改变的前提一定是我们还是。
[00:16:21.240] 男：自己。
[00:16:31.960] 男：嗯，这个好。
[00:16:33.480] 男：你要尝一下这个吗？
[00:16:35.387] 女：亲，不要我看。
[00:16:38.120] 女：你那边好。
[00:16:45.280] 男：然后是。
[00:16:49.340] 女：快开地图吧。
[00:16:53.720] 男：然后我觉得可能是关于。
[00:17:00.840] 男：我感觉好难倒，我感觉他会我我这样倒的话。
[00:17:04.390] 女：他会搅拌。
[00:17:06.320] 男：好吧。
[00:17:09.220] 男：可可应该是用那个细的吸管。
[00:17:39.640] 女：那就有道理。
[00:17:56.560] 女：不一样了。
[00:17:59.900] 男：他说没有。
[00:18:08.420] 男：我先讲一下吗。
[00:18:09.920] 女：对。
[00:18:14.660] 女：女肩包。
[00:18:21.600] 男：你快到了。
[00:18:22.940] 男：我已经到了。
[00:18:29.080] 男：Do yourself. 
[00:18:32.020] 女：Be your self. 
[00:18:36.460] 男：不想讲话了。
[00:18:38.800] 女：吃一块吃到一块。
[00:18:43.700] 女：在我直播间。
[00:18:45.440] 女：在我口袋里。
[00:18:49.680] 女：拿起来拿起来拿起来。
[00:18:51.228] 女：拿。
[00:19:01.960] 男：我没有那。
[00:19:10.260] 男：没有生气了。
[00:19:11.610] 女：生气了吗？
[00:19:12.690] 女：没有啊。
[00:19:19.260] 女：说走就行了，没办法。
[00:19:22.240] 男：这个这个我放到我那边键盘。
[00:19:32.320] 男：想到哪儿了？
[00:19:34.720] 女：你就是像。
[00:19:41.500] 女：他觉得。
[00:19:44.000] 女：好吃多了少一点。
[00:19:46.640] 男：我可以吃吗？
[00:19:51.060] 女：哎，不逗你了是吧？
[00:20:00.880] 女：可是我一个。
[00:20:05.340] 男：嗯，他家的他家的蛋糕还是一如既往。
[00:20:17.360] 女：哦，对了。
[00:20:19.120] 男：哪个？
[00:20:27.420] 男：都怪我喽。
[00:20:32.520] 女：想一想了。
[00:20:37.060] 男：不用这个吗？
[00:21:08.020] 女：没有。
[00:21:13.080] 男：那你又不知道。
[00:21:19.500] 男：嗯。
[00:21:39.860] 男：20 20。
[00:21:41.620] 男：然后。
[00:21:43.000] 男：讲到做自己和改变的事情。
[00:22:00.620] 男：怎么感觉讲到这里。
[00:22:03.580] 男：有点盲目，我不知道要讲什么。
[00:22:07.060] 男：要不。
[00:22:09.380] 男：用提问的形式。
[00:22:13.360] 男：你想问的东西，你来问我，我来。
[00:22:18.080] 女：你没有回答，一个是。
[00:22:23.900] 女：注重当下的，还是说会走向。
[00:22:28.800] 女：未来。
[00:22:32.300] 男：我先说我的吧。
[00:22:34.960] 男：我的观点是。
[00:22:37.080] 男：我感觉这个这个不是一个。
[00:22:41.960] 男：非黑即白，非此即彼。
[00:22:46.020] 男：就是。
[00:22:49.500] 男：是听到了回答？
[00:22:50.885] 男：是转出这个表情，还是吃到了这个味道？
[00:23:11.820] 女：真的。
[00:23:12.680] 女：不是上面摆的。
[00:23:15.760] 男：这么说吧，假如啊，我是说假如。
[00:23:19.320] 男：假如我们。
[00:23:21.020] 男：走在一起了。
[00:23:22.600] 男：然后等到毕业之后，对吧？
[00:23:25.420] 男：会考虑现实的一些工作的因素。
[00:23:29.020] 男：然后我的观点是。
[00:23:35.280] 男：在。
[00:23:37.900] 男：理想的状态下。
[00:23:40.980] 男：就是我们我们的发展很平稳，那理想的状态下，我觉得还是会去考虑。
[00:23:48.160] 男：以后的就是我就是我的观点，不是。
[00:23:53.940] 男：我想跟你。
[00:23:55.780] 男：在一起不是。
[00:23:58.040] 男：等着玩一玩。
[00:23:59.860] 女：嗯。
[00:24:03.120] 男：至于说能不能做到以后以后的事情，我觉得说不准。
[00:24:07.900] 男：呃，但是。
[00:24:10.820] 男：至少当下的心情是。
[00:24:13.700] 男：我肯定会去想以后。
[00:24:15.228] 男：我肯定会去想以后的事。
[00:24:17.280] 女：去不去上面做。
[00:24:19.245] 男：然后。
[00:24:20.220] 男：如果说。
[00:24:22.240] 男：然后说如果说我们到未来。
[00:24:25.820] 男：有。
[00:24:27.000] 男：有矛盾和争执。
[00:24:30.120] 男：我觉得这个是正常的。
[00:24:32.220] 男：但是如果说。
[00:24:34.240] 男：如果说我们最后走不下去了，要要分开了。
[00:24:38.640] 男：我觉得这个要分两种情况看，就是。
[00:24:41.820] 男：我们分手的原因是不是？
[00:24:44.600] 男：因为某一方的原则性。
[00:24:52.240] 男：就分原则和非原则了。
[00:24:57.520] 男：如果是原则问题的话。
[00:25:01.020] 男：我们。
[00:25:06.040] 男：学习原则问题的话。
[00:25:08.980] 男：就这样。
[00:25:10.380] 男：分清楚是谁的。
[00:25:12.640] 男：否认。
[00:25:13.980] 男：就如果说碰到。
[00:25:17.220] 男：出轨是吧？
[00:25:18.362] 男：鬼类的。
[00:25:19.920] 男：那我觉得。
[00:25:22.920] 男：应该对。
[00:25:26.800] 男：另一种。
[00:25:31.800] 男：本来就是听从对方的。
[00:25:34.420] 男：想法要怎么去解决这个事情？
[00:25:38.060] 男：听听从对方的想法。
[00:25:39.980] 男：这如果是出现了。
[00:25:41.467] 男：这。
[00:25:43.240] 男：我我的观点是这样的，然后如果说我们是因为。
[00:25:47.500] 男：就只是走到后。
[00:25:50.400] 男：然后双方都没有什么原则性的问题。
[00:25:54.220] 男：都没有原则性的问题，只是不合适了。
[00:26:02.320] 男：嗯，那我想。
[00:26:06.840] 男：用于地方体面的方式。
[00:26:10.220] 女：之前的。
[00:26:14.140] 男：这是我的想法。
[00:26:27.220] 男：然后呢，想到他想问什么。
[00:26:44.440] 女：几点啊？
[00:26:48.220] 女：那个谁呀？
[00:26:53.820] 女：随机的把你的。
[00:27:27.320] 女：完了我忘记玩为啥了。
[00:27:33.020] 男：没事，我们今天有时间可以慢慢。
[00:27:40.040] 女：的公园。
[00:27:45.140] 女：哪个？
[00:27:47.020] 女：应该没有别的。
[00:27:51.840] 男：你要尝一下这个吗？
[00:27:53.616] 男：我要。
[00:27:54.700] 男：真的一口都不吃吗？
[00:28:30.420] 女：他也有两个。
[00:28:34.760] 女：他也有。
[00:28:50.040] 男：这一块好吃。
[00:29:02.660] 男：看你看你很苦恼的呀。
[00:29:16.860] 女：没有，他帮我去。
[00:29:22.220] 女：我都被你。
[00:29:46.760] 女：想不出来。
[00:29:49.700] 男：你要不要写出来？
[00:29:51.400] 女：对吧啊，就是。
[00:29:54.760] 男：帽子。
[00:30:02.820] 女：而且我写的只是大招。
[00:30:09.240] 女：那天那天晚上回回去之后，我不是睡得有点晚。
[00:30:14.240] 女：嗯。
[00:30:15.100] 女：现在就在给你这个东西。
[00:30:30.580] 女：对我来。
[00:30:31.900] 女：对我来说，不一定是回你不一定是回你的东西。
[00:30:39.360] 女：第一个。
[00:30:40.620] 女：我首先考虑一些对我来说比较现实。
[00:30:43.800] 女：让我们谈恋爱。
[00:30:47.800] 女：九合十四里面。
[00:30:53.220] 男：我可以问一下为什么？
[00:30:55.760] 男：感觉到尴尬。
[00:31:00.280] 女：颜色对，挺好看而已。
[00:31:01.840] 女：好像就变这个。
[00:31:04.420] 女：广告收不了。
[00:31:05.920] 女：就不单纯的书面。
[00:31:08.600] 女：没了。
[00:31:11.360] 女：你不是变身了。
[00:31:13.720] 女：张老师的。
[00:31:17.180] 女：就是没有这种。
[00:31:22.480] 男：你是觉得他人。
[00:31:26.260] 男：你看着能不能说？
[00:31:27.580] 女：你不是目光就是。
[00:31:29.700] 女：就是就是在在我们的社社会关系里面。
[00:31:36.680] 女：能会让我不太适应。
[00:31:43.620] 女：然后然后加上。
[00:31:45.840] 女：早上。
[00:31:47.200] 女：不要干。
[00:31:49.840] 女：宿舍里面发生的那些事。
[00:31:53.120] 女：对我。
[00:31:54.400] 女：在诗社里面，如果是我自己走入了一段恋爱馆。
[00:32:01.160] 女：为什么？
[00:32:05.520] 女：因为这样的话，老师也会知道。
[00:32:10.560] 女：就是就是我不知道为啥对这个有点敏感。
[00:32:14.040] 女：嗯嗯。
[00:32:18.160] 女：就是我好像不太不太能够不太能够。
[00:32:22.540] 女：目前不太能够接受我在时尚里面。
[00:32:32.160] 女：就好因为这这就好像坐实了以前的某一些某一些，我不否认他们的。
[00:32:46.100] 男：我大概同意。
[00:32:48.780] 男：对于这方面。
[00:32:52.580] 男：你觉得这个是可以避免的吗？
[00:32:55.840] 男：比如说比如说像这种事情。
[00:33:00.920] 男：就是给你你来选择。
[00:33:04.660] 男：就是我我我。
[00:33:06.460] 男：我们探讨解决方案的可能性。
[00:33:09.080] 男：就是关于。
[00:33:11.240] 男：是否公开？
[00:33:14.900] 男：考虑到这一点，别的。
[00:33:17.560] 男：就是能不能。
[00:33:19.300] 男：就是针对。
[00:33:22.300] 男：就是我们双方人际关系中最核心的。
[00:33:26.000] 男：让他们知道，比如说可能试色怎么样。
[00:33:30.240] 男：的话我们就不告诉他们，然后在宿舍里我们还维持着。
[00:33:37.660] 男：你觉得这样子是可以的吗？
[00:33:43.560] 男：这样子会让你好受一些吗？
[00:33:49.840] 女：还有一些。
[00:34:45.220] 男：如果你在想的话，要不我补充一点。
[00:34:49.040] 男：前面的。
[00:34:52.000] 男：我补充一点前面的眉毛。
[00:35:08.600] 女：为什么？
[00:35:09.820] 男：就是补充一点，前面的我可能。
[00:35:13.920] 男：那你要我说，我可能不知道他属于哪个部分。
[00:35:17.320] 男：就是我希望。
[00:35:19.440] 男：我们相处之间的状态，或者是。
[00:35:22.460] 男：在一起的状态应该是。
[00:35:25.980] 男：很自然。
[00:35:27.520] 男：就是能在彼此身上。
[00:35:29.760] 男：找到了。
[00:35:34.380] 男：对双方来说都很舒适的一种状态就是。
[00:35:42.280] 男：希望对方能彼此，能成为彼此。
[00:35:47.020] 男：卸下防备或者是。
[00:35:53.140] 男：就是不让自己那么累的那种。
[00:36:00.520] 男：感觉。
[00:36:04.540] 男：嗯，这是我。
[00:37:35.360] 女：没有骗自己。
[00:37:39.720] 女：嗯。
[00:39:51.320] 男：我去了，我现在那。
[00:40:28.040] 女：你的衣服。
[00:41:10.040] 女：你你帮我。
[00:41:17.160] 男：你要是。
[00:41:19.020] 男：那我再补充一点。
[00:41:49.820] 女：现在一起吗？
[00:42:43.060] 女：我想象着我可以讲。
[00:42:54.480] 女：点第一个单。
[00:42:57.580] 男：好强的破坏力。
[00:44:11.920] 男：本来我这不是有。
[00:44:28.720] 女：同学们要给姐姐。
[00:44:39.220] 男：欢迎各位那个。
[00:45:03.180] 男：就在今天。
[00:45:04.360] 男：把这件事情。
[00:45:07.980] 男：其实我觉得可以不用那么急。
[00:46:53.400] 女：你有什么要问我的？
[00:46:56.420] 女：我有点对这点表达困难。
[00:47:02.560] 男：你要不要先暂停？
[00:47:04.820] 女：不要。
[00:47:22.220] 女：13岁是一个。
[00:47:25.160] 女：还有一个。
[00:47:28.080] 女：其他的朋友。
[00:47:32.320] 女：我刚刚遇到。
[00:47:33.980] 女：遇到遇到一些。
[00:47:38.820] 男：还是跟其他的朋友。
[00:47:46.160] 女：然后那个问题可能就会被。
[00:47:48.940] 女：被刺激到了。
[00:47:58.020] 女：你要如何去应对？
[00:48:03.620] 女：就是就是就是我特别特别反感这样。
[00:48:07.920] 女：他说，对我。
[00:48:27.300] 女：就是就是遇到一些遇到一些。
[00:48:30.300] 女：对他。
[00:48:31.520] 女：他他好像时间会被。
[00:48:35.840] 女：那我要是怎么面对女朋友的这个问题？
[00:48:41.420] 男：是是我们两个发生的。
[00:48:44.280] 男：面对我们的朋友。
[00:48:46.320] 女：嗯，有，然后有，对，就是在自己的观念上就会有就会有这样。
[00:48:52.840] 女：我对我对账。
[00:48:56.680] 女：我刚刚想找的是关于关于这个讨论这个问题有有过的一个文案。
[00:49:02.420] 男：指的是。
[00:49:03.680] 男：我我能不能理解成。
[00:49:09.100] 女：上面。
[00:49:11.980] 男：最后。
[00:49:13.000] 女：不是，最后是在中中午。
[00:49:15.480] 女：你跟我如果如果说上诉的。
[00:49:21.400] 男：你你说的不愉快是就是那种类似于。
[00:49:24.870] 女：生活中的一些小小吵架呀，小矛盾啊。
[00:49:29.380] 男：不是那种闹到一定要分开的啊。
[00:49:34.580] 男：因为我觉得。
[00:49:36.840] 男：就是你比较怕处理这种情况。
[00:49:39.524] 女：我是怕处理我对于我对问题被质疑到一个关系框架下非常反感，就还是我先说的那个话。
[00:49:50.180] 女：白色嗯，就好像。
[00:49:53.360] 女：比如说。
[00:49:57.240] 女：我今天。
[00:50:03.500] 女：嗯，然后要，然后让对方看。
[00:50:06.720] 女：但是我我不知道，我很反感这个行为，是去。
[00:50:10.980] 女：哦，因为他是我的。
[00:50:13.280] 女：男朋友，好像你。
[00:50:15.200] 女：那我去做的。
[00:50:16.220] 女：做这个事。
[00:50:17.640] 女：不出于这这方面的责任和义务。
[00:50:20.600] 女：美丽好。
[00:50:28.940] 男：可以理解成你担心这个东西。
[00:50:34.620] 男：让我们。
[00:50:36.460] 男：陷入了。
[00:50:46.680] 男：感觉刚刚想到的不太。
[00:50:55.220] 男：比如说我不说我我我。
[00:50:57.325] 女：愿意陪在他身边，是因为他是他，我只是出于对他的关心，而且这么做我自愿的去陪。
[00:51:05.520] 女：而不是因为他是我的谁谁谁，所以我去陪着他。
[00:51:09.273] 女：我觉得而而且而当对方如果要以。
[00:51:12.800] 女：你因为我们是这种关系，所以你应该过来这么对我。
[00:51:17.180] 女：非常反感这样子，而且我非常害怕自己也会。
[00:51:21.640] 女：滑入到我所反感的这种方。
[00:51:33.980] 男：我觉得没问题啊。
[00:51:41.040] 男：这个想法是对。
[00:51:59.980] 男：我接着你的话可以说吧。
[00:52:07.220] 男：嗯，拿拿下拿期末拿拿复习举例。
[00:52:12.980] 男：我觉得。
[00:52:16.880] 男：因为是你，所以我才想。
[00:52:19.720] 男：我帮你复习。
[00:52:22.940] 男：这个想法太。
[00:52:25.420] 男：想和你一起睡。
[00:52:27.500] 男：而不是因为我想让你成为。
[00:52:31.060] 男：在对象为了讨好。
[00:52:34.300] 男：去做这个。
[00:52:41.200] 男：然后如果说碰到。
[00:52:48.180] 女：你不是。
[00:52:49.260] 男：或者是其他的。
[00:52:54.520] 男：我也是。
[00:52:56.980] 男：我希望也会。
[00:52:59.400] 男：处于因为是。
[00:53:02.160] 男：舒服，所以我才想陪着。
[00:53:05.280] 男：跟你一起面对这些，而不是因为。
[00:53:08.540] 男：简单的，你是我对象，然后。
[00:53:11.460] 男：我有事情。
[00:53:13.540] 男：我临时有事，或者是我有我原本有安排，没有办法。
[00:53:33.840] 男：就是。
[00:53:35.880] 男：或者换一个。
[00:53:44.780] 男：咱俩聊。
[00:53:50.840] 女：没了吗？
[00:53:51.524] 女：没了。
[00:54:33.840] 女：这两个。
[00:54:37.040] 女：不知道不知道为什么就开始伸手了。
[00:54:39.965] 女：之前的教育。
[00:54:41.080] 女：最后也不像你说的。
[00:54:46.840] 女：一到早上为我付出过特别多的。
[00:54:51.580] 女：是陪着我做一些事。
[00:54:54.720] 女：因为我以前感觉那个是很自然的，然后很好的。
[00:55:02.920] 女：但是但是但是这几天我看。
[00:55:05.340] 女：他们他们就很害怕。
[00:55:09.200] 女：就那个事情是不是不是。
[00:55:11.740] 女：这是个。
[00:55:13.580] 女：为了追我。
[00:55:21.060] 女：然后然后我忽然感觉自己自己没有办法特别自然的。
[00:55:33.060] 男：我可以。
[00:55:34.380] 男：我可以很肯定的告诉你。
[00:55:36.980] 男：我之前。
[00:55:38.280] 男：我不上个学期复习呀。
[00:55:44.400] 男：呃，只是想。
[00:55:47.880] 男：他对你做这些的。
[00:55:56.740] 男：不过我也。
[00:55:58.000] 男：我也能理解你的担心。
[00:56:02.460] 女：写这种事情，我遇到的也不是一次。
[00:56:05.860] 男：我理解你的感受。
[00:56:11.060] 女：虽然我能够感觉到你并不是那样的，但是。
[00:56:15.680] 女：但是但是这种感受还必须要有一天上来。
[00:56:23.280] 男：嗯。
[00:56:25.320] 男：你愿不愿意？
[00:56:29.220] 女：然后我看突然就感觉很不安。
[00:56:58.200] 女：嗯。
[00:57:03.720] 女：我想我想的跳出来一点。
[00:57:07.860] 女：就是。
[00:57:10.400] 女：最后我会有一种感觉。
[00:57:12.840] 女：如果如果真的如果真的，他他不一他他他不一定能走很远。
[00:57:18.920] 女：玩手机。
[00:57:21.060] 女：首先我是秉持的一个我不会点会。
[00:57:25.580] 男：目前来说。
[00:57:30.200] 女：嗯，这是我不愿意走进走进婚姻的关系。
[00:57:34.940] 女：可事实上，很多朋友对我的。
[00:57:37.380] 女：就是也是这么看好。
[00:57:45.040] 女：然后然后第二个。
[00:57:47.820] 女：有票。
[00:57:48.217] 女：赵老师赵老师今天跟我跟我提。
[00:57:51.020] 女：搭档。
[00:57:52.180] 女：家长对于婚姻啊，还有那个嗯那个那个那个孩子啊的问题是是单纯想分享呢？
[00:57:58.661] 女：还是说还是说想他在这方面有一种。
[00:58:02.820] 女：碰撞那种。
[00:58:05.580] 女：那种那种试探。
[00:58:07.020] 女：反正如果。
[00:58:09.020] 男：那这个我可以告诉你。
[00:58:12.020] 男：都有嗯，但是我我认为我跟你提这个是。
[00:58:18.460] 男：我是出于什么一个目。
[00:58:22.600] 男：分享是一方面。
[00:58:24.500] 男：呃，刚刚说的试探是一方面，但更多的是我想让你。
[00:58:29.420] 男：让你了解我和我的那个。
[00:58:32.660] 男：这是我的。
[00:58:34.020] 女：不对，有必要的。
[00:58:37.200] 女：嗯，对，一个就是我不结婚。
[00:58:40.820] 女：嗯，第二个就是。
[00:58:43.420] 女：我我我认为我是不会要孩子。
[00:58:47.620] 女：然后我不喜欢小孩，这个事情是我从很久以前我就我就能够确认，然后在我。
[00:58:55.740] 女：在我前几年。
[00:58:57.440] 女：就是逐渐的认识更多人。
[00:59:02.320] 女：看到我周围的一些情况吧，然后再加上我确实看到了我表姐她养育小孩之类的。
[00:59:10.300] 女：一个一个一个现状。
[00:59:16.920] 女：我首首先我不想。
[00:59:20.360] 女：我对于小孩没有耐。
[00:59:26.820] 女：并不能够为一个新的生命。
[00:59:29.820] 女：然后我希望我是哪怕哪怕要我希望我也是出于自愿的，而非而非因为。
[00:59:38.440] 女：因为因为他人需要。
[00:59:40.780] 女：然后然后让我。
[00:59:42.280] 女：我会感觉我我希望自己的人生被另外一个生。
[00:59:47.060] 女：然后而且我觉得我我都可能变成后，连我自己的身子。
[00:59:52.740] 女：最多是勉强能解决的了。
[00:59:58.720] 女：你是别说。
[01:00:00.019] 女：是是一样的。
[01:00:01.439] 女：而且而且就我来说，我觉得。
[01:00:04.399] 女：我的人生就是因为那些就是父母的一些。
[01:00:08.519] 女：某些缺陷，然后导致了我后面的到现在还在克服很多很多的障碍。
[01:00:13.435] 女：但是我没有办法怪他们，然后换做我来说，不知道应该怎么做的才能更好。
[01:00:20.639] 女：嗯嗯。
[01:00:22.879] 女：最好是这种形态那种我不想当老。
